Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,25.61,25.8,25.22,25.76,12394135
2009-05-19 04:00:00,25.74,25.9,25.3,25.77,13829735
2009-05-20 04:00:00,25.86,26.445,25.79,26.05,14625322
2009-05-21 04:00:00,25.72,26.19,25.41,26.12,20721398
2009-05-22 04:00:00,26.15,26.35,25.97,26.21,14213974
2009-05-26 04:00:00,26.0,26.6,25.66,26.58,14877696
2009-05-27 04:00:00,26.47,26.8,26.47,26.64,18907508
2009-05-28 04:00:00,26.64,27.0,26.35,26.78,26180801
2009-05-29 04:00:00,26.94,27.61,26.85,27.6,39416806
2009-06-01 04:00:00,27.71,27.85,27.13,27.52,18318224
2009-06-02 04:00:00,27.51,27.8654,27.2,27.7,13813192
2009-06-03 04:00:00,27.39,27.61,27.06,27.61,17423171
2009-06-04 04:00:00,27.45,27.55,26.47,26.61,19814799
2009-06-05 04:00:00,26.73,26.9,25.62,26.08,23999226
2009-06-08 04:00:00,25.86,26.18,25.48,25.92,16614475
2009-06-09 04:00:00,25.93,26.125,25.54,25.69,10729625
2009-06-10 04:00:00,25.92,26.13,25.41,25.59,12073315
2009-06-11 04:00:00,25.72,26.57,25.69,26.16,16288960
2009-06-12 04:00:00,26.12,27.07,25.68,26.08,28867897
2009-06-15 04:00:00,25.83,26.0,24.79,24.96,25462936
2009-06-16 04:00:00,25.01,25.2,24.37,24.4,24358062
2009-06-17 04:00:00,24.45,24.98,24.43,24.79,22495307
2009-06-18 04:00:00,25.01,25.91,24.88,25.66,19618575
2009-06-19 04:00:00,25.91,26.54,25.81,25.91,25061068
2009-06-22 04:00:00,25.74,25.74,25.15,25.17,17430719
2009-06-23 04:00:00,25.28,25.49,25.0,25.08,13465450
2009-06-24 04:00:00,25.15,25.67,25.05,25.47,14370223
2009-06-25 04:00:00,25.49,26.6,25.19,26.59,19144224
2009-06-26 04:00:00,26.48,27.06,26.34,26.91,16034816
