Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,26.96,28.31,26.69,28.17,32452436
2009-05-19 04:00:00,28.49,29.86,27.0583,28.96,40508261
2009-05-20 04:00:00,29.5,29.62,27.77,28.03,34477081
2009-05-21 04:00:00,27.64,28.65,27.53,28.05,26961650
2009-05-22 04:00:00,28.42,29.09,28.16,28.28,17348400
2009-05-26 04:00:00,28.06,29.06,27.95,28.95,21785852
2009-05-27 04:00:00,29.05,30.23,28.6,28.74,33497519
2009-05-28 04:00:00,28.97,29.54,28.422,29.36,19085000
2009-05-29 04:00:00,30.03,30.35,29.5652,30.32,26668048
2009-06-01 04:00:00,30.67,31.3,29.67,30.05,28867938
2009-06-02 04:00:00,28.27,30.35,28.2,30.0,50282947
2009-06-03 04:00:00,29.9,30.165,29.1,29.69,25874587
2009-06-04 04:00:00,29.9,31.49,29.88,31.13,25330431
2009-06-05 04:00:00,31.8,31.988,30.94,31.09,19251862
2009-06-08 04:00:00,30.67,31.67,30.43,31.32,17204163
2009-06-09 04:00:00,31.63,31.76,30.51,30.9,26462376
2009-06-10 04:00:00,31.17,31.2,28.63,29.26,52358750
2009-06-11 04:00:00,29.58,30.15,29.0,29.41,28238389
2009-06-12 04:00:00,29.31,29.91,28.9,29.7,15345651
2009-06-15 04:00:00,29.3,29.45,28.15,28.45,21637594
2009-06-16 04:00:00,28.72,28.88,27.81,28.12,23326056
2009-06-17 04:00:00,27.97,28.13,27.04,27.44,23310237
2009-06-18 04:00:00,27.54,28.15,27.49,27.96,21005055
2009-06-19 04:00:00,28.27,28.37,27.64,28.22,25356789
2009-06-22 04:00:00,27.85,28.04,26.67,26.71,24475978
2009-06-23 04:00:00,26.78,27.86,26.13,27.6901,29518672
2009-06-24 04:00:00,27.98,28.47,27.26,27.63,21702305
2009-06-25 04:00:00,27.41,28.39,27.12,27.94,21331031
2009-06-26 04:00:00,27.75,28.82,27.75,28.56,19306741
2009-06-29 04:00:00,28.77,29.29,28.3,29.11,17173090
2009-06-30 04:00:00,28.87,29.18,28.2,28.52,16171723
2009-07-01 04:00:00,28.58,28.91,27.93,28.39,11886418
2009-07-02 04:00:00,27.88,28.05,26.91,27.03,17882322
2009-07-06 04:00:00,26.6,26.88,26.25,26.81,21054767
