Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,22.52,23.34,22.52,23.1,722900
2009-05-18 04:00:00,23.58,23.86,23.05,23.44,723950
2009-05-19 04:00:00,21.44,21.59,20.25,21.53,11866050
2009-05-20 04:00:00,21.6,21.98,21.08,21.3,3370900
2009-05-21 04:00:00,21.25,21.6,20.87,21.04,1846220
2009-05-22 04:00:00,20.92,21.12,20.15,20.7,1546260
2009-05-26 04:00:00,20.72,21.86,20.52,21.81,1701230
2009-05-27 04:00:00,21.66,21.88,20.31,20.51,1983950
2009-05-28 04:00:00,20.91,21.14,20.46,20.68,912850
2009-05-29 04:00:00,20.93,21.43,20.53,21.24,860200
2009-06-01 04:00:00,21.47,22.51,21.35,22.47,1783540
2009-06-02 04:00:00,22.49,23.23,22.33,23.15,1359160
2009-06-03 04:00:00,22.77,22.89,22.42,22.72,1141280
2009-06-04 04:00:00,22.8,24.56,22.63,23.77,2557210
2009-06-05 04:00:00,23.71,23.77,22.63,22.94,1689220
2009-06-08 04:00:00,22.7,22.76,22.05,22.54,604240
2009-06-09 04:00:00,22.36,23.5,22.36,23.25,1800020
2009-06-10 04:00:00,23.36,23.36,22.71,23.23,1391380
2009-06-11 04:00:00,23.28,24.03,22.99,23.93,1099900
2009-06-12 04:00:00,23.5,24.14,23.5,23.92,1533830
2009-06-15 04:00:00,23.7,23.93,23.18,23.55,1673930
2009-06-16 04:00:00,23.79,24.06,22.22,22.77,2678370
2009-06-17 04:00:00,22.8,23.66,22.73,23.4,1229020
2009-06-18 04:00:00,23.26,24.09,23.09,24.0,795140
2009-06-19 04:00:00,24.0,24.0,23.44,23.83,784810
2009-06-22 04:00:00,23.68,23.72,22.72,22.75,848620
2009-06-23 04:00:00,22.86,23.49,22.28,23.27,991750
2009-06-24 04:00:00,23.42,24.21,23.14,24.0,1361190
2009-06-25 04:00:00,24.02,25.02,23.86,24.89,1123590
2009-06-26 04:00:00,24.82,25.67,24.46,24.85,1470670
2009-06-29 04:00:00,25.18,25.19,23.66,24.55,1379610
2009-06-30 04:00:00,24.37,24.69,24.11,24.44,1692630
2009-07-01 04:00:00,24.5,24.75,24.0,24.07,1589670
2009-07-02 04:00:00,24.39,24.87,23.55,24.74,1319760
2009-07-06 04:00:00,24.57,25.15,24.24,24.81,974820
2009-07-07 04:00:00,24.99,25.2,24.25,24.3,737450
2009-07-08 04:00:00,24.26,24.49,23.92,24.24,693800
2009-07-09 04:00:00,24.48,25.11,24.27,24.6,854700
2009-07-10 04:00:00,24.21,25.19,24.2,25.03,1124270
2009-07-13 04:00:00,25.16,25.75,24.74,25.72,560870
2009-07-14 04:00:00,25.79,25.8,25.37,25.57,560550
2009-07-15 04:00:00,25.81,26.4,25.49,26.28,1020840
2009-07-16 04:00:00,26.37,26.55,25.73,26.3,639460
2009-07-17 04:00:00,26.24,26.99,25.84,26.71,419080
2009-07-20 04:00:00,26.72,27.3,26.64,26.83,637580
2009-07-21 04:00:00,26.86,26.89,25.6,25.76,742820
2009-07-22 04:00:00,25.5,25.55,24.95,25.36,647310
2009-07-23 04:00:00,25.31,26.52,25.09,26.49,745710
2009-07-24 04:00:00,26.51,26.6,25.81,26.44,201630
2009-07-27 04:00:00,26.24,26.62,26.03,26.48,214420
2009-07-28 04:00:00,26.56,26.75,26.14,26.37,357660
2009-07-29 04:00:00,26.33,26.49,25.56,26.39,470000
2009-07-30 04:00:00,26.87,27.57,26.36,27.2,580350
2009-07-31 04:00:00,26.99,28.13,26.72,27.95,691880
2009-08-03 04:00:00,28.36,28.65,28.1,28.49,459820
2009-08-04 04:00:00,28.19,28.71,27.88,28.05,699760
2009-08-05 04:00:00,28.3,28.3,27.08,27.22,369610
2009-08-06 04:00:00,27.22,27.81,26.69,27.68,480010
2009-08-07 04:00:00,28.19,28.79,27.28,28.71,462280
2009-08-10 04:00:00,28.71,29.27,28.36,28.88,606730
2009-08-11 04:00:00,28.91,29.24,28.26,28.33,507920
2009-08-12 04:00:00,28.41,29.23,28.35,28.63,813840
2009-08-13 04:00:00,29.13,29.13,28.35,28.69,577520
2009-08-14 04:00:00,28.69,28.91,28.25,28.5,988900
2009-08-17 04:00:00,28.6,28.75,27.72,27.75,669560
2009-08-18 04:00:00,27.84,29.09,27.84,28.88,434830
2009-08-19 04:00:00,28.76,29.11,28.49,28.97,352710
2009-08-20 04:00:00,28.98,29.63,28.95,29.5,485520
2009-08-21 04:00:00,29.52,29.96,29.33,29.58,630770
2009-08-24 04:00:00,29.66,30.42,29.5,30.21,729920
2009-08-25 04:00:00,30.25,30.26,29.71,30.08,232770
2009-08-26 04:00:00,30.06,30.63,29.73,30.53,478630
2009-08-27 04:00:00,30.6,30.62,29.95,30.04,216500
2009-08-28 04:00:00,30.49,30.49,29.5,29.67,788650
2009-08-31 04:00:00,29.54,29.57,28.86,29.42,853260
2009-09-01 04:00:00,29.18,29.81,28.55,28.59,680720
2009-09-02 04:00:00,28.41,28.54,27.82,27.9,505980
2009-09-03 04:00:00,28.17,28.34,27.47,28.34,256540
2009-09-04 04:00:00,28.15,28.94,28.02,28.91,207220
2009-09-08 04:00:00,29.27,29.76,29.02,29.69,452880
2009-09-09 04:00:00,29.79,29.88,29.34,29.87,370010
2009-09-10 04:00:00,29.66,29.91,29.13,29.3,262770
2009-09-11 04:00:00,29.51,29.57,28.96,29.17,244780
2009-09-14 04:00:00,28.85,29.17,28.73,29.05,328800
2009-09-15 04:00:00,28.88,29.17,27.71,27.99,628240
2009-09-16 04:00:00,27.95,28.16,27.42,27.81,832520
2009-09-17 04:00:00,27.61,27.91,27.29,27.32,542450
2009-09-18 04:00:00,27.31,27.47,26.64,26.99,1044250
2009-09-21 04:00:00,26.95,27.51,26.5,27.38,927730
2009-09-22 04:00:00,27.5,28.62,27.5,28.16,605470
2009-09-23 04:00:00,28.3,29.3,27.91,28.86,885410
2009-09-24 04:00:00,28.78,29.0,28.5,28.75,703410
2009-09-25 04:00:00,28.45,28.57,27.91,28.21,488920
2009-09-28 04:00:00,28.53,29.7,28.24,29.64,268710
2009-09-29 04:00:00,29.86,30.42,29.75,30.25,432380
2009-09-30 04:00:00,30.48,30.48,29.47,29.62,681010
2009-10-01 04:00:00,26.65,27.95,26.1,27.14,3848700
2009-10-02 04:00:00,26.3,27.45,25.55,27.11,1512910
2009-10-05 04:00:00,27.1,27.35,27.03,27.21,786920
2009-10-06 04:00:00,27.27,27.42,26.01,26.24,1830850
2009-10-07 04:00:00,26.05,26.35,25.45,25.95,881360
2009-10-08 04:00:00,26.15,26.71,26.14,26.47,559210
2009-10-09 04:00:00,26.59,27.1,26.56,26.92,318520
2009-10-12 04:00:00,27.21,27.21,26.35,26.54,243040
2009-10-13 04:00:00,26.6,26.77,26.31,26.5,377120
2009-10-14 04:00:00,26.65,27.85,26.64,27.76,1015050
2009-10-15 04:00:00,27.72,28.58,27.54,28.33,802870
2009-10-16 04:00:00,28.09,28.25,27.42,28.03,1010270
2009-10-19 04:00:00,27.94,28.75,27.78,28.44,564600
2009-10-20 04:00:00,28.25,28.79,27.42,27.77,362170
2009-10-21 04:00:00,27.9,28.44,27.73,27.97,552340
2009-10-22 04:00:00,28.11,28.52,27.37,28.49,559600
