Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,20.37,20.59,20.24,20.59,40953162
2009-05-19 04:00:00,20.5,20.74,20.25,20.31,43106889
2009-05-20 04:00:00,20.41,20.69,20.22,20.39,44946654
2009-05-21 04:00:00,20.14,20.23,19.51,19.84,54431118
2009-05-22 04:00:00,19.91,20.17,19.47,19.76,35645653
2009-05-26 04:00:00,19.52,20.45,19.45,20.35,41435856
2009-05-27 04:00:00,20.24,20.6,20.07,20.11,38360651
2009-05-28 04:00:00,20.32,20.63,20.05,20.45,43147657
2009-05-29 04:00:00,20.56,20.94,20.3,20.84,36889800
2009-06-01 04:00:00,21.03,21.5,20.86,21.39,50538708
2009-06-02 04:00:00,21.35,21.98,21.2,21.4,45857801
2009-06-03 04:00:00,21.31,21.76,21.29,21.74,44002011
2009-06-04 04:00:00,21.75,21.9,21.58,21.81,35618605
2009-06-05 04:00:00,21.89,22.31,21.81,22.16,54709900
2009-06-08 04:00:00,21.98,22.32,21.63,22.06,45132693
2009-06-09 04:00:00,22.06,22.32,21.88,22.11,44349529
2009-06-10 04:00:00,22.17,22.62,22.12,22.56,55406148
2009-06-11 04:00:00,22.59,23.26,22.57,22.82,59473216
2009-06-12 04:00:00,22.9,23.38,22.74,23.34,47484676
2009-06-15 04:00:00,23.24,23.54,23.02,23.44,59138109
2009-06-16 04:00:00,23.52,24.11,23.44,23.45,97977974
2009-06-17 04:00:00,23.52,23.82,23.17,23.67,81590428
2009-06-18 04:00:00,23.62,23.69,23.3,23.5,55134677
2009-06-19 04:00:00,24.04,24.34,23.75,24.09,104493341
2009-06-22 04:00:00,23.95,23.95,23.25,23.29,65849926
2009-06-23 04:00:00,23.4,23.66,23.21,23.32,53749578
2009-06-24 04:00:00,23.46,23.75,23.36,23.49,51192738
2009-06-25 04:00:00,23.43,23.92,23.2,23.8,53508048
2009-06-26 04:00:00,23.58,23.69,23.32,23.35,46104197
2009-06-29 04:00:00,23.6,24.03,23.55,23.82,57613610
2009-06-30 04:00:00,23.97,24.24,23.63,23.77,55681172
2009-07-01 04:00:00,24.05,24.3,23.96,24.03,50441664
2009-07-02 04:00:00,23.76,23.79,23.21,23.36,60363616
2009-07-06 04:00:00,23.21,23.28,22.87,23.2,46242889
2009-07-07 04:00:00,23.07,23.14,22.46,22.54,48929563
2009-07-08 04:00:00,22.31,22.69,22.0,22.5799,67102812
2009-07-09 04:00:00,22.65,22.81,22.37,22.44,43782123
2009-07-10 04:00:00,22.2,22.54,22.15,22.39,39550788
2009-07-13 04:00:00,22.42,23.25,22.14,23.23,60669345
2009-07-14 04:00:00,23.2,23.22,22.86,23.11,41628738
2009-07-15 04:00:00,23.74,24.12,23.56,24.12,60231029
2009-07-16 04:00:00,23.95,24.44,23.86,24.44,60586449
2009-07-17 04:00:00,24.39,24.45,24.1,24.29,49310472
2009-07-20 04:00:00,24.44,24.53,24.15,24.53,41743158
2009-07-21 04:00:00,24.69,24.83,24.37,24.83,47527407
2009-07-22 04:00:00,24.7,24.9,24.51,24.754,61199298
2009-07-23 04:00:00,24.93,25.72,24.84,25.57,87286247
2009-07-24 04:00:00,23.62,23.89,22.81,23.45,203234238
2009-07-27 04:00:00,23.44,23.45,22.9,23.1,73457849
2009-07-28 04:00:00,22.99,23.55,22.9,23.48,66811826
2009-07-29 04:00:00,23.73,23.91,23.34,23.79,66920486
2009-07-30 04:00:00,24.2,24.43,23.71,23.81,63165927
2009-07-31 04:00:00,23.77,24.07,23.5,23.55,47550138
2009-08-03 04:00:00,23.81,23.86,23.5,23.82,42743667
2009-08-04 04:00:00,23.68,23.77,23.53,23.76,44128011
2009-08-05 04:00:00,23.84,24.25,23.79,23.82,49190593
2009-08-06 04:00:00,23.93,23.98,23.27,23.45,55645955
2009-08-07 04:00:00,23.75,23.82,23.5,23.57,42740080
2009-08-10 04:00:00,23.47,23.55,23.3,23.42,30460886
2009-08-11 04:00:00,23.32,23.4,23.05,23.14,30564642
2009-08-12 04:00:00,23.13,23.9,23.03,23.58,51746917
2009-08-13 04:00:00,23.63,23.85,23.4,23.63,35617887
2009-08-14 04:00:00,23.62,23.8,23.51,23.71,41402235
2009-08-17 04:00:00,23.32,23.6,23.23,23.24,36292693
2009-08-18 04:00:00,23.29,23.65,23.27,23.58,35340361
