Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,42.99,43.0,41.61,42.4,5798310
2009-05-19 04:00:00,42.84,44.2,42.14,43.46,5323843
2009-05-20 04:00:00,44.28,46.22,44.06,45.55,7026848
2009-05-21 04:00:00,45.42,46.75,44.21,46.62,8969564
2009-05-22 04:00:00,47.17,47.59,46.62,47.05,6475612
2009-05-26 04:00:00,45.79,47.42,45.29,47.19,7440191
2009-05-27 04:00:00,47.14,47.84,45.81,45.87,7083087
2009-05-28 04:00:00,46.31,48.02,46.31,47.35,6078107
2009-05-29 04:00:00,48.4,49.18,47.96,48.94,7738937
2009-06-01 04:00:00,48.88,49.84,47.78,47.99,9522452
2009-06-02 04:00:00,48.03,48.81,47.3,48.44,8655385
2009-06-03 04:00:00,47.94,48.19,45.67,46.46,8049038
2009-06-04 04:00:00,46.92,47.85,46.59,47.41,5576989
2009-06-05 04:00:00,46.0,46.32,44.43,44.89,8565440
2009-06-08 04:00:00,44.21,44.84,43.4,44.7,6264229
2009-06-09 04:00:00,45.22,45.5,44.26,44.86,5061009
2009-06-10 04:00:00,45.35,45.61,43.81,44.48,6158575
2009-06-11 04:00:00,43.98,44.88,43.67,44.11,6238178
2009-06-12 04:00:00,43.2,43.36,42.15,42.71,5951156
2009-06-15 04:00:00,42.4,42.43,41.39,41.6,5647078
2009-06-16 04:00:00,42.1,42.63,41.4,41.84,5571889
2009-06-17 04:00:00,41.87,42.26,41.06,42.02,5453782
2009-06-18 04:00:00,42.05,42.81,41.31,41.41,6335206
2009-06-19 04:00:00,41.86,42.23,41.04,41.85,7401471
2009-06-22 04:00:00,40.55,40.98,39.81,39.85,6040719
2009-06-23 04:00:00,40.16,41.5,39.93,41.29,5837868
2009-06-24 04:00:00,42.0,42.41,41.42,42.0,5797251
2009-06-25 04:00:00,42.17,43.1,42.0,43.05,5436499
2009-06-26 04:00:00,43.35,43.36,42.13,42.53,4258649
2009-06-29 04:00:00,42.78,42.88,42.08,42.33,4812108
2009-06-30 04:00:00,42.24,42.45,40.65,40.82,6178303
2009-07-01 04:00:00,41.78,42.73,41.44,42.17,6668939
2009-07-02 04:00:00,41.17,41.58,40.21,40.23,5848955
