Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,48.65,48.88,47.9,48.16,1854397
2009-05-18 04:00:00,46.25,47.84,46.24,47.6,3728688
2009-05-19 04:00:00,47.62,48.76,47.15,48.31,2776216
2009-05-20 04:00:00,48.76,49.67,48.61,49.18,2895701
2009-05-21 04:00:00,48.66,49.08,47.81,48.15,3091758
2009-05-22 04:00:00,48.39,48.68,47.92,48.0,1501374
2009-05-26 04:00:00,47.65,49.64,47.65,49.0,2621187
2009-05-27 04:00:00,48.62,49.0,47.97,48.0,1981983
2009-05-28 04:00:00,47.68,48.32,47.27,47.95,2729155
2009-05-29 04:00:00,48.01,48.01,46.57,47.62,2268446
2009-06-01 04:00:00,48.0,49.14,47.38,48.55,2848632
2009-06-02 04:00:00,48.55,48.79,47.89,48.2,3447330
2009-06-03 04:00:00,47.82,48.23,47.28,47.59,2073311
2009-06-04 04:00:00,47.69,48.24,47.65,48.17,2399855
2009-06-05 04:00:00,48.73,48.85,47.98,48.41,2817681
2009-06-08 04:00:00,48.33,49.0,47.89,48.64,1874602
2009-06-09 04:00:00,48.67,48.93,47.62,48.34,1907873
2009-06-10 04:00:00,48.54,48.87,47.39,47.94,2560919
2009-06-11 04:00:00,48.2,48.78,47.93,48.18,2146693
2009-06-12 04:00:00,47.85,49.02,47.8,48.77,1920725
2009-06-15 04:00:00,48.17,48.37,47.23,47.8,1933052
2009-06-16 04:00:00,47.79,48.13,46.78,46.85,1597000
2009-06-17 04:00:00,46.71,47.43,46.49,47.16,1726989
2009-06-18 04:00:00,47.25,47.6,46.77,47.37,1528052
2009-06-19 04:00:00,47.78,47.78,46.98,47.06,2138565
2009-06-22 04:00:00,46.86,47.02,46.44,46.67,1684015
2009-06-23 04:00:00,46.84,46.84,45.14,45.23,2912226
2009-06-24 04:00:00,45.42,45.88,44.79,44.92,4533481
2009-06-25 04:00:00,45.16,46.68,44.9,46.38,2524966
2009-06-26 04:00:00,46.16,46.5598,45.85,45.88,1836451
2009-06-29 04:00:00,46.01,46.74,46.01,46.66,1769893
2009-06-30 04:00:00,46.45,46.495,45.52,45.69,2531255
2009-07-01 04:00:00,45.61,46.34,45.61,46.08,2074452
2009-07-02 04:00:00,45.53,45.64,44.46,44.52,2194725
2009-07-06 04:00:00,44.13,44.92,44.0,44.81,2070676
2009-07-07 04:00:00,44.64,45.07,43.22,43.25,2366600
2009-07-08 04:00:00,43.29,43.81,43.19,43.62,3241635
2009-07-09 04:00:00,43.8,43.8,43.1,43.3,1560357
2009-07-10 04:00:00,43.06,43.54,42.89,43.26,1874637
2009-07-13 04:00:00,43.29,44.31,42.98,44.23,2144452
2009-07-14 04:00:00,44.26,45.385,44.12,45.26,2514030
2009-07-15 04:00:00,45.52,46.23,45.22,46.01,2142999
2009-07-16 04:00:00,45.98,47.35,45.97,47.08,1914337
2009-07-17 04:00:00,46.94,47.16,46.43,46.95,1716748
2009-07-20 04:00:00,46.97,47.64,46.75,47.53,1191909
2009-07-21 04:00:00,47.93,47.93,46.48,47.12,1924514
2009-07-22 04:00:00,46.43,47.78,46.25,47.1,2379711
2009-07-23 04:00:00,46.49,46.5,45.19,46.21,3184822
2009-07-24 04:00:00,44.72,45.3,43.59,43.82,4431159
2009-07-27 04:00:00,43.58,43.68,42.51,43.42,2690402
2009-07-28 04:00:00,43.15,44.0,42.91,43.87,2785676
2009-07-29 04:00:00,43.54,45.0305,43.54,45.0,2760349
2009-07-30 04:00:00,45.44,46.09,45.1715,45.48,2101067
2009-07-31 04:00:00,45.48,45.98,44.53,44.57,2548463
2009-08-03 04:00:00,45.0,46.17,44.5,46.06,3026499
2009-08-04 04:00:00,46.04,46.9,45.82,46.8,2616684
2009-08-05 04:00:00,46.66,46.85,46.05,46.64,2636473
2009-08-06 04:00:00,46.79,47.74,46.59,46.99,2047880
2009-08-07 04:00:00,47.14,48.57,46.82,48.16,2510101
2009-08-10 04:00:00,48.08,48.08,47.18,47.64,1886823
2009-08-11 04:00:00,47.19,47.77,46.58,46.621,2286633
2009-08-12 04:00:00,46.4,48.38,46.32,48.05,2343493
2009-08-13 04:00:00,48.07,48.21,47.44,47.9,2215702
2009-08-14 04:00:00,47.84,48.3,46.83,47.39,1947842
2009-08-17 04:00:00,46.97,46.99,46.16,46.78,2092443
2009-08-18 04:00:00,46.8,47.46,46.52,47.36,2193118
2009-08-19 04:00:00,46.95,47.98,46.95,47.92,2799188
2009-08-20 04:00:00,48.05,48.23,47.43,47.7,1951034
2009-08-21 04:00:00,48.32,50.0,47.8,49.95,3047683
2009-08-24 04:00:00,50.01,50.1,49.06,49.58,2367391
2009-08-25 04:00:00,49.92,49.97,49.3,49.38,1980645
2009-08-26 04:00:00,49.47,49.57,48.57,48.93,2600097
2009-08-27 04:00:00,49.52,49.84,48.78,49.33,2033396
2009-08-28 04:00:00,49.66,49.66,48.58,48.88,1214834
2009-08-31 04:00:00,48.46,49.0394,48.25,48.82,1578126
2009-09-01 04:00:00,48.74,49.41,48.26,48.82,2987819
2009-09-02 04:00:00,48.64,48.69,47.55,47.9,2122224
2009-09-03 04:00:00,48.0,48.36,47.465,47.89,1620796
2009-09-04 04:00:00,47.81,48.69,47.7,48.68,2360719
2009-09-08 04:00:00,48.92,48.98,48.45,48.69,2283631
2009-09-09 04:00:00,48.58,49.12,48.46,48.55,2190552
2009-09-10 04:00:00,48.42,48.81,48.15,48.77,1609974
