Date,Open,High,Low,Close,Volume
2008-01-03 05:00:00,10.27,10.28,10.27,10.28,1000
2008-01-04 05:00:00,10.28,10.28,10.0,10.0,6000
2008-01-08 05:00:00,10.01,10.3,9.77,10.3,4700
2008-01-09 05:00:00,10.1,10.1,10.1,10.1,200
2008-01-10 05:00:00,10.1,10.1,10.1,10.1,500
2008-01-16 05:00:00,10.65,10.65,10.65,10.65,100
2008-01-17 05:00:00,10.75,10.75,10.11,10.11,10000
2008-01-18 05:00:00,10.1,10.1,10.1,10.1,5000
2008-01-22 05:00:00,11.0,11.0,10.1,10.4,14350
2008-01-23 05:00:00,10.1,10.35,10.0,10.0,16597
2008-01-25 05:00:00,10.39,10.4,10.0,10.0,2200
2008-01-28 05:00:00,9.76,9.76,9.76,9.76,500
2008-01-29 05:00:00,9.99,9.99,8.83,9.45,7900
2008-01-30 05:00:00,9.45,9.47,9.45,9.47,900
2008-01-31 05:00:00,9.37,9.37,9.37,9.37,200
2008-02-01 05:00:00,9.49,9.49,9.49,9.49,200
2008-02-04 05:00:00,9.65,9.75,9.65,9.75,3400
2008-02-05 05:00:00,9.78,9.79,9.65,9.65,3700
2008-02-06 05:00:00,9.75,9.75,9.38,9.5,9100
2008-02-07 05:00:00,9.47,9.9,9.47,9.9,2950
2008-02-08 05:00:00,9.47,9.65,9.38,9.65,1300
2008-02-11 05:00:00,9.79,9.79,9.65,9.65,600
2008-02-12 05:00:00,9.79,9.8,9.66,9.8,3700
2008-02-13 05:00:00,9.77,9.77,9.77,9.77,100
2008-02-14 05:00:00,9.9,9.9,9.9,9.9,200
2008-02-15 05:00:00,10.0,10.0,10.0,10.0,500
2008-02-19 05:00:00,10.0,10.0,10.0,10.0,100
2008-02-20 05:00:00,10.0,10.0,10.0,10.0,600
2008-02-21 05:00:00,9.9,9.9,9.9,9.9,400
2008-02-22 05:00:00,10.0,10.25,9.9,10.0,6300
2008-02-25 05:00:00,9.74,10.0,9.74,10.0,1600
2008-02-26 05:00:00,9.95,9.95,9.74,9.74,4500
2008-02-28 05:00:00,9.71,9.81,9.56,9.81,1000
2008-02-29 05:00:00,9.51,9.8,9.0,9.41,1900
2008-03-03 05:00:00,9.99,9.99,9.38,9.38,1100
2008-03-04 05:00:00,9.38,9.38,9.37,9.37,3000
2008-03-05 05:00:00,9.38,9.44,9.38,9.44,1400
2008-03-06 05:00:00,9.41,9.5,9.41,9.5,500
2008-03-07 05:00:00,9.75,9.75,9.6,9.75,1500
2008-03-10 04:00:00,10.0,10.0,10.0,10.0,300
2008-03-11 04:00:00,9.98,9.98,9.98,9.98,300
2008-03-12 04:00:00,9.98,9.98,9.6,9.6,3700
2008-03-13 04:00:00,9.38,9.47,9.3,9.3,6800
2008-03-17 04:00:00,9.01,9.17,8.9,9.17,18200
2008-03-18 04:00:00,9.18,9.62,9.18,9.62,5400
2008-03-20 04:00:00,9.48,9.48,9.37,9.37,500
2008-03-24 04:00:00,9.8,9.86,9.45,9.46,9000
2008-03-25 04:00:00,9.49,9.49,9.49,9.49,1400
2008-03-26 04:00:00,9.38,9.38,9.38,9.38,100
2008-03-27 04:00:00,9.35,9.35,9.35,9.35,100
2008-03-28 04:00:00,9.36,9.36,9.36,9.36,400
2008-04-03 04:00:00,9.38,9.38,9.38,9.38,1300
2008-04-04 04:00:00,9.44,9.44,9.44,9.44,12100
2008-04-07 04:00:00,9.55,9.55,9.55,9.55,300
2008-04-09 04:00:00,9.42,9.42,9.4,9.4,4500
2008-04-10 04:00:00,9.36,9.37,9.35,9.35,800
2008-04-11 04:00:00,9.55,9.55,9.55,9.55,100
2008-04-14 04:00:00,9.29,9.43,9.29,9.43,2400
2008-04-15 04:00:00,9.11,9.36,9.11,9.36,2800
2008-04-16 04:00:00,9.36,9.36,9.36,9.36,5600
2008-04-18 04:00:00,9.32,9.32,9.32,9.32,100
2008-04-22 04:00:00,9.38,9.38,9.33,9.33,5000
2008-04-28 04:00:00,10.0,10.0,9.42,9.42,421
2008-04-29 04:00:00,9.42,9.42,9.34,9.34,200
2008-05-01 04:00:00,9.42,9.42,9.41,9.41,1200
2008-05-05 04:00:00,9.41,9.41,9.41,9.41,100
2008-05-07 04:00:00,9.41,9.45,9.32,9.32,13000
2008-05-08 04:00:00,9.24,9.24,9.24,9.24,8500
2008-05-09 04:00:00,9.98,9.98,9.25,9.25,2140
2008-05-12 04:00:00,9.44,9.44,9.44,9.44,1202
2008-05-15 04:00:00,9.35,9.35,9.28,9.28,1200
2008-05-16 04:00:00,9.35,9.35,9.35,9.35,136
2008-05-20 04:00:00,9.25,9.25,9.24,9.24,2819
2008-05-21 04:00:00,9.24,9.24,9.22,9.24,500
2008-05-22 04:00:00,9.1,9.22,9.1,9.22,1144
2008-05-23 04:00:00,9.22,9.22,9.22,9.22,5125
2008-05-27 04:00:00,9.35,9.5,9.35,9.5,700
2008-05-29 04:00:00,9.34,9.34,9.22,9.22,694
2008-06-02 04:00:00,9.22,9.25,9.22,9.25,500
2008-06-03 04:00:00,9.22,9.23,9.22,9.22,1600
2008-06-05 04:00:00,9.22,9.22,9.22,9.22,100
2008-06-17 04:00:00,9.02,9.02,9.02,9.02,200
2008-06-26 04:00:00,9.05,9.05,9.03,9.03,521
2008-06-27 04:00:00,9.06,9.06,9.06,9.06,200
2008-07-01 04:00:00,9.2,9.3,9.2,9.2,466
2008-07-07 04:00:00,9.25,9.25,9.25,9.25,1000
2008-07-08 04:00:00,9.05,9.06,9.02,9.02,2348
2008-07-09 04:00:00,9.1,9.1,9.05,9.05,2200
2008-07-11 04:00:00,9.01,9.01,9.01,9.01,100
2008-07-14 04:00:00,9.01,9.1,9.01,9.01,1305
