Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,35.67,36.32,35.11,36.28,4038650
2009-05-19 04:00:00,36.49,36.94,35.95,36.05,3164336
2009-05-20 04:00:00,36.42,38.25,36.29,36.69,4215978
2009-05-21 04:00:00,36.16,36.28,33.96,34.43,6090530
2009-05-22 04:00:00,34.48,35.58,34.41,35.2,3209546
2009-05-26 04:00:00,35.31,36.96,34.67,36.47,5132574
2009-05-27 04:00:00,36.5,36.57,34.75,34.91,4505624
2009-05-28 04:00:00,35.53,35.54,34.3399,35.38,3154561
2009-05-29 04:00:00,35.61,37.2,35.47,37.19,4269040
2009-06-01 04:00:00,37.57,39.91,37.1,39.51,6949823
2009-06-02 04:00:00,39.46,40.88,39.35,40.16,5481227
2009-06-03 04:00:00,39.87,40.21,38.35,38.99,3981379
2009-06-04 04:00:00,39.21,40.51,38.72,40.42,5037730
2009-06-05 04:00:00,41.0,41.88,40.29,40.77,4829924
2009-06-08 04:00:00,39.98,41.51,39.97,40.97,4126521
2009-06-09 04:00:00,40.85,41.9,40.73,41.11,3950698
2009-06-10 04:00:00,41.69,41.69,39.75,40.54,4531081
2009-06-11 04:00:00,40.51,41.23,40.355,40.4,2701967
2009-06-12 04:00:00,40.39,41.4,40.03,41.25,3381645
2009-06-15 04:00:00,40.35,40.9,38.67,39.27,4571436
2009-06-16 04:00:00,39.56,40.21,38.82,38.89,4044118
2009-06-17 04:00:00,38.77,39.15,38.02,38.33,4108392
2009-06-18 04:00:00,38.6,38.6,37.53,38.08,3144692
2009-06-19 04:00:00,38.36,38.91,37.95,38.48,4750425
2009-06-22 04:00:00,37.55,38.0,36.33,36.44,3300783
2009-06-23 04:00:00,36.53,36.8764,35.922,36.44,2708174
2009-06-24 04:00:00,36.94,38.09,36.65,36.93,4981976
2009-06-25 04:00:00,36.77,39.22,36.67,38.99,4109757
2009-06-26 04:00:00,38.76,39.54,38.26,39.18,3288216
2009-06-29 04:00:00,38.85,39.29,37.9,38.21,3518284
2009-06-30 04:00:00,38.41,38.7178,37.16,37.69,3680835
2009-07-01 04:00:00,37.52,39.27,37.52,38.14,3582918
2009-07-02 04:00:00,37.76,37.89,36.85,37.1,2976738
