Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,8.39,8.7,8.33,8.52,24136961
2009-05-15 04:00:00,8.55,9.04,8.48,8.76,18690523
2009-05-18 04:00:00,8.95,9.33,8.94,9.28,22343392
2009-05-19 04:00:00,9.33,9.56,9.18,9.46,20685896
2009-05-20 04:00:00,9.6,10.25,9.58,9.73,31642867
2009-05-21 04:00:00,9.6,9.8,9.4,9.66,23272488
2009-05-22 04:00:00,9.67,9.96,9.4876,9.82,17516022
2009-05-26 04:00:00,9.7,10.43,9.63,10.341,20631741
2009-05-27 04:00:00,10.3,10.68,10.2,10.38,19888992
2009-05-28 04:00:00,10.53,10.6,10.06,10.51,24384135
2009-05-29 04:00:00,10.52,10.54,10.07,10.42,19496969
2009-06-01 04:00:00,10.55,11.0,10.51,10.95,24827449
2009-06-02 04:00:00,10.94,11.18,10.65,10.85,22117473
2009-06-03 04:00:00,10.8,10.8,10.25,10.51,17531973
2009-06-04 04:00:00,10.54,10.91,10.53,10.88,16065419
2009-06-05 04:00:00,10.99,11.09,10.7,10.84,13707361
2009-06-08 04:00:00,10.73,10.92,10.5,10.77,11363706
2009-06-09 04:00:00,10.92,11.48,10.84,11.38,17374935
2009-06-10 04:00:00,11.42,11.79,11.17,11.742,18844012
2009-06-11 04:00:00,11.78,12.2,11.5,11.55,20116147
2009-06-12 04:00:00,11.39,11.55,11.14,11.52,14351414
2009-06-15 04:00:00,11.33,11.45,11.12,11.3,10471120
2009-06-16 04:00:00,11.34,11.46,10.85,11.01,14365977
2009-06-17 04:00:00,11.18,11.39,10.75,11.28,18971771
2009-06-18 04:00:00,11.24,11.45,10.935,11.06,13685154
2009-06-19 04:00:00,11.17,11.455,11.03,11.21,16921364
2009-06-22 04:00:00,11.22,11.22,10.51,10.54,13514911
2009-06-23 04:00:00,10.65,10.67,10.085,10.49,14114801
2009-06-24 04:00:00,10.65,11.1,10.6,10.87,12420316
2009-06-25 04:00:00,10.75,11.44,10.64,11.42,20587362
2009-06-26 04:00:00,11.4,11.61,11.27,11.5632,11505375
2009-06-29 04:00:00,11.61,11.78,11.4495,11.56,11745306
2009-06-30 04:00:00,11.45,11.69,11.08,11.29,13750450
2009-07-01 04:00:00,11.36,11.49,11.15,11.32,16740715
2009-07-02 04:00:00,10.97,11.11,10.75,10.89,13057629
2009-07-06 04:00:00,10.87,10.92,10.37,10.55,17744234
2009-07-07 04:00:00,10.59,10.6499,10.06,10.09,25661292
2009-07-08 04:00:00,10.19,10.19,9.71,10.11,29407052
2009-07-09 04:00:00,10.28,10.5,10.25,10.31,17335812
2009-07-10 04:00:00,10.24,10.44,10.11,10.38,12492543
2009-07-13 04:00:00,10.58,10.58,9.95,10.49,12948403
2009-07-14 04:00:00,10.6,10.75,10.45,10.71,10393494
2009-07-15 04:00:00,11.1,11.37,11.0,11.15,24440327
2009-07-16 04:00:00,11.27,11.77,11.21,11.75,23175600
2009-07-17 04:00:00,11.74,12.11,11.61,12.07,20007574
2009-07-20 04:00:00,12.17,12.35,12.01,12.22,17199661
2009-07-21 04:00:00,12.25,12.25,11.69,11.97,21753700
2009-07-22 04:00:00,11.73,12.38,11.65,12.27,14063096
2009-07-23 04:00:00,12.29,13.04,12.16,13.0,24363688
2009-07-24 04:00:00,12.6,13.0,12.52,12.98,15883605
2009-07-27 04:00:00,12.85,13.21,12.72,13.03,16508900
2009-07-28 04:00:00,12.93,13.18,12.82,13.04,13812410
2009-07-29 04:00:00,12.89,12.97,12.65,12.79,8897578
2009-07-30 04:00:00,13.0,13.17,12.77,12.88,11295351
2009-07-31 04:00:00,12.88,13.11,12.58,12.93,12711040
2009-08-03 04:00:00,13.24,13.43,12.99,13.28,11215745
2009-08-04 04:00:00,13.05,13.6,13.03,13.37,16910934
2009-08-05 04:00:00,13.29,13.5,13.1301,13.41,14104729
2009-08-06 04:00:00,13.46,13.69,13.1,13.13,21092861
2009-08-07 04:00:00,13.92,14.23,13.52,13.71,33507193
2009-08-10 04:00:00,13.77,14.01,13.18,13.24,16705139
2009-08-11 04:00:00,13.2,13.37,12.88,12.93,11616640
2009-08-12 04:00:00,12.96,13.57,12.95,13.45,15149239
2009-08-13 04:00:00,13.53,13.88,13.29,13.86,13525736
2009-08-14 04:00:00,13.82,13.83,13.24,13.41,10136242
2009-08-17 04:00:00,13.02,13.05,12.72,12.86,10144509
2009-08-18 04:00:00,12.86,13.48,12.85,13.33,15420875
2009-08-19 04:00:00,13.13,13.26,13.0,13.18,13460726
2009-08-20 04:00:00,13.12,13.76,13.0901,13.7,19489594
2009-08-21 04:00:00,13.81,13.95,13.53,13.93,14845353
2009-08-24 04:00:00,13.85,14.0,13.46,13.54,11294831
2009-08-25 04:00:00,13.67,13.8,13.38,13.67,10633023
2009-08-26 04:00:00,13.63,13.85,13.5807,13.82,10451019
2009-08-27 04:00:00,13.9,14.07,13.73,14.01,13235463
2009-08-28 04:00:00,14.4,15.03,14.37,14.74,21169807
2009-08-31 04:00:00,14.64,14.64,14.33,14.5,10103492
2009-09-01 04:00:00,14.51,14.92,13.95,14.0,17651886
2009-09-02 04:00:00,14.08,14.37,13.97,14.23,9579332
2009-09-03 04:00:00,14.23,14.59,14.19,14.58,12845755
2009-09-04 04:00:00,14.51,15.21,14.51,15.11,12416945
2009-09-08 04:00:00,15.22,15.53,15.1,15.52,13344229
2009-09-09 04:00:00,15.5,15.99,15.28,15.96,13753813
2009-09-10 04:00:00,15.97,16.49,15.83,16.47,14168758
2009-09-11 04:00:00,16.43,16.49,16.2,16.31,17114721
2009-09-14 04:00:00,16.09,16.21,15.91,16.04,11721879
2009-09-15 04:00:00,16.2,16.58,16.05,16.37,12683873
2009-09-16 04:00:00,16.34,16.37,15.7,15.94,16209876
2009-09-17 04:00:00,15.9,15.9,14.9682,15.23,22542745
2009-09-18 04:00:00,15.39,15.5,15.1,15.22,14378076
2009-09-21 04:00:00,15.08,15.41,14.91,15.16,13528515
2009-09-22 04:00:00,15.25,15.35,15.06,15.18,8705586
2009-09-23 04:00:00,15.27,15.4,14.92,14.94,11651228
2009-09-24 04:00:00,15.19,15.19,14.69,14.76,13397699
2009-09-25 04:00:00,14.64,14.73,14.39,14.5,9003238
2009-09-28 04:00:00,14.55,15.2,14.55,14.82,11355022
2009-09-29 04:00:00,14.92,15.1,14.53,14.55,11157566
2009-09-30 04:00:00,14.93,15.21,14.53,15.03,20919191
2009-10-01 04:00:00,14.94,14.98,13.95,13.96,23149992
2009-10-02 04:00:00,13.82,14.15,13.74,13.85,13885808
2009-10-05 04:00:00,14.05,14.05,13.54,13.78,18124378
2009-10-06 04:00:00,13.95,14.25,13.85,14.01,18416465
2009-10-07 04:00:00,13.91,14.06,13.75,13.9,11064775
2009-10-08 04:00:00,13.98,14.02,13.49,13.99,29637404
2009-10-09 04:00:00,13.97,14.19,13.89,14.16,15066076
2009-10-12 04:00:00,13.93,14.28,13.92,14.01,11961891
2009-10-13 04:00:00,14.09,14.25,13.83,13.95,13803791
2009-10-14 04:00:00,14.5,14.5,13.87,13.93,25703686
2009-10-15 04:00:00,13.98,14.05,13.44,13.54,25698712
2009-10-16 04:00:00,13.37,13.4,12.98,13.22,24688488
2009-10-19 04:00:00,13.3,13.81,13.22,13.7,17068509
2009-10-20 04:00:00,13.89,14.03,13.6,13.71,16019829
2009-10-21 04:00:00,13.68,13.87,13.31,13.38,12219098
2009-10-22 04:00:00,13.3,13.54,13.08,13.47,9034868
2009-10-23 04:00:00,13.59,13.65,13.07,13.15,10414443
2009-10-26 04:00:00,13.25,13.45,12.91,12.98,11739103
2009-10-27 04:00:00,13.04,13.11,12.41,12.54,14420797
2009-10-28 04:00:00,12.26,12.535,11.96,12.03,18797198
2009-10-29 04:00:00,12.2,12.61,12.1,12.54,15515922
2009-10-30 04:00:00,12.49,12.535,11.9,11.96,14350755
2009-11-02 05:00:00,11.97,12.33,11.73,12.06,14515459
2009-11-03 05:00:00,11.67,12.07,11.56,12.01,20733943
2009-11-04 05:00:00,12.17,12.23,11.93,11.98,22090322
2009-11-05 05:00:00,12.14,12.39,12.08,12.26,20291505
2009-11-06 05:00:00,13.05,13.43,12.88,13.16,39552665
2009-11-09 05:00:00,13.34,13.65,13.33,13.47,19400089
2009-11-10 05:00:00,13.51,13.51,12.96,13.13,18946097
2009-11-11 05:00:00,13.36,13.82,13.3275,13.5,21182258
2009-11-12 05:00:00,13.62,13.85,13.42,13.46,12209663
2009-11-13 05:00:00,13.45,13.63,13.39,13.56,9447471
2009-11-16 05:00:00,13.69,13.91,13.61,13.76,9631003
2009-11-17 05:00:00,13.83,13.83,13.47,13.73,8493682
2009-11-18 05:00:00,13.6,13.65,13.29,13.52,10537904
2009-11-19 05:00:00,13.13,13.23,12.74,12.98,19975144
2009-11-20 05:00:00,12.7,12.96,12.65,12.9,10258758
2009-11-23 05:00:00,13.09,13.327,12.94,13.0,9298751
2009-11-24 05:00:00,12.94,13.03,12.71,12.92,9730407
2009-11-25 05:00:00,13.07,13.25,12.975,13.07,8850143
2009-11-27 05:00:00,12.6,12.94,12.53,12.79,6583172
2009-11-30 05:00:00,12.84,13.07,12.7,13.06,10697855
2009-12-01 05:00:00,13.13,13.47,13.13,13.33,10986738
2009-12-02 05:00:00,13.35,13.75,13.27,13.72,14689912
2009-12-03 05:00:00,13.88,14.13,13.81,13.83,15685227
2009-12-04 05:00:00,14.11,14.32,13.87,14.26,19715464
2009-12-07 05:00:00,15.85,16.45,15.1,16.09,64657142
2009-12-08 05:00:00,15.86,15.9,15.22,15.3,25831226
2009-12-09 05:00:00,15.47,15.805,15.32,15.69,16203193
2009-12-10 05:00:00,15.8,15.9,15.36,15.4,9990868
2009-12-11 05:00:00,15.51,15.56,15.17,15.22,9922240
2009-12-14 05:00:00,15.43,15.72,15.26,15.67,9639932
2009-12-15 05:00:00,15.56,15.91,15.52,15.65,10623008
2009-12-16 05:00:00,16.22,17.09,16.12,16.91,40371058
2009-12-17 05:00:00,16.95,17.48,16.58,16.85,24605048
2009-12-18 05:00:00,16.96,17.03,16.62,16.84,17526494
2009-12-21 05:00:00,16.92,17.49,16.9,17.43,10150411
2009-12-22 05:00:00,17.4,18.06,17.4,18.06,18764529
2009-12-23 05:00:00,18.05,18.18,17.82,18.13,10583299
2009-12-24 05:00:00,18.18,18.21,18.02,18.09,3330816
2009-12-28 05:00:00,18.05,18.22,17.62,17.8,11362095
2009-12-29 05:00:00,17.74,18.07,17.7,18.02,9366659
