Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,18.24,18.58,18.1,18.44,23119421
2009-05-15 04:00:00,18.58,18.74,18.35,18.43,18837326
2009-05-18 04:00:00,18.68,18.94,18.47,18.92,21319606
2009-05-19 04:00:00,18.8,19.21,18.77,18.97,21651046
2009-05-20 04:00:00,19.08,19.4,18.88,18.96,26271527
2009-05-21 04:00:00,18.76,18.83,18.3475,18.56,24523664
2009-05-22 04:00:00,18.54,19.09,18.44,18.65,23426314
2009-05-26 04:00:00,18.47,19.2,18.28,19.12,26089518
2009-05-27 04:00:00,18.98,19.45,18.91,18.97,25910007
2009-05-28 04:00:00,19.04,19.37,18.83,19.21,24058194
2009-05-29 04:00:00,19.28,19.6,19.16,19.49,35397713
2009-06-01 04:00:00,19.74,20.02,19.6,19.92,29527406
2009-06-02 04:00:00,19.83,20.44,19.77,20.35,28142626
2009-06-03 04:00:00,20.25,20.51,20.09,20.34,24322723
2009-06-04 04:00:00,20.35,20.665,20.265,20.61,27531521
2009-06-05 04:00:00,20.89,20.93,20.51,20.72,24715569
2009-06-08 04:00:00,20.6,21.07,20.53,20.87,31776705
2009-06-09 04:00:00,20.96,21.2,20.83,20.99,22075641
2009-06-10 04:00:00,21.1,21.19,20.43,20.72,30447989
2009-06-11 04:00:00,20.75,21.2,20.66,20.94,24408640
2009-06-12 04:00:00,20.85,20.9,19.47,20.88,21824778
2009-06-15 04:00:00,20.64,20.65,20.0,20.25,35133118
2009-06-16 04:00:00,20.18,20.27,19.68,19.68,39307553
2009-06-17 04:00:00,19.72,20.17,19.7,19.95,31409079
2009-06-18 04:00:00,20.17,20.46,19.982,20.26,32000697
2009-06-19 04:00:00,20.42,20.92,20.37,20.59,29413741
2009-06-22 04:00:00,20.48,20.75,19.93,19.96,33543983
2009-06-23 04:00:00,20.17,20.21,19.73,19.87,32999805
2009-06-24 04:00:00,20.86,21.75,20.78,21.35,92263808
2009-06-25 04:00:00,21.25,21.71,21.13,21.62,43382877
2009-06-26 04:00:00,21.53,21.54,21.15,21.24,31809329
2009-06-29 04:00:00,21.26,21.71,21.22,21.51,25760142
2009-06-30 04:00:00,21.49,21.75,21.28,21.42,26119356
2009-07-01 04:00:00,21.63,22.0,21.62,21.72,25385780
2009-07-02 04:00:00,21.33,21.34,20.86,21.01,24628769
2009-07-06 04:00:00,20.93,21.04,20.5,20.66,34709096
2009-07-07 04:00:00,20.67,20.78,20.12,20.17,33708519
2009-07-08 04:00:00,20.21,20.79,19.79,20.57,51418215
2009-07-09 04:00:00,20.52,20.77,20.18,20.31,28363004
2009-07-10 04:00:00,20.2,20.63,20.19,20.48,20668268
2009-07-13 04:00:00,20.52,20.73,20.12,20.7,23732577
2009-07-14 04:00:00,20.64,20.72,20.28,20.62,20346238
2009-07-15 04:00:00,20.86,21.53,20.77,21.47,28442513
2009-07-16 04:00:00,21.59,21.77,21.37,21.64,22606702
2009-07-17 04:00:00,21.69,21.74,21.4,21.74,19621189
2009-07-20 04:00:00,21.7,21.83,21.34,21.51,26036336
2009-07-21 04:00:00,21.99,22.0,21.43,21.94,34357713
2009-07-22 04:00:00,21.94,21.98,21.63,21.76,22140096
2009-07-23 04:00:00,21.66,22.4,21.59,22.2,28466356
2009-07-24 04:00:00,21.92,22.48,21.91,22.33,23250770
2009-07-27 04:00:00,22.29,22.31,21.75,21.98,22145389
2009-07-28 04:00:00,21.86,22.32,21.72,22.27,24060275
2009-07-29 04:00:00,22.13,22.28,21.83,22.0,19688731
2009-07-30 04:00:00,22.24,22.47,21.91,22.15,26552051
2009-07-31 04:00:00,22.16,22.42,22.07,22.1,20499074
2009-08-03 04:00:00,22.29,22.38,22.0,22.3,22284112
2009-08-04 04:00:00,22.24,22.28,21.685,21.88,26325367
2009-08-05 04:00:00,21.83,21.85,21.18,21.43,33792228
2009-08-06 04:00:00,21.45,21.94,21.09,21.21,26463718
2009-08-07 04:00:00,21.45,21.84,21.37,21.42,24112001
2009-08-10 04:00:00,21.24,21.41,21.03,21.25,18523318
2009-08-11 04:00:00,21.13,21.41,21.03,21.29,23728748
2009-08-12 04:00:00,21.3,22.1,21.25,21.92,31447541
2009-08-13 04:00:00,21.93,22.03,21.77,22.0,24394736
2009-08-14 04:00:00,21.93,22.08,21.66,21.95,22283264
2009-08-17 04:00:00,21.63,21.75,21.37,21.4,17237839
2009-08-18 04:00:00,21.47,21.96,21.31,21.55,14327480
2009-08-19 04:00:00,21.32,21.84,21.2,21.78,20123538
2009-08-20 04:00:00,21.72,22.05,21.61,21.94,19274695
2009-08-21 04:00:00,22.14,22.14,21.74,22.11,23646501
2009-08-24 04:00:00,22.13,22.49,22.04,22.32,21388957
2009-08-25 04:00:00,22.44,22.55,22.2,22.22,24496638
2009-08-26 04:00:00,22.17,22.26,22.0,22.2,16049844
2009-08-27 04:00:00,22.15,22.21,21.78,22.15,18769822
2009-08-28 04:00:00,22.29,22.6101,22.1,22.15,21792105
2009-08-31 04:00:00,22.0,22.19,21.73,21.87,21586055
2009-09-01 04:00:00,21.78,22.31,21.67,21.92,31255539
