Date,Open,High,Low,Close,Volume
2009-05-12 04:00:00,32.2,32.83,30.22,31.12,6297412
2009-05-13 04:00:00,30.64,30.78,29.31,29.64,5251953
2009-05-14 04:00:00,29.87,30.18,29.03,29.61,3868189
2009-05-15 04:00:00,29.23,29.75,28.49,28.89,6228241
2009-05-18 04:00:00,29.78,30.31,28.8,30.25,4980098
2009-05-19 04:00:00,30.08,30.83,29.68,30.38,3326139
2009-05-20 04:00:00,30.38,31.02,29.43,29.59,3243085
2009-05-21 04:00:00,28.84,29.16,27.87,28.38,4350787
2009-05-22 04:00:00,28.12,28.775,27.92,28.27,3094674
2009-05-26 04:00:00,27.96,29.74,27.92,29.6,3547051
2009-05-27 04:00:00,29.61,29.89,28.82,28.93,3179029
2009-05-28 04:00:00,29.2,29.49,28.11,29.22,3542940
2009-05-29 04:00:00,28.98,29.84,28.41,29.78,2713875
2009-06-01 04:00:00,30.42,33.29,30.4,33.18,6474713
2009-06-02 04:00:00,32.84,34.93,32.715,34.49,7672877
2009-06-03 04:00:00,34.0,34.25,32.65,33.63,5167292
2009-06-04 04:00:00,33.58,34.73,32.95,34.56,4075101
2009-06-05 04:00:00,34.75,35.14,33.65,34.2,4395434
2009-06-08 04:00:00,34.11,34.73,33.155,34.44,3377424
2009-06-09 04:00:00,33.74,34.31,33.34,34.14,3541359
2009-06-10 04:00:00,34.51,34.98,33.04,33.6,3747406
2009-06-11 04:00:00,34.17,34.46,33.6,33.84,3457953
2009-06-12 04:00:00,33.54,33.94,32.81,33.28,3629302
2009-06-15 04:00:00,33.1,33.1,31.37,31.55,4877057
2009-06-16 04:00:00,30.93,31.88,30.44,30.8,6605219
2009-06-17 04:00:00,30.86,31.44,30.14,31.09,4739902
2009-06-18 04:00:00,30.92,31.62,30.5,30.95,2139487
2009-06-19 04:00:00,31.24,31.79,30.68,31.41,3358719
2009-06-22 04:00:00,30.68,30.76,29.99,30.21,3237392
2009-06-23 04:00:00,30.45,30.9,29.93,30.68,3947025
2009-06-24 04:00:00,30.68,32.03,30.58,31.12,3760976
2009-06-25 04:00:00,30.78,32.24,30.55,32.23,2929659
2009-06-26 04:00:00,31.73,32.19,31.05,31.5,3864872
2009-06-29 04:00:00,31.88,32.91,31.54,32.8,3818063
2009-06-30 04:00:00,33.14,33.74,32.15,32.53,3614933
2009-07-01 04:00:00,33.41,33.82,32.89,32.99,4568197
2009-07-02 04:00:00,32.47,32.51,31.09,31.13,3662073
2009-07-06 04:00:00,30.9,31.02,30.07,30.8,3530511
2009-07-07 04:00:00,30.68,30.91,29.5,29.69,3739216
2009-07-08 04:00:00,29.36,29.79,28.52,29.12,7498007
2009-07-09 04:00:00,29.38,30.09,28.92,29.64,5200456
2009-07-10 04:00:00,29.39,29.79,29.05,29.53,3878223
2009-07-13 04:00:00,29.49,30.0,28.75,29.99,3945904
2009-07-14 04:00:00,30.04,30.38,29.71,30.34,3156738
2009-07-15 04:00:00,30.61,31.75,30.5,31.59,6257090
2009-07-16 04:00:00,31.48,31.73,31.22,31.41,4162271
2009-07-17 04:00:00,31.28,32.25,31.021,31.95,3546723
2009-07-20 04:00:00,32.01,33.19,32.01,32.91,3809233
2009-07-21 04:00:00,33.16,33.95,32.49,33.3,3595932
2009-07-22 04:00:00,33.11,34.35,32.51,34.1,5418581
2009-07-23 04:00:00,33.69,35.43,33.69,35.12,5505383
2009-07-24 04:00:00,34.8,35.11,34.0,34.59,3842706
2009-07-27 04:00:00,34.6,35.38,34.01,35.31,3875771
