Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,50.53,50.82,50.03,50.37,7528200
2009-05-18 04:00:00,50.62,51.23,50.35,51.23,5378866
2009-05-19 04:00:00,51.29,52.1,51.1,51.63,7146085
2009-05-20 04:00:00,51.87,52.5,51.54,52.01,7998807
2009-05-21 04:00:00,51.64,51.87,50.99,51.48,5605068
2009-05-22 04:00:00,51.58,51.95,51.2,51.59,4214273
2009-05-26 04:00:00,51.01,51.69,50.91,51.28,8481618
2009-05-27 04:00:00,51.3,51.5,49.82,49.99,8230791
2009-05-28 04:00:00,50.0,51.3,50.0,51.0,7511626
2009-05-29 04:00:00,51.06,52.14,50.85,52.14,7758650
2009-06-01 04:00:00,52.27,53.39,52.25,53.18,7661234
2009-06-02 04:00:00,53.47,55.73,53.15,55.35,13046262
2009-06-03 04:00:00,54.9,54.9,53.89,54.24,9808947
2009-06-04 04:00:00,54.37,54.9,53.8,54.81,11565153
2009-06-05 04:00:00,55.37,55.49,54.5,54.92,9949054
2009-06-08 04:00:00,54.68,54.99,53.55,54.17,6400527
2009-06-09 04:00:00,54.21,54.34,53.21,53.43,6608848
2009-06-10 04:00:00,53.73,54.11,52.99,53.31,5830823
2009-06-11 04:00:00,53.19,53.98,52.93,52.98,6987051
2009-06-12 04:00:00,52.85,53.85,52.6,53.66,5643296
2009-06-15 04:00:00,53.45,53.54,52.78,52.91,5464140
2009-06-16 04:00:00,53.06,53.3,52.2,52.39,5867741
2009-06-17 04:00:00,52.31,53.83,52.11,52.93,9054708
2009-06-18 04:00:00,53.13,54.73,52.88,54.49,6476322
2009-06-19 04:00:00,54.64,55.05,53.69,53.85,8833041
2009-06-22 04:00:00,53.64,53.89,53.18,53.48,4518193
2009-06-23 04:00:00,53.75,53.835,52.8,52.95,5737463
2009-06-24 04:00:00,53.33,53.83,52.7,53.01,4221099
2009-06-25 04:00:00,52.89,54.375,52.56,53.91,7448530
2009-06-26 04:00:00,53.72,54.9,53.5,54.65,5936252
2009-06-29 04:00:00,55.32,55.5,54.61,54.85,6023435
2009-06-30 04:00:00,54.94,55.445,54.72,54.99,7616634
2009-07-01 04:00:00,55.12,56.69,55.12,56.52,8593510
2009-07-02 04:00:00,56.03,56.82,55.77,56.4,7531499
2009-07-06 04:00:00,56.27,57.17,56.08,57.11,8520829
2009-07-07 04:00:00,56.88,57.46,55.92,56.01,10726599
2009-07-08 04:00:00,56.09,56.13,54.52,54.86,10971023
2009-07-09 04:00:00,55.11,55.34,54.4,54.66,6867536
2009-07-10 04:00:00,54.39,54.88,54.23,54.65,5346049
2009-07-13 04:00:00,54.75,55.855,54.62,55.65,6992188
2009-07-14 04:00:00,55.63,56.12,55.38,56.12,4298545
2009-07-15 04:00:00,56.54,57.31,56.3,57.29,6835604
2009-07-16 04:00:00,57.0,57.7,56.83,57.24,5873644
2009-07-17 04:00:00,56.93,57.26,56.46,56.61,5922460
2009-07-20 04:00:00,56.85,56.89,55.3599,56.04,7249341
2009-07-21 04:00:00,56.43,56.69,55.45,56.4,5452926
2009-07-22 04:00:00,56.22,56.4,55.37,55.88,7100220
2009-07-23 04:00:00,56.01,56.84,55.62,56.464,6792861
2009-07-24 04:00:00,56.55,56.76,55.715,56.45,6330784
2009-07-27 04:00:00,56.3,56.72,55.97,56.4075,4960128
2009-07-28 04:00:00,56.05,56.66,55.7,55.996,6268200
2009-07-29 04:00:00,55.77,56.4,55.7505,56.32,4859179
2009-07-30 04:00:00,56.73,57.63,56.54,56.6,6012656
2009-07-31 04:00:00,56.65,57.295,56.48,56.73,5157237
2009-08-03 04:00:00,56.94,56.98,55.96,56.19,5949394
2009-08-04 04:00:00,58.02,59.64,57.5,59.1,24675659
2009-08-05 04:00:00,59.18,59.5,58.29,58.4,8988986
2009-08-06 04:00:00,58.61,58.81,57.69,57.84,6990073
2009-08-07 04:00:00,58.1,58.21,57.55,57.78,5997942
2009-08-10 04:00:00,57.78,57.79,56.94,57.47,6587125
2009-08-11 04:00:00,57.17,57.55,56.89,56.94,6132727
2009-08-12 04:00:00,56.78,57.55,56.34,56.72,6341675
2009-08-13 04:00:00,56.85,56.91,56.03,56.53,6510172
