Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,15.01,15.23,14.98,15.21,36278049
2009-05-19 04:00:00,15.19,15.29,15.02,15.09,31320835
2009-05-20 04:00:00,15.15,15.33,15.02,15.09,34555587
2009-05-21 04:00:00,15.03,15.19,14.68,14.84,45676517
2009-05-22 04:00:00,14.85,15.09,14.67,14.95,31641021
2009-05-26 04:00:00,14.9,15.18,14.73,15.03,46259067
2009-05-27 04:00:00,15.0,15.05,14.59,14.65,33129771
2009-05-28 04:00:00,14.77,14.86,14.57,14.7,39797919
2009-05-29 04:00:00,14.8,15.19,14.65,15.19,62477404
2009-06-01 04:00:00,15.36,15.45,14.7,14.74,66729307
2009-06-02 04:00:00,14.98,15.1,14.82,14.99,46948741
2009-06-03 04:00:00,14.85,14.92,14.65,14.91,44863493
2009-06-04 04:00:00,14.93,14.94,14.6,14.63,35173445
2009-06-05 04:00:00,14.79,14.83,14.34,14.52,45219269
2009-06-08 04:00:00,14.4,14.49,14.12,14.3,45743734
2009-06-09 04:00:00,14.36,14.43,14.1,14.12,40303488
2009-06-10 04:00:00,14.15,14.32,13.94,14.05,40369540
2009-06-11 04:00:00,14.09,14.82,14.05,14.57,66850286
2009-06-12 04:00:00,14.57,15.066,14.51,14.78,70293922
2009-06-15 04:00:00,14.7,14.7,14.02,14.14,54483149
2009-06-16 04:00:00,14.2,14.46,14.112,14.16,42838098
2009-06-17 04:00:00,14.23,14.7,14.21,14.58,52543500
2009-06-18 04:00:00,14.64,15.18,14.58,14.91,62820253
2009-06-19 04:00:00,15.15,15.32,14.97,15.02,77529681
2009-06-22 04:00:00,14.89,15.05,14.68,14.8,52809050
2009-06-23 04:00:00,14.7,14.81,14.6,14.71,43691384
2009-06-24 04:00:00,14.81,14.96,14.62,14.72,36351239
2009-06-25 04:00:00,14.64,15.36,14.6,15.31,47801901
2009-06-26 04:00:00,15.23,15.37,14.98,15.19,36998556
2009-06-29 04:00:00,15.25,15.3706,14.97,15.26,28967170
2009-06-30 04:00:00,15.27,15.28,14.77,14.99,45457089
2009-07-01 04:00:00,14.97,15.0406,14.73,14.89,43456753
2009-07-02 04:00:00,14.78,14.8,14.44,14.49,37715854
2009-07-06 04:00:00,14.4,14.61,14.27,14.57,51375132
2009-07-07 04:00:00,14.55,14.84,14.45,14.59,55399380
2009-07-08 04:00:00,14.74,14.8,14.5,14.61,45501321
2009-07-09 04:00:00,14.62,14.68,14.22,14.28,58280502
2009-07-10 04:00:00,14.23,14.29,14.11,14.19,37186038
2009-07-13 04:00:00,14.22,14.77,14.2,14.77,49032107
2009-07-14 04:00:00,14.66,14.94,14.62,14.899,34150328
2009-07-15 04:00:00,14.97,15.05,14.69,15.0,40337407
2009-07-16 04:00:00,14.97,15.1,14.88,15.06,34577808
2009-07-17 04:00:00,15.02,15.12,14.86,14.94,49952379
2009-07-20 04:00:00,14.98,15.29,14.75,15.24,51821397
2009-07-21 04:00:00,15.43,15.78,15.36,15.7,49917153
2009-07-22 04:00:00,15.65,16.47,15.6,15.88,81741754
2009-07-23 04:00:00,16.05,16.4,15.91,16.15,52441819
2009-07-24 04:00:00,16.09,16.5,16.03,16.49,48113887
2009-07-27 04:00:00,16.43,16.65,16.22,16.64,44919764
2009-07-28 04:00:00,16.54,16.66,15.96,16.04,72777777
2009-07-29 04:00:00,16.0,16.08,15.64,15.76,51818011
2009-07-30 04:00:00,15.96,16.26,15.89,15.91,44160664
2009-07-31 04:00:00,16.11,16.18,15.9,15.91,37591058
2009-08-03 04:00:00,16.07,16.15,15.8,16.03,46092878
2009-08-04 04:00:00,16.0,16.18,15.91,16.07,44630836
2009-08-05 04:00:00,15.98,16.0,15.65,15.87,51143495
2009-08-06 04:00:00,15.88,15.91,15.7,15.79,35359267
2009-08-07 04:00:00,15.91,16.17,15.88,15.96,37226312
2009-08-10 04:00:00,15.85,15.98,15.81,15.91,26140802
2009-08-11 04:00:00,15.8,15.95,15.75,15.83,25765383
2009-08-12 04:00:00,15.85,16.0,15.75,15.85,31076442
2009-08-13 04:00:00,15.88,15.9,15.64,15.8,35485917
2009-08-14 04:00:00,15.85,15.87,15.54,15.77,29640697
2009-08-17 04:00:00,15.56,15.98,15.55,15.89,41183568
2009-08-18 04:00:00,15.88,16.04,15.795,15.98,32639411
2009-08-19 04:00:00,15.95,16.45,15.9,16.38,43321940
2009-08-20 04:00:00,16.41,16.45,16.2,16.24,40409126
2009-08-21 04:00:00,16.49,16.72,16.27,16.63,54851539
2009-08-24 04:00:00,16.73,16.79,16.61,16.74,29514831
2009-08-25 04:00:00,16.79,16.98,16.6801,16.82,38171498
2009-08-26 04:00:00,16.79,16.88,16.64,16.77,30561269
2009-08-27 04:00:00,16.66,16.93,16.6,16.86,27875176
2009-08-28 04:00:00,16.88,16.89,16.64,16.82,30823515
2009-08-31 04:00:00,16.64,16.83,16.51,16.69,30245686
