Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,50.98,52.61,50.92,52.6,12378464
2009-05-19 04:00:00,52.57,53.51,52.27,52.94,14110002
2009-05-20 04:00:00,53.74,54.7705,53.56,54.01,14935850
2009-05-21 04:00:00,53.48,53.48,52.51,53.05,10117232
2009-05-22 04:00:00,53.07,53.74,52.96,53.01,6343643
2009-05-26 04:00:00,53.07,54.1,52.67,53.83,10063316
2009-05-27 04:00:00,53.72,53.78,51.58,51.76,13301496
2009-05-28 04:00:00,52.26,52.67,51.11,52.55,15738971
2009-05-29 04:00:00,52.62,52.68,51.5,52.24,11751144
2009-06-01 04:00:00,52.62,53.65,52.36,53.38,11548604
2009-06-02 04:00:00,53.23,54.13,53.16,53.7,10821586
2009-06-03 04:00:00,53.38,53.83,52.9,53.83,8365909
2009-06-04 04:00:00,53.76,53.86,52.97,53.34,8769939
2009-06-05 04:00:00,53.56,53.95,52.915,53.18,9260677
2009-06-08 04:00:00,52.93,53.58,52.59,53.15,9880112
2009-06-09 04:00:00,52.64,52.9,52.25,52.37,10360592
2009-06-10 04:00:00,52.77,52.93,51.57,52.09,10965470
2009-06-11 04:00:00,52.05,52.74,51.95,52.01,9452055
2009-06-12 04:00:00,51.88,52.77,51.73,52.57,9524331
2009-06-15 04:00:00,52.38,52.38,51.07,51.29,10842291
2009-06-16 04:00:00,51.61,51.61,50.03,50.04,13984691
2009-06-17 04:00:00,50.13,50.75,50.0,50.01,11929502
2009-06-18 04:00:00,50.07,51.36,50.01,51.1,11612465
2009-06-19 04:00:00,51.28,51.47,50.24,50.57,16678469
2009-06-22 04:00:00,50.33,50.87,47.0,50.57,11466614
2009-06-23 04:00:00,50.52,50.82,50.39,50.51,9917011
2009-06-24 04:00:00,50.58,50.98,50.06,50.57,11633436
2009-06-25 04:00:00,50.43,52.03,50.12,51.67,12608783
2009-06-26 04:00:00,51.46,52.03,51.05,51.72,10336114
2009-06-29 04:00:00,51.92,52.4,51.6,52.23,7669646
2009-06-30 04:00:00,52.23,52.23,50.75,51.08,12064055
2009-07-01 04:00:00,51.47,52.53,51.28,52.02,11416774
2009-07-02 04:00:00,51.79,51.83,50.74,50.99,12917023
2009-07-06 04:00:00,50.75,52.42,50.52,52.15,15351674
2009-07-07 04:00:00,51.99,52.435,51.63,51.89,12700794
2009-07-08 04:00:00,52.02,52.81,51.54,52.71,15492879
