Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,16.2,16.38,15.88,16.03,5003224
2009-05-18 04:00:00,16.25,16.6,15.75,16.51,6723129
2009-05-19 04:00:00,16.3,16.91,16.17,16.6,6653164
2009-05-20 04:00:00,16.82,17.0,16.12,16.21,4930217
2009-05-21 04:00:00,16.01,16.22,15.71,15.93,5138629
2009-05-22 04:00:00,16.06,16.28,15.78,15.98,2669233
2009-05-26 04:00:00,15.85,16.56,15.85,16.53,5251882
2009-05-27 04:00:00,16.51,16.56,15.52,15.58,6514456
2009-05-28 04:00:00,15.69,15.91,15.44,15.87,5845300
2009-05-29 04:00:00,15.94,16.13,15.63,16.13,4340551
2009-06-01 04:00:00,16.43,16.83,16.07,16.68,5749345
2009-06-02 04:00:00,16.49,16.97,16.49,16.76,4121718
2009-06-03 04:00:00,16.65,16.86,16.36,16.53,4180866
2009-06-04 04:00:00,16.58,16.75,16.37,16.62,4144334
2009-06-05 04:00:00,16.76,16.96,16.45,16.58,4132966
2009-06-08 04:00:00,16.48,16.91,16.35,16.76,3822067
2009-06-09 04:00:00,16.74,16.74,16.5,16.63,3245715
2009-06-10 04:00:00,16.7,16.74,15.885,16.08,6732507
2009-06-11 04:00:00,15.81,16.21,15.8,15.95,4481726
2009-06-12 04:00:00,16.085,16.085,15.35,15.52,6014392
2009-06-15 04:00:00,15.39,15.67,15.27,15.53,4283428
2009-06-16 04:00:00,15.57,15.57,15.05,15.08,4458786
2009-06-17 04:00:00,15.01,15.41,14.88,15.09,5284420
2009-06-18 04:00:00,15.14,15.31,15.0,15.14,3538287
2009-06-19 04:00:00,15.38,15.45,15.12,15.19,4366845
2009-06-22 04:00:00,14.54,15.01,14.42,14.51,7293319
2009-06-23 04:00:00,14.49,14.67,14.32,14.58,4202453
2009-06-24 04:00:00,14.7,14.9,14.55,14.74,3613330
2009-06-25 04:00:00,14.73,15.0,14.45,14.99,3390889
2009-06-26 04:00:00,14.99,15.15,14.9,15.02,3171464
2009-06-29 04:00:00,15.11,15.35,15.01,15.33,2802414
2009-06-30 04:00:00,15.29,15.29,15.0,15.13,3481983
2009-07-01 04:00:00,15.17,15.3,15.03,15.17,3238631
2009-07-02 04:00:00,15.09,15.11,14.5,14.53,3730770
2009-07-06 04:00:00,14.49,14.9,14.44,14.84,3822295
2009-07-07 04:00:00,14.81,14.91,14.4,14.42,3279250
2009-07-08 04:00:00,14.43,14.58,14.12,14.37,5191939
2009-07-09 04:00:00,14.66,14.66,14.21,14.42,3229992
2009-07-10 04:00:00,14.49,15.696,14.22,14.3,5440439
2009-07-13 04:00:00,14.51,14.9,14.36,14.9,4886057
2009-07-14 04:00:00,14.92,14.92,14.41,14.57,3344268
2009-07-15 04:00:00,14.7,14.98,14.54,14.9,4912852
2009-07-16 04:00:00,14.78,15.04,14.65,14.92,3321820
2009-07-17 04:00:00,14.87,14.94,14.685,14.84,3104347
2009-07-20 04:00:00,14.97,15.05,14.66,14.95,2688838
2009-07-21 04:00:00,15.2,15.21,14.77,14.88,4083723
2009-07-22 04:00:00,14.7,15.25,14.7,15.14,3053264
2009-07-23 04:00:00,15.1,15.66,15.05,15.57,3557947
2009-07-24 04:00:00,15.48,15.68,15.4,15.65,2816314
2009-07-27 04:00:00,15.64,15.77,15.54,15.77,2416681
2009-07-28 04:00:00,15.69,15.75,15.58,15.68,2300488
2009-07-29 04:00:00,15.58,15.74,15.5,15.63,2060857
2009-07-30 04:00:00,15.83,15.94,15.6,15.68,3312140
2009-07-31 04:00:00,15.66,15.83,15.53,15.58,2765682
2009-08-03 04:00:00,15.8,15.85,15.56,15.82,3213915
2009-08-04 04:00:00,15.84,16.21,15.67,16.2,3705319
2009-08-05 04:00:00,16.01,16.34,15.87,16.08,2859998
2009-08-06 04:00:00,16.12,16.24,15.7,15.92,3597545
2009-08-07 04:00:00,16.06,16.42,15.87,16.36,4077154
2009-08-10 04:00:00,16.26,16.45,16.01,16.19,2933166
2009-08-11 04:00:00,16.21,16.22,15.79,15.81,2613491
2009-08-12 04:00:00,15.78,16.46,15.77,16.32,3440086
