Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,17.44,17.54,15.93,16.32,3342390
2009-05-18 04:00:00,16.5,18.44,16.47,18.29,3602260
2009-05-19 04:00:00,18.02,18.58,17.58,17.96,2211640
2009-05-20 04:00:00,18.16,19.24,17.55,17.72,2884120
2009-05-21 04:00:00,17.62,18.08,8.1498,17.67,2525309
2009-05-22 04:00:00,17.66,18.03,16.78,16.9,1880680
2009-05-26 04:00:00,16.82,17.84,16.73,17.54,4885330
2009-05-27 04:00:00,17.38,17.71,16.68,16.84,3799830
2009-05-28 04:00:00,17.1,17.67,16.46,17.57,2899260
2009-05-29 04:00:00,17.69,17.88,17.1,17.84,3504940
2009-06-01 04:00:00,18.21,19.91,18.17,19.18,3332330
2009-06-02 04:00:00,19.05,19.68,18.83,19.32,2761380
2009-06-03 04:00:00,19.06,19.47,8.19,19.15,1780557
2009-06-04 04:00:00,19.27,20.36,19.15,20.16,2394240
2009-06-05 04:00:00,20.16,20.75,19.97,20.21,2535880
2009-06-08 04:00:00,19.83,20.63,19.76,20.35,2716090
2009-06-09 04:00:00,20.4,20.55,9.0,20.03,1750810
2009-06-10 04:00:00,20.36,20.36,18.64,19.12,2895600
2009-06-11 04:00:00,19.17,19.42,18.77,18.86,2069890
2009-06-12 04:00:00,18.86,19.64,9.13,19.59,1738860
2009-06-15 04:00:00,19.43,19.43,18.087,18.24,2394440
2009-06-16 04:00:00,18.33,18.86,17.81,17.97,2532960
2009-06-17 04:00:00,17.92,18.27,17.47,17.76,2613500
2009-06-18 04:00:00,17.875,18.335,8.165,18.275,2779250
2009-06-19 04:00:00,18.39,18.72,8.19,18.66,2656210
2009-06-22 04:00:00,18.44,18.67,16.93,17.01,3059380
2009-06-23 04:00:00,17.09,17.53,16.87,17.12,2932590
2009-06-24 04:00:00,17.51,17.61,7.84,17.46,2237420
2009-06-25 04:00:00,17.49,17.88,17.23,17.85,2759560
2009-06-26 04:00:00,17.79,18.52,17.65,18.41,1821780
2009-06-29 04:00:00,8.18,18.745,8.13,18.65,1794260
2009-06-30 04:00:00,18.74,19.06,18.61,18.81,2616580
2009-07-01 04:00:00,19.74,19.74,18.49,18.71,2101770
2009-07-02 04:00:00,18.484,18.484,7.73,17.576,1996205
2009-07-06 04:00:00,17.56,18.32,7.5,18.16,3229780
2009-07-07 04:00:00,18.1,18.1,7.53,17.29,2485523
2009-07-08 04:00:00,17.4,17.79,16.49,17.05,2595150
2009-07-09 04:00:00,17.31,17.47,7.05,16.8,1912297
2009-07-10 04:00:00,16.68,16.83,6.64,16.61,2138490
2009-07-13 04:00:00,16.769,17.631,7.08,17.541,2116468
2009-07-14 04:00:00,17.505,17.635,7.32,17.515,1817780
2009-07-15 04:00:00,17.65,18.07,7.66,17.73,2818730
2009-07-16 04:00:00,7.67,18.252,7.54,18.04,2281295
2009-07-17 04:00:00,17.98,18.13,7.51,17.39,1808550
2009-07-20 04:00:00,17.528,18.323,7.88,18.242,1849450
2009-07-21 04:00:00,18.19,18.55,7.47,17.73,2288900
2009-07-22 04:00:00,17.65,18.1,17.57,17.82,1999320
2009-07-23 04:00:00,18.03,19.11,17.73,18.59,2707230
2009-07-24 04:00:00,18.465,19.186,18.264,19.035,2221150
2009-07-27 04:00:00,19.01,19.63,9.08,19.52,1881180
2009-07-28 04:00:00,19.39,19.39,17.9,18.87,3435800
2009-07-29 04:00:00,18.74,18.91,18.25,18.56,2018180
2009-07-30 04:00:00,18.76,19.77,8.89,19.41,2116140
2009-07-31 04:00:00,19.37,19.92,8.76,19.81,1855810
2009-08-03 04:00:00,20.0,20.47,9.01,20.45,1543450
2009-08-04 04:00:00,20.26,22.1,19.97,21.55,4199650
2009-08-05 04:00:00,21.56,22.78,9.71,22.66,2284490
2009-08-06 04:00:00,23.06,24.27,22.78,22.89,4311430
2009-08-07 04:00:00,23.27,24.26,23.24,23.76,4177830
2009-08-10 04:00:00,23.48,23.82,22.81,23.04,1533540
2009-08-11 04:00:00,22.93,22.93,10.09,21.45,2970903
2009-08-12 04:00:00,21.51,22.41,21.51,21.76,2495980
2009-08-13 04:00:00,22.17,22.45,21.63,22.11,1861140
2009-08-14 04:00:00,22.11,22.58,9.9725,22.21,1937955
2009-08-17 04:00:00,21.28,21.28,20.44,20.74,3479730
2009-08-18 04:00:00,20.88,21.59,9.48,21.45,2464230
2009-08-19 04:00:00,21.01,21.39,20.73,21.09,1642440
2009-08-20 04:00:00,21.01,21.95,9.72,21.93,1729148
2009-08-21 04:00:00,22.24,23.4,10.08,22.73,1636661
2009-08-24 04:00:00,22.99,23.35,10.29,22.64,1736169
2009-08-25 04:00:00,22.79,23.1,10.78,22.89,1947560
2009-08-26 04:00:00,22.77,23.01,10.7,22.98,1133899
2009-08-27 04:00:00,22.88,23.32,10.57,23.27,1258175
2009-08-28 04:00:00,23.55,23.7,10.89,23.42,1398831
2009-08-31 04:00:00,23.01,23.22,11.01,22.83,1898923
2009-09-01 04:00:00,22.63,23.17,21.14,21.24,2752790
2009-09-02 04:00:00,21.08,21.09,10.23,20.63,2280000
2009-09-03 04:00:00,20.92,21.0,10.28,20.69,2044000
2009-09-04 04:00:00,20.74,20.87,10.49,20.84,1614570
2009-09-08 04:00:00,21.0,21.78,10.9,21.61,2395260
2009-09-09 04:00:00,21.65,22.59,21.42,22.38,2982110
2009-09-10 04:00:00,22.35,22.87,11.29,22.79,1331367
2009-09-11 04:00:00,22.83,23.04,22.17,22.23,1845260
2009-09-14 04:00:00,21.99,23.14,11.5,23.06,1352208
2009-09-15 04:00:00,23.13,24.04,22.94,23.6,2052070
2009-09-16 04:00:00,23.86,25.28,23.83,25.02,2678620
2009-09-17 04:00:00,24.86,25.96,23.98,24.5,1998430
2009-09-18 04:00:00,24.73,25.12,12.31,24.85,2325546
2009-09-21 04:00:00,23.99,24.69,12.35,24.31,2198391
2009-09-22 04:00:00,24.75,25.16,12.45,25.11,2104090
2009-09-23 04:00:00,25.16,25.17,12.85,24.09,2499711
2009-09-24 04:00:00,24.28,24.45,12.21,22.65,2065323
2009-09-25 04:00:00,22.58,23.17,11.65,22.58,1605620
2009-09-28 04:00:00,22.71,23.63,11.96,23.58,1702084
2009-09-29 04:00:00,23.6,23.97,12.09,23.15,1400337
2009-09-30 04:00:00,23.28,23.38,11.92,22.95,2791840
2009-10-01 04:00:00,22.66,22.74,11.4,21.2,3858960
2009-10-02 04:00:00,20.86,22.08,11.2,21.21,3751340
2009-10-05 04:00:00,21.48,22.0,11.46,21.67,2297963
2009-10-06 04:00:00,21.97,22.32,11.47,21.51,2760909
2009-10-07 04:00:00,21.33,21.86,11.07,21.56,1494319
2009-10-08 04:00:00,21.79,22.44,11.45,22.09,2066276
2009-10-09 04:00:00,21.96,22.21,11.38,22.19,1374267
2009-10-12 04:00:00,22.5,22.97,11.63,22.73,1693038
2009-10-13 04:00:00,22.61,22.76,11.27,22.46,1811986
2009-10-14 04:00:00,22.94,23.4,11.6695,23.29,1950474
2009-10-15 04:00:00,22.98,23.15,11.8,22.84,2218150
2009-10-16 04:00:00,22.63,22.89,11.432,22.6,1729377
2009-10-19 04:00:00,22.79,23.2,11.6,23.06,1295805
2009-10-20 04:00:00,23.03,23.08,21.97,22.41,1754260
2009-10-21 04:00:00,23.11,23.97,22.11,22.17,4678420
2009-10-22 04:00:00,22.24,24.26,12.415,23.75,4869703
2009-10-23 04:00:00,23.89,23.99,12.65,23.2,1834802
2009-10-26 04:00:00,23.29,24.09,12.45,23.39,2515342
2009-10-27 04:00:00,23.47,23.56,12.055,23.05,1732895
2009-10-28 04:00:00,22.98,23.34,11.3,21.46,2101888
2009-10-29 04:00:00,21.6,22.57,21.6,22.4,2031250
2009-10-30 04:00:00,22.12,22.22,11.34,21.98,3009495
2009-11-02 05:00:00,22.25,22.73,11.56,21.87,1836030
2009-11-03 05:00:00,21.51,22.49,11.55,22.41,1761550
2009-11-04 05:00:00,22.75,22.87,11.96,21.64,2277629
2009-11-05 05:00:00,21.79,22.26,11.58,22.25,1570952
2009-11-06 05:00:00,21.94,22.09,11.55,21.81,1286515
2009-11-09 05:00:00,22.27,23.61,12.07,23.53,1756185
2009-11-10 05:00:00,23.31,24.02,12.272,23.69,2803450
2009-11-11 05:00:00,24.08,24.68,13.015,24.61,2137304
2009-11-12 05:00:00,24.5,24.68,12.98,24.06,1710025
2009-11-13 05:00:00,24.17,24.68,13.49,24.53,1680353
2009-11-16 05:00:00,24.69,25.72,14.23,25.21,2385845
2009-11-17 05:00:00,25.05,25.52,13.97,24.9,2140867
2009-11-18 05:00:00,24.97,25.39,13.8,25.31,1467515
2009-11-19 05:00:00,24.97,24.97,13.33,24.13,1829365
2009-11-20 05:00:00,24.01,24.16,13.37,24.04,1300982
2009-11-23 05:00:00,24.39,25.03,13.39,24.13,1510474
2009-11-24 05:00:00,13.3,24.1,13.135,23.54,1170966
2009-11-25 05:00:00,23.66,23.76,13.16,23.5,1069042
2009-11-27 05:00:00,22.65,23.25,12.73,22.74,854170
2009-11-30 05:00:00,22.76,23.61,12.73,23.53,1944090
2009-12-01 05:00:00,23.7,23.97,13.31,23.65,2325290
2009-12-02 05:00:00,23.55,24.4,13.55,24.23,1387765
2009-12-03 05:00:00,24.41,25.23,13.538,24.32,2333630
2009-12-04 05:00:00,24.86,25.48,13.6,25.11,1990930
2009-12-07 05:00:00,24.89,25.08,13.6,24.7,1379350
