Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,42.45,43.33,41.85,43.21,10249734
2009-05-18 04:00:00,43.44,43.73,42.48,42.73,9126223
2009-05-19 04:00:00,42.6,42.72,41.98,42.22,9038005
2009-05-20 04:00:00,42.53,43.47,42.06,43.16,7089641
2009-05-21 04:00:00,43.13,43.13,42.3,42.83,6555412
2009-05-22 04:00:00,42.14,43.18,42.14,42.72,4909346
2009-05-26 04:00:00,42.46,42.57,41.85,42.2,9210455
2009-05-27 04:00:00,42.05,42.1,41.32,41.59,7299390
2009-05-28 04:00:00,41.65,42.88,41.45,42.566,6705390
2009-05-29 04:00:00,42.72,42.72,41.95,42.68,6642862
2009-06-01 04:00:00,42.68,43.88,42.68,43.72,8432071
2009-06-02 04:00:00,43.49,44.89,43.33,44.55,6623147
2009-06-03 04:00:00,44.14,44.53,43.92,44.2,8738088
2009-06-04 04:00:00,44.15,44.66,43.44,44.43,5729411
2009-06-05 04:00:00,44.7,45.44,44.06,44.12,8022737
2009-06-08 04:00:00,43.78,44.97,43.44,44.53,6040479
2009-06-09 04:00:00,44.36,44.57,43.55,43.88,8237388
2009-06-10 04:00:00,43.86,44.29,42.79,43.53,6616416
2009-06-11 04:00:00,43.74,44.99,43.4,43.94,7990442
2009-06-12 04:00:00,43.67,44.5,43.2,43.53,6705958
2009-06-15 04:00:00,43.09,43.58,42.83,42.9,7151698
2009-06-16 04:00:00,43.1,43.28,42.22,42.25,6444497
2009-06-17 04:00:00,42.22,42.36,41.82,41.93,7747392
2009-06-18 04:00:00,42.04,43.12,41.94,42.55,9554669
2009-06-19 04:00:00,42.76,42.9,42.0,42.07,12449389
2009-06-22 04:00:00,41.4,41.76,41.15,41.6,9710067
2009-06-23 04:00:00,41.31,41.73,41.28,41.39,8105621
2009-06-24 04:00:00,41.56,41.99,41.34,41.59,8473582
2009-06-25 04:00:00,41.42,43.06,41.38,43.01,7839558
2009-06-26 04:00:00,41.9,42.99,41.75,42.58,6597406
