Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,43.31,44.14,41.55,41.9001,7596780
2009-05-18 04:00:00,42.89,44.8,42.59,44.43,7028989
2009-05-19 04:00:00,44.77,45.49,43.26,43.39,5857435
2009-05-20 04:00:00,44.59,44.9,41.65,42.06,6602037
2009-05-21 04:00:00,41.42,41.8,40.0,41.04,7243107
2009-05-22 04:00:00,41.67,41.9,40.47,40.97,3418338
2009-05-26 04:00:00,40.86,43.5,40.52,43.08,6321812
2009-05-27 04:00:00,44.08,44.5,40.96,41.12,7175833
2009-05-28 04:00:00,41.77,43.65,41.25,43.48,6329080
2009-05-29 04:00:00,43.85,45.5,42.77,45.49,6051592
2009-06-01 04:00:00,46.29,46.4,43.81,44.73,7459968
2009-06-02 04:00:00,44.2,44.86,41.26,41.71,10104710
2009-06-03 04:00:00,41.51,42.33,39.95,40.54,7366885
2009-06-04 04:00:00,40.89,43.82,40.78,43.46,6722443
2009-06-05 04:00:00,43.92,43.94,41.44,41.89,6255921
2009-06-08 04:00:00,41.36,44.17,41.36,43.21,6952136
2009-06-09 04:00:00,43.73,44.37,42.86,44.02,5152440
2009-06-10 04:00:00,44.74,44.74,41.05,41.79,7602693
2009-06-11 04:00:00,42.22,43.31,41.88,42.44,5994001
2009-06-12 04:00:00,42.17,42.67,41.0,41.4,5974921
2009-06-15 04:00:00,41.0,41.95,40.3,40.66,5589399
2009-06-16 04:00:00,40.88,41.25,39.38,39.39,7773784
2009-06-17 04:00:00,39.4,39.47,37.3,37.98,7990503
2009-06-18 04:00:00,38.18,39.65,38.18,39.38,4568979
2009-06-19 04:00:00,39.94,40.87,39.38,40.27,8868232
2009-06-22 04:00:00,39.59,40.41,38.55,38.58,5917257
2009-06-23 04:00:00,38.92,39.89,38.28,39.11,4327068
2009-06-24 04:00:00,39.36,40.38,39.22,39.97,4292405
2009-06-25 04:00:00,39.75,40.3,39.01,40.27,4998153
2009-06-26 04:00:00,40.19,40.65,39.4,39.43,4740517
2009-06-29 04:00:00,39.66,40.17,38.67,39.53,4470928
2009-06-30 04:00:00,39.64,40.09,38.47,38.85,4437923
2009-07-01 04:00:00,39.03,39.47,38.21,38.27,4324205
2009-07-02 04:00:00,37.94,38.18,36.63,36.84,4829169
2009-07-06 04:00:00,36.52,38.11,36.52,37.52,5382991
2009-07-07 04:00:00,37.45,38.77,37.17,37.58,4552324
2009-07-08 04:00:00,37.6,37.78,35.17,36.26,6738206
2009-07-09 04:00:00,36.77,37.1,36.29,36.59,4133820
2009-07-10 04:00:00,36.01,36.49,35.37,35.66,3699756
2009-07-13 04:00:00,36.49,37.98,35.93,37.86,5489222
2009-07-14 04:00:00,37.8,38.02,36.43,36.73,6172858
2009-07-15 04:00:00,37.54,39.69,37.37,38.94,7040298
2009-07-16 04:00:00,38.49,39.3,37.78,38.79,4921660
2009-07-17 04:00:00,38.71,39.5,37.05,37.67,6795486
2009-07-20 04:00:00,37.86,38.38,37.19,38.1,4096092
2009-07-21 04:00:00,37.83,38.35,36.06,37.7,5817517
2009-07-22 04:00:00,37.04,37.5,35.9,37.37,12191022
2009-07-23 04:00:00,36.2,37.25,34.51,35.8,17261069
2009-07-24 04:00:00,35.43,35.43,33.9,34.18,8805014
2009-07-27 04:00:00,34.05,34.99,33.0602,34.93,8582607
2009-07-28 04:00:00,34.59,36.64,34.5,36.5,8028226
2009-07-29 04:00:00,36.23,36.25,34.73,35.3,5895825
2009-07-30 04:00:00,35.76,36.5,35.36,35.47,5249495
2009-07-31 04:00:00,35.45,36.65,34.96,36.6,5506157
2009-08-03 04:00:00,37.23,38.2,36.95,38.04,6138557
2009-08-04 04:00:00,37.74,38.8,37.09,38.43,5771775
2009-08-05 04:00:00,38.72,41.84,38.22,41.15,10479269
2009-08-06 04:00:00,41.7,42.17,40.39,41.22,7226170
2009-08-07 04:00:00,41.81,44.76,41.42,44.2,9176474
2009-08-10 04:00:00,43.58,44.14,42.29,42.91,4225181
2009-08-11 04:00:00,42.56,42.58,40.38,40.77,5251788
2009-08-12 04:00:00,40.74,41.84,40.2,41.14,6373672
2009-08-13 04:00:00,41.88,42.69,41.25,42.5,5499563
2009-08-14 04:00:00,42.19,42.49,41.18,41.87,3493094
2009-08-17 04:00:00,40.75,40.89,39.66,39.9,3892573
2009-08-18 04:00:00,40.28,40.869,40.0,40.28,3360309
2009-08-19 04:00:00,39.41,40.11,39.39,40.0,3881166
2009-08-20 04:00:00,39.91,41.8382,39.91,41.69,4385980
2009-08-21 04:00:00,42.01,43.0,41.38,42.86,4722155
2009-08-24 04:00:00,42.42,43.1,40.78,41.1,7524602
2009-08-25 04:00:00,41.27,42.36,41.26,41.95,6784746
2009-08-26 04:00:00,41.85,42.5,41.34,42.02,3652162
2009-08-27 04:00:00,41.8,42.5,41.14,42.27,3019291
2009-08-28 04:00:00,42.66,43.39,42.3,42.87,4654813
2009-08-31 04:00:00,42.1,42.85,41.74,42.55,2917478
2009-09-01 04:00:00,42.29,43.05,40.2,40.54,5336521
2009-09-02 04:00:00,40.24,41.11,39.47,39.53,4889188
2009-09-03 04:00:00,40.0,40.61,39.44,39.89,3656506
2009-09-04 04:00:00,39.89,40.73,39.69,40.48,2735924
2009-09-08 04:00:00,41.02,41.28,40.04,40.21,4133576
2009-09-09 04:00:00,40.16,41.46,40.12,41.29,3864029
2009-09-10 04:00:00,41.08,41.41,40.68,41.24,3914709
2009-09-11 04:00:00,41.44,42.95,41.18,42.21,4866996
2009-09-14 04:00:00,41.68,42.75,41.43,42.65,3319527
2009-09-15 04:00:00,43.06,45.86,43.0,45.2,9468415
2009-09-16 04:00:00,45.3,47.22,44.98,46.95,6639152
2009-09-17 04:00:00,46.7,46.92,44.63,45.69,5588908
2009-09-18 04:00:00,45.93,46.09,45.023,45.93,4582108
2009-09-21 04:00:00,45.48,46.55,45.0,46.35,4227492
2009-09-22 04:00:00,47.02,47.62,46.69,46.87,4644172
2009-09-23 04:00:00,46.29,47.44,45.95,46.01,3403950
2009-09-24 04:00:00,45.79,46.88,44.4,44.88,4424662
2009-09-25 04:00:00,44.76,45.87,44.29,45.32,4003278
2009-09-28 04:00:00,45.74,46.63,45.46,46.6,3254636
2009-09-29 04:00:00,47.09,48.55,46.66,47.97,6690724
2009-09-30 04:00:00,48.17,48.78,47.1,48.53,6911425
2009-10-01 04:00:00,48.43,48.57,46.29,46.36,6134020
2009-10-02 04:00:00,45.04,45.96,44.02,44.32,8135657
2009-10-05 04:00:00,44.9,46.68,44.45,46.2,4777448
2009-10-06 04:00:00,46.58,47.04,45.442,45.73,5533499
2009-10-07 04:00:00,45.6,46.38,45.15,45.73,5480256
2009-10-08 04:00:00,45.02,45.71,43.37,44.28,11533785
2009-10-09 04:00:00,44.13,45.0,44.11,44.7,3596179
2009-10-12 04:00:00,45.28,45.36,44.4,44.62,3106716
2009-10-13 04:00:00,44.45,44.94,43.52,44.52,5015895
2009-10-14 04:00:00,45.49,46.87,44.79,46.8,6212473
2009-10-15 04:00:00,46.6,46.6,45.61,45.79,4831164
2009-10-16 04:00:00,44.85,45.19,44.44,44.74,4411896
2009-10-19 04:00:00,44.82,45.2,44.13,44.62,3482661
2009-10-20 04:00:00,44.6,45.03,44.16,44.85,2885869
2009-10-21 04:00:00,44.82,46.46,44.55,44.86,6291880
2009-10-22 04:00:00,47.85,52.26,47.56,50.65,21537883
2009-10-23 04:00:00,50.99,53.36,50.55,52.47,10478092
2009-10-26 04:00:00,52.76,52.99,50.43,50.78,7404024
2009-10-27 04:00:00,50.77,51.53,50.14,50.75,6988162
2009-10-28 04:00:00,50.5,50.92,49.37,49.65,5447618
2009-10-29 04:00:00,50.19,52.46,49.8,52.21,4717623
2009-10-30 04:00:00,51.82,52.04,48.83,48.94,6218508
2009-11-02 05:00:00,49.96,52.09,49.17,50.9,6346506
2009-11-03 05:00:00,50.43,52.19,50.17,51.95,5525543
2009-11-04 05:00:00,52.44,52.77,50.66,50.73,4851619
2009-11-05 05:00:00,51.22,52.67,50.77,52.62,3114290
2009-11-06 05:00:00,51.68,53.86,51.48,53.46,4848033
2009-11-09 05:00:00,54.18,54.35,53.15,54.17,3582200
