Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,62.98,63.76,61.44,61.6,3262727
2009-05-14 04:00:00,61.79,64.05,61.09,63.26,2905276
2009-05-15 04:00:00,62.41,63.34,60.46,61.68,2749753
2009-05-18 04:00:00,62.35,66.7,61.78,66.19,3277719
2009-05-19 04:00:00,65.34,66.49,64.08,64.69,2463390
2009-05-20 04:00:00,65.56,67.24,64.05,64.41,2437731
2009-05-21 04:00:00,63.58,65.27,62.54,64.28,2246617
2009-05-22 04:00:00,64.55,65.72,63.95,64.25,1926606
2009-05-26 04:00:00,64.4,67.73,63.59,67.11,3139441
2009-05-27 04:00:00,67.49,67.65,64.55,65.07,3503786
2009-05-28 04:00:00,65.55,66.01,63.26,65.34,2902730
2009-05-29 04:00:00,65.74,66.65,64.27,66.48,2343991
2009-06-01 04:00:00,66.88,68.97,65.71,67.13,3737416
2009-06-02 04:00:00,66.42,66.99,65.12,65.42,2780400
2009-06-03 04:00:00,65.0,66.39,64.86,66.23,2479964
2009-06-04 04:00:00,67.4,68.46,65.84,68.08,2500732
2009-06-05 04:00:00,68.86,68.86,66.0,66.54,1861899
2009-06-08 04:00:00,65.98,67.02,64.9,66.19,2116138
2009-06-09 04:00:00,66.71,66.8497,65.54,66.57,1506525
2009-06-10 04:00:00,67.13,67.25,65.15,66.42,2729378
2009-06-11 04:00:00,66.21,66.83,65.57,65.73,2184643
2009-06-12 04:00:00,65.62,67.8,65.2,67.44,1825999
2009-06-15 04:00:00,66.84,67.13,64.43,65.2,2268417
2009-06-16 04:00:00,65.39,66.03,63.9,64.64,1562210
2009-06-17 04:00:00,64.51,65.15,63.06,63.66,1873517
2009-06-18 04:00:00,63.86,64.75,63.49,64.14,1714101
2009-06-19 04:00:00,65.36,65.36,63.59,64.67,1921702
2009-06-22 04:00:00,64.05,64.22,61.79,61.95,2034844
2009-06-23 04:00:00,60.68,63.45,60.68,62.2,1677094
2009-06-24 04:00:00,62.675,64.16,62.675,63.8,1728935
2009-06-25 04:00:00,63.67,64.71,62.94,64.61,1391956
2009-06-26 04:00:00,64.58,65.17,63.38,64.58,1503934
2009-06-29 04:00:00,64.81,64.81,63.69,64.46,1453431
2009-06-30 04:00:00,64.42,66.06,63.96,65.49,1741903
2009-07-01 04:00:00,66.14,66.94,65.67,66.45,1665539
2009-07-02 04:00:00,65.41,66.22,63.22,63.5,1844592
2009-07-06 04:00:00,63.08,66.08,62.82,65.89,2146150
2009-07-07 04:00:00,65.7,65.7,63.18,63.34,1894158
2009-07-08 04:00:00,64.12,64.59,62.185,63.53,2269741
2009-07-09 04:00:00,63.5,64.13,62.53,62.74,1650815
2009-07-10 04:00:00,62.5,63.28,61.35,62.39,1413963
2009-07-13 04:00:00,63.03,64.95,62.08,64.68,1904400
2009-07-14 04:00:00,64.77,65.47,63.54,64.92,1136865
2009-07-15 04:00:00,65.62,67.33,65.13,66.54,2234770
2009-07-16 04:00:00,66.33,67.31,65.19,66.82,1313911
2009-07-17 04:00:00,66.21,66.7,65.19,66.17,1580033
2009-07-20 04:00:00,66.64,67.54,66.45,67.31,1348627
2009-07-21 04:00:00,67.69,67.75,66.05,67.31,1079562
2009-07-22 04:00:00,66.86,68.16,66.0,67.42,861888
2009-07-23 04:00:00,67.13,70.94,67.04,70.03,1705187
2009-07-24 04:00:00,69.54,69.95,68.85,69.62,770961
2009-07-27 04:00:00,69.24,70.5892,69.14,70.25,1072001
2009-07-28 04:00:00,69.58,70.57,69.27,70.25,1027877
2009-07-29 04:00:00,69.46,70.81,69.32,70.22,902372
