Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,15.67,16.16,14.75,15.01,633279
2009-05-14 04:00:00,15.11,15.4,14.92,15.09,393277
2009-05-15 04:00:00,15.04,15.04,14.47,14.61,528735
2009-05-18 04:00:00,14.75,15.08,14.36,14.88,365638
2009-05-19 04:00:00,14.95,14.98,14.6,14.8,406462
2009-05-20 04:00:00,14.95,15.32,14.57,14.79,579986
2009-05-21 04:00:00,14.92,14.92,13.85,14.14,390095
2009-05-22 04:00:00,14.18,14.31,13.83,13.99,360382
2009-05-26 04:00:00,13.9,14.86,13.9,14.63,463585
2009-05-27 04:00:00,14.49,15.17,14.49,14.61,364653
2009-05-28 04:00:00,14.7,14.94,14.45,14.74,378883
2009-05-29 04:00:00,14.75,15.31,14.48,15.26,709714
2009-06-01 04:00:00,15.2,15.775,14.91,15.59,441477
2009-06-02 04:00:00,15.57,16.24,15.18,15.84,431680
2009-06-03 04:00:00,15.72,16.31,15.64,16.26,368466
2009-06-04 04:00:00,16.32,16.42,15.96,16.36,295495
2009-06-05 04:00:00,16.36,16.58,16.14,16.36,256827
2009-06-08 04:00:00,16.16,16.28,15.75,15.92,246189
2009-06-09 04:00:00,15.95,16.12,15.72,16.02,305239
2009-06-10 04:00:00,16.1,16.17,15.76,16.15,359404
2009-06-11 04:00:00,15.64,16.42,15.63,16.07,445575
2009-06-12 04:00:00,15.93,16.42,15.68,16.36,312946
2009-06-15 04:00:00,16.02,16.3,15.24,15.31,675311
2009-06-16 04:00:00,15.39,15.75,15.28,15.64,468539
2009-06-17 04:00:00,15.69,16.66,15.69,16.58,481115
2009-06-18 04:00:00,16.51,17.35,16.4625,17.32,566881
2009-06-19 04:00:00,17.49,18.42,17.48,18.17,1149622
2009-06-22 04:00:00,18.01,18.12,17.14,17.21,556642
2009-06-23 04:00:00,17.37,17.64,16.8801,16.97,359059
2009-06-24 04:00:00,17.16,17.28,16.85,17.09,548173
2009-06-25 04:00:00,17.2,17.61,16.98,17.61,403846
2009-06-26 04:00:00,17.57,18.24,17.16,18.04,491183
2009-06-29 04:00:00,18.06,18.14,17.46,17.83,362223
2009-06-30 04:00:00,17.8,18.09,17.59,17.92,353464
2009-07-01 04:00:00,18.11,18.32,17.75,18.1,245242
2009-07-02 04:00:00,17.9,17.9,16.85,17.05,512980
2009-07-06 04:00:00,16.9,17.09,16.53,17.06,342605
2009-07-07 04:00:00,17.08,17.27,16.87,16.88,284249
2009-07-08 04:00:00,17.0,17.2,16.48,16.62,405893
2009-07-09 04:00:00,16.67,16.98,16.2,16.31,427499
2009-07-10 04:00:00,16.25,16.5,16.09,16.29,334747
2009-07-13 04:00:00,16.31,16.65,16.05,16.65,233575
2009-07-14 04:00:00,16.6,16.9,16.551,16.66,149565
2009-07-15 04:00:00,16.94,17.49,16.58,17.24,400533
2009-07-16 04:00:00,17.19,17.65,17.0906,17.53,220211
2009-07-17 04:00:00,17.59,17.81,17.5,17.62,284930
2009-07-20 04:00:00,17.76,17.95,17.51,17.67,254625
2009-07-21 04:00:00,17.83,18.05,17.51,18.03,207059
2009-07-22 04:00:00,17.99,18.19,17.81,17.92,272525
2009-07-23 04:00:00,18.84,19.85,18.55,19.61,1209508
2009-07-24 04:00:00,19.53,20.76,19.51,20.75,987325
2009-07-27 04:00:00,20.7,21.16,20.56,20.95,791735
2009-07-28 04:00:00,20.44,21.8282,20.44,21.71,649723
2009-07-29 04:00:00,21.48,21.66,21.13,21.4,386138
2009-07-30 04:00:00,21.29,22.0,21.29,21.88,557816
2009-07-31 04:00:00,21.53,21.89,21.35,21.44,263612
2009-08-03 04:00:00,21.93,22.0,21.065,21.35,347547
2009-08-04 04:00:00,21.31,21.85,20.83,21.81,314947
2009-08-05 04:00:00,21.89,21.99,21.57,21.75,339349
2009-08-06 04:00:00,21.91,21.91,21.11,21.45,321480
2009-08-07 04:00:00,21.85,22.23,21.32,21.87,446620
2009-08-10 04:00:00,21.67,22.42,21.615,22.36,319039
2009-08-11 04:00:00,22.31,22.69,22.04,22.5,452645
2009-08-12 04:00:00,22.45,23.0,22.2,22.72,444161
2009-08-13 04:00:00,22.91,22.97,22.27,22.49,402870
2009-08-14 04:00:00,22.56,22.67,21.85,22.1,538418
2009-08-17 04:00:00,21.72,21.84,21.29,21.47,334205
2009-08-18 04:00:00,21.65,22.0,21.47,21.83,238872
2009-08-19 04:00:00,21.63,22.08,21.63,22.04,631545
2009-08-20 04:00:00,22.06,22.18,21.94,22.17,385080
2009-08-21 04:00:00,22.44,22.51,21.9,22.22,620798
2009-08-24 04:00:00,22.3,22.3,21.85,22.0,437745
2009-08-25 04:00:00,22.04,22.65,21.755,22.57,337975
2009-08-26 04:00:00,22.52,23.01,22.31,22.95,269377
2009-08-27 04:00:00,23.02,23.04,22.28,22.79,176271
2009-08-28 04:00:00,22.89,22.9,22.21,22.33,197552
2009-08-31 04:00:00,22.01,22.75,21.834,22.73,238724
2009-09-01 04:00:00,22.54,23.49,22.49,23.07,500019
2009-09-02 04:00:00,22.93,23.12,22.34,22.54,257551
2009-09-03 04:00:00,22.58,22.59,21.9775,22.33,254394
2009-09-04 04:00:00,22.21,22.39,21.96,22.24,325063
2009-09-08 04:00:00,22.35,22.45,21.9,21.99,290960
2009-09-09 04:00:00,22.0,22.25,21.91,22.0,285640
2009-09-10 04:00:00,21.92,22.28,21.85,21.99,275062
2009-09-11 04:00:00,22.0,22.21,21.87,21.88,285111
2009-09-14 04:00:00,20.16,21.5,20.12,21.39,1231009
2009-09-15 04:00:00,21.29,21.39,20.86,21.26,369816
2009-09-16 04:00:00,21.27,21.63,21.12,21.42,299424
2009-09-17 04:00:00,21.22,21.84,21.11,21.5,192284
2009-09-18 04:00:00,21.56,21.56,21.19,21.28,455971
2009-09-21 04:00:00,21.16,21.98,21.05,21.61,225333
2009-09-22 04:00:00,21.63,21.63,21.1,21.16,240408
2009-09-23 04:00:00,21.13,21.38,20.95,20.95,213606
2009-09-24 04:00:00,21.08,21.13,20.59,20.71,239402
2009-09-25 04:00:00,20.65,21.0,20.27,20.3,354857
2009-09-28 04:00:00,20.46,20.54,20.07,20.34,647928
2009-09-29 04:00:00,20.42,20.485,19.58,19.64,474536
2009-09-30 04:00:00,19.65,19.94,19.17,19.29,527749
2009-10-01 04:00:00,19.29,19.32,18.75,18.75,344947
2009-10-02 04:00:00,18.74,18.78,18.44,18.61,332040
2009-10-05 04:00:00,18.65,18.7977,18.35,18.4,310399
2009-10-06 04:00:00,18.57,19.22,18.39,18.97,534324
2009-10-07 04:00:00,18.96,19.22,18.74,18.78,463351
2009-10-08 04:00:00,18.9,19.055,18.34,18.38,325684
2009-10-09 04:00:00,18.32,18.52,18.15,18.41,641920
2009-10-12 04:00:00,18.41,18.9,18.41,18.88,386586
2009-10-13 04:00:00,18.71,19.35,18.71,18.9,930764
2009-10-14 04:00:00,19.09,19.22,18.9,19.08,477215
2009-10-15 04:00:00,18.98,19.3,18.83,19.11,504006
2009-10-16 04:00:00,19.03,19.1,18.6,18.83,373550
2009-10-19 04:00:00,19.0,19.14,18.54,18.69,514388
2009-10-20 04:00:00,18.68,18.88,18.12,18.18,321476
2009-10-21 04:00:00,18.16,18.61,17.96,18.01,386793
2009-10-22 04:00:00,18.04,18.39,17.81,18.13,582791
2009-10-23 04:00:00,18.16,18.24,17.47,17.59,437216
2009-10-26 04:00:00,17.66,17.98,17.25,17.49,380527
2009-10-27 04:00:00,17.49,17.71,17.19,17.21,399733
2009-10-28 04:00:00,17.23,17.23,16.51,16.55,428260
2009-10-29 04:00:00,16.2,16.57,16.09,16.23,855157
2009-10-30 04:00:00,16.15,16.185,15.43,15.7,947240
2009-11-02 05:00:00,15.76,16.16,15.18,15.39,948727
2009-11-03 05:00:00,15.38,16.07,15.38,15.96,964113
2009-11-04 05:00:00,15.96,16.06,15.02,15.05,721705
2009-11-05 05:00:00,15.13,15.579,15.11,15.51,407091
2009-11-06 05:00:00,15.36,15.73,15.36,15.71,323191
2009-11-09 05:00:00,15.85,15.87,15.51,15.66,263539
2009-11-10 05:00:00,15.55,15.85,15.51,15.8,378416
2009-11-11 05:00:00,17.54,19.1,17.32,18.95,4227163
2009-11-12 05:00:00,18.95,19.35,18.63,18.99,1020425
2009-11-13 05:00:00,18.96,19.09,18.29,18.57,781442
2009-11-16 05:00:00,18.71,19.84,18.57,19.72,677906
2009-11-17 05:00:00,19.7,19.96,19.54,19.93,505223
2009-11-18 05:00:00,19.84,19.86,18.94,19.37,480641
2009-11-19 05:00:00,19.18,19.21,18.54,18.67,397821
2009-11-20 05:00:00,18.49,18.79,18.25,18.46,347446
2009-11-23 05:00:00,18.57,19.09,18.46,18.6,302229
2009-11-24 05:00:00,18.5,18.87,18.34,18.65,273163
2009-11-25 05:00:00,18.69,18.88,18.3,18.35,341343
2009-11-27 05:00:00,18.04,18.47,18.04,18.09,171187
2009-11-30 05:00:00,18.15,18.46,18.12,18.35,414836
2009-12-01 05:00:00,18.44,18.95,18.28,18.94,714686
2009-12-02 05:00:00,18.9,19.5,18.78,19.29,513229
2009-12-03 05:00:00,19.41,19.61,18.97,19.01,239700
2009-12-04 05:00:00,19.38,19.74,19.03,19.32,346204
