Date,Open,High,Low,Close,Volume
2020-04-03 04:00:00,51.0,53.3,48.05,50.19,19906214
2020-04-06 04:00:00,54.48,58.9,52.64,57.48,45764036
2020-04-07 04:00:00,62.42,64.49,57.22,57.65,49449948
2020-04-08 04:00:00,58.14,63.8,58.0,62.53,39829192
2020-04-09 04:00:00,67.0,68.1,63.51,64.57,43968266
2020-04-13 04:00:00,64.23,64.4,60.09,61.81,27149272
2020-04-14 04:00:00,63.63,65.34,62.6,65.07,27366091
2020-04-15 04:00:00,65.0,65.105,61.23,62.33,29843774
2020-04-16 04:00:00,62.46,62.72,61.3,62.34,20873834
2020-04-17 04:00:00,64.75,66.5,64.1801,66.03,26026344
2020-04-20 04:00:00,64.5,66.93,63.72,64.97,18613624
2020-04-21 04:00:00,63.62,64.5478,62.15,62.7,17372000
2020-04-22 04:00:00,64.32,64.9,63.1004,63.6,13118656
2020-04-23 04:00:00,63.89,64.877,63.25,63.29,15524888
2020-04-24 04:00:00,63.98,64.05,62.5,63.43,14887804
2020-04-27 04:00:00,64.43,65.42,63.84,65.08,15191563
2020-04-28 04:00:00,66.52,67.29,64.81,65.43,18225127
2020-04-29 04:00:00,67.35,68.79,66.06,67.9,16831196
2020-04-30 04:00:00,67.45,67.45,64.7,64.7,15990848
2020-05-01 04:00:00,63.5,63.61,60.215,61.09,25121214
2020-05-04 04:00:00,60.02,60.03,57.57,58.89,29745968
2020-05-05 04:00:00,60.26,60.47,58.87,58.995,23689902
2020-05-06 04:00:00,59.3,59.3927,57.75,57.91,15857823
2020-05-07 04:00:00,58.63,59.24,56.44,57.02,38343104
2020-05-08 04:00:00,57.72,58.75,57.35,58.63,19095160
2020-05-11 04:00:00,57.72,57.9299,56.33,57.34,18576566
2020-05-12 04:00:00,57.38,58.44,56.73,56.75,19134974
2020-05-13 04:00:00,56.09,56.09,53.18,54.1,26618339
2020-05-14 04:00:00,52.67,53.91,51.13,53.9,28790724
2020-05-15 04:00:00,53.04,53.27,51.66,52.52,36385858
2020-05-18 04:00:00,55.65,58.62,55.5156,57.9,26137578
2020-05-19 04:00:00,57.89,60.14,57.4,57.94,26963102
2020-05-20 04:00:00,58.71,59.065,57.69,57.798,17880638
2020-05-21 04:00:00,58.3,60.21,58.2,60.1,19268420
2020-05-22 04:00:00,60.39,60.77,59.33,60.02,11820234
2020-05-26 04:00:00,62.56,65.55,62.36,64.48,28842625
2020-05-27 04:00:00,67.0,67.989,65.17,66.65,24701493
2020-05-28 04:00:00,68.78,68.78,66.14,67.29,23470336
2020-05-29 04:00:00,65.6,66.6,64.14,64.47,18031038
2020-06-01 04:00:00,65.0,66.035,64.07,64.17,20099036
2020-06-02 04:00:00,63.7,64.2,62.56,63.37,28217744
2020-06-03 04:00:00,64.5,67.73,64.4375,67.46,29601838
2020-06-04 04:00:00,67.1,67.83,66.31,67.49,16311078
2020-06-05 04:00:00,71.03,73.74,71.0,72.11,25563554
2020-06-08 04:00:00,72.5,74.93,72.5,74.12,20443752
2020-06-09 04:00:00,72.65,72.65,70.55,70.6,17536480
2020-06-10 04:00:00,70.14,70.2899,68.05,68.36,17634658
2020-06-11 04:00:00,63.99,65.71,62.82,62.9399,22448410
2020-06-12 04:00:00,65.97,66.0699,63.98,64.1162,5364434
2020-06-15 04:00:00,63.0,67.76,62.4365,67.05,19971130
2020-06-16 04:00:00,69.62,70.1,66.045,67.85,18301990
2020-06-17 04:00:00,68.0,68.16,66.6301,66.91,14904159
2020-06-18 04:00:00,65.83,67.43,65.61,66.88,10492004
2020-06-19 04:00:00,68.36,68.36,64.47,64.895,20713772
2020-06-22 04:00:00,64.81,65.42,63.9333,65.05,5920456
2020-06-23 04:00:00,65.46,65.78,64.16,64.54,5785011
2020-06-24 04:00:00,63.99,64.01,61.07,61.72,8746484
2020-06-25 04:00:00,60.92,61.38,59.96,61.03,11707414
2020-06-26 04:00:00,61.02,61.42,58.94,59.1,9064999
2020-06-29 04:00:00,60.19,61.92,59.8,61.92,7438674
2020-06-30 04:00:00,61.05,61.86,60.08,61.57,8766889
2020-07-01 04:00:00,61.78,62.9,61.23,61.65,5901193
2020-07-02 04:00:00,62.67,63.4562,61.62,61.83,7452085
2020-07-06 04:00:00,63.06,63.83,62.12,63.32,5634111
2020-07-07 04:00:00,62.54,62.83,60.94,61.04,7940966
2020-07-08 04:00:00,60.88,61.6372,60.2,61.0201,8701822
2020-07-09 04:00:00,60.66,60.88,58.06,58.12,10320721
2020-07-10 04:00:00,59.1,60.2,58.77,59.64,9419373
2020-07-13 04:00:00,60.28,60.8,58.7383,59.36,6687911
2020-07-14 04:00:00,59.0,60.56,58.45,60.47,6061765
2020-07-15 04:00:00,62.35,63.22,62.05,62.93,8280331
2020-07-16 04:00:00,62.3,62.81,61.45,62.39,5276513
2020-07-17 04:00:00,62.47,62.61,61.71,62.2,6165380
2020-07-20 04:00:00,61.78,62.03,60.82,61.41,5828559
2020-07-21 04:00:00,62.0,63.48,61.83,63.06,6736732
2020-07-22 04:00:00,62.6,63.73,62.1735,63.61,5321648
2020-07-23 04:00:00,63.59,64.33,62.88,63.12,5401410
2020-07-24 04:00:00,63.66,63.8,61.785,62.07,4991304
2020-07-27 04:00:00,61.65,61.85,60.65,61.09,9372446
2020-07-28 04:00:00,61.74,61.8151,59.75,61.0,20367891
2020-07-29 04:00:00,60.7,60.99,59.06,59.4,21105982
