Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,22.96,24.0,22.84,24.0,1774360
2009-05-19 04:00:00,24.08,24.39,23.61,23.99,1844670
2009-05-20 04:00:00,24.34,24.6,23.64,23.79,1324206
2009-05-21 04:00:00,23.55,24.21,23.06,23.59,2440737
2009-05-22 04:00:00,23.7,24.04,23.31,23.47,1520735
2009-05-26 04:00:00,23.51,24.93,23.18,24.83,2966626
2009-05-27 04:00:00,24.67,25.72,24.43,24.87,2303959
2009-05-28 04:00:00,25.25,25.72,24.42,25.52,2834100
2009-05-29 04:00:00,25.89,25.94,24.68,25.6,3344990
2009-06-01 04:00:00,25.82,26.05,25.12,25.54,3207876
2009-06-02 04:00:00,25.67,25.79,24.62,25.14,3166163
2009-06-03 04:00:00,24.96,25.22,24.01,24.44,1889339
2009-06-04 04:00:00,24.68,24.69,23.97,24.22,1667189
2009-06-05 04:00:00,24.35,24.8,24.06,24.3,1465067
2009-06-08 04:00:00,24.3,24.3,23.66,23.9,1914874
2009-06-09 04:00:00,24.26,24.33,23.8301,24.0,1749097
2009-06-10 04:00:00,24.1,24.22,23.13,23.36,2198704
2009-06-11 04:00:00,23.27,23.84,23.19,23.67,2468224
2009-06-12 04:00:00,23.44,24.06,23.38,24.06,1277217
2009-06-15 04:00:00,23.75,23.81,23.265,23.45,1717990
2009-06-16 04:00:00,23.7,23.9,22.73,22.99,1973432
2009-06-17 04:00:00,22.87,22.97,22.13,22.73,2814890
2009-06-18 04:00:00,22.92,23.1,22.56,22.94,1247808
2009-06-19 04:00:00,23.07,23.31,22.9,23.18,1398286
2009-06-22 04:00:00,23.03,23.03,22.23,22.4,1856215
2009-06-23 04:00:00,22.56,22.81,22.33,22.74,2767606
2009-06-24 04:00:00,23.07,23.95,22.67,23.79,2394400
2009-06-25 04:00:00,23.59,24.38,23.42,24.33,1862037
2009-06-26 04:00:00,24.17,24.96,24.03,24.93,1323611
2009-06-29 04:00:00,25.09,25.11,24.33,24.89,1402658
2009-06-30 04:00:00,24.77,24.99,24.25,24.53,1314149
2009-07-01 04:00:00,24.62,24.9,24.34,24.39,1459702
2009-07-02 04:00:00,24.31,24.32,23.68,23.68,1552551
2009-07-06 04:00:00,23.59,23.68,22.77,22.9,2152156
2009-07-07 04:00:00,22.87,22.97,22.6,22.7,1933064
2009-07-08 04:00:00,22.99,23.01,22.25,22.63,2045900
2009-07-09 04:00:00,22.9,23.54,22.71,23.28,1464402
2009-07-10 04:00:00,23.18,23.56,23.05,23.48,1237557
2009-07-13 04:00:00,23.7,23.84,23.16,23.83,1448781
2009-07-14 04:00:00,23.76,24.08,23.49,24.06,1151569
2009-07-15 04:00:00,24.24,25.17,24.24,25.03,2169609
2009-07-16 04:00:00,25.04,25.42,24.75,25.32,1056112
2009-07-17 04:00:00,25.15,25.5,25.02,25.35,869068
2009-07-20 04:00:00,25.09,26.41,25.09,26.02,1828545
2009-07-21 04:00:00,26.36,26.63,25.73,26.13,1636743
2009-07-22 04:00:00,26.14,26.6,25.9,26.34,1383072
2009-07-23 04:00:00,26.17,27.32,26.17,26.89,1261996
2009-07-24 04:00:00,26.62,27.01,26.105,26.67,1123502
2009-07-27 04:00:00,26.75,27.02,26.24,26.7,1061831
2009-07-28 04:00:00,26.76,26.86,26.14,26.77,1120502
2009-07-29 04:00:00,26.25,26.4,25.26,25.42,2449262
2009-07-30 04:00:00,25.69,26.38,25.48,26.06,2497546
2009-07-31 04:00:00,26.05,26.63,25.94,26.09,1510156
2009-08-03 04:00:00,26.34,26.53,25.89,26.52,1058160
2009-08-04 04:00:00,26.33,27.01,26.23,26.44,1726439
2009-08-05 04:00:00,26.32,26.5,25.63,25.98,1009598
2009-08-06 04:00:00,26.01,26.22,25.235,25.4,1016479
2009-08-07 04:00:00,25.62,26.06,25.21,25.25,1332114
2009-08-10 04:00:00,25.27,25.56,24.94,25.01,1050960
2009-08-11 04:00:00,25.36,25.36,24.68,25.06,1811090
2009-08-12 04:00:00,24.73,25.47,24.73,25.15,1263422
2009-08-13 04:00:00,25.38,25.395,24.88,25.1,998259
2009-08-14 04:00:00,24.87,25.09,24.56,24.83,843607
2009-08-17 04:00:00,24.49,24.49,23.95,23.98,1225077
2009-08-18 04:00:00,24.27,24.47,23.97,24.29,1532366
2009-08-19 04:00:00,23.95,24.84,23.85,24.73,1121588
2009-08-20 04:00:00,24.53,25.16,24.53,25.16,1570470
2009-08-21 04:00:00,25.33,25.49,24.52,24.64,2090584
2009-08-24 04:00:00,24.62,25.04,24.5,24.55,1231364
2009-08-25 04:00:00,24.82,24.94,24.46,24.56,1085408
2009-08-26 04:00:00,24.45,24.695,24.12,24.67,1112703
2009-08-27 04:00:00,24.72,24.85,24.24,24.62,934462
2009-08-28 04:00:00,24.82,25.14,24.8,25.06,1156266
2009-08-31 04:00:00,24.81,24.83,24.02,24.11,1404929
2009-09-01 04:00:00,24.1,24.56,23.45,23.48,1145457
2009-09-02 04:00:00,23.45,23.68,23.23,23.43,1099910
2009-09-03 04:00:00,23.5,24.14,23.5,24.14,1731630
2009-09-04 04:00:00,24.07,24.635,23.89,24.54,930876
2009-09-08 04:00:00,24.78,25.23,24.78,25.01,979155
