Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,6.565,6.71,6.47,6.695,17035396
2009-05-19 04:00:00,6.675,6.835,6.61,6.72,12871246
2009-05-20 04:00:00,6.76,7.005,6.71,6.775,33519582
2009-05-21 04:00:00,6.695,6.796,6.65,6.715,39984616
2009-05-22 04:00:00,6.76,6.79,6.48,6.5,33008724
2009-05-26 04:00:00,6.28,6.805,6.27,6.735,30497802
2009-05-27 04:00:00,6.74,6.945,6.65,6.705,20685542
2009-05-28 04:00:00,6.78,6.89,6.615,6.86,26187096
2009-05-29 04:00:00,6.895,7.19,6.86,7.175,32793522
2009-06-01 04:00:00,7.275,7.495,7.205,7.46,22055736
2009-06-02 04:00:00,7.455,7.54,7.335,7.4,16148722
2009-06-03 04:00:00,7.35,7.64,7.34,7.64,25772976
2009-06-04 04:00:00,7.64,7.69,7.51,7.58,25931814
2009-06-05 04:00:00,7.635,7.7,7.51,7.55,16059720
2009-06-08 04:00:00,7.345,7.56,7.325,7.485,22548404
2009-06-09 04:00:00,7.385,7.67,7.385,7.6,18192102
2009-06-10 04:00:00,7.59,7.7,7.32,7.45,23118898
2009-06-11 04:00:00,7.42,7.52,7.11,7.13,28100328
2009-06-12 04:00:00,7.095,7.28,7.01,7.275,20699250
2009-06-15 04:00:00,7.205,7.22,6.96,7.045,16196152
2009-06-16 04:00:00,7.07,7.13,6.94,7.0,17398918
2009-06-17 04:00:00,6.97,7.305,6.94,7.15,28952176
2009-06-18 04:00:00,7.12,7.265,7.05,7.055,15925386
2009-06-19 04:00:00,7.05,7.28,7.035,7.12,19118918
2009-06-22 04:00:00,7.0,7.05,6.77,6.86,19096674
2009-06-23 04:00:00,6.95,7.19,6.895,7.08,29822626
2009-06-24 04:00:00,7.125,7.28,7.04,7.105,18280744
2009-06-25 04:00:00,7.08,7.438,7.05,7.415,22999916
2009-06-26 04:00:00,7.375,7.48,7.255,7.26,15375706
2009-06-29 04:00:00,7.33,7.434,7.208,7.32,12647578
2009-06-30 04:00:00,7.205,7.285,6.895,6.945,40584740
2009-07-01 04:00:00,7.0,7.148,6.975,7.0,26791884
2009-07-02 04:00:00,6.935,6.99,6.68,6.685,25498146
2009-07-06 04:00:00,6.63,6.8,6.58,6.7,17692680
2009-07-07 04:00:00,6.73,6.75,6.475,6.485,18291500
2009-07-08 04:00:00,6.475,6.59,6.38,6.52,24711664
2009-07-09 04:00:00,6.53,6.9,6.49,6.82,38451458
2009-07-10 04:00:00,6.765,6.955,6.665,6.725,19005310
2009-07-13 04:00:00,6.725,7.038,6.65,7.02,28375892
2009-07-14 04:00:00,6.98,7.095,6.84,7.06,23440780
2009-07-15 04:00:00,7.085,7.215,7.03,7.21,22194174
2009-07-16 04:00:00,7.17,7.285,7.115,7.205,13995516
2009-07-17 04:00:00,7.265,7.28,7.13,7.22,16733398
2009-07-20 04:00:00,7.265,7.47,7.22,7.465,20120398
2009-07-21 04:00:00,7.515,7.525,7.205,7.345,27063020
2009-07-22 04:00:00,8.01,8.795,7.975,8.695,144688900
2009-07-23 04:00:00,8.6,8.66,8.43,8.63,46354312
2009-07-24 04:00:00,8.595,8.73,8.45,8.61,20283576
2009-07-27 04:00:00,8.69,8.75,8.475,8.65,24247002
2009-07-28 04:00:00,8.55,8.745,8.54,8.68,16595070
2009-07-29 04:00:00,8.69,8.725,8.505,8.58,16275786
2009-07-30 04:00:00,8.635,8.92,8.63,8.805,26246154
2009-07-31 04:00:00,8.75,8.95,8.725,8.855,17618718
2009-08-03 04:00:00,8.99,9.166,8.835,9.135,27784416
2009-08-04 04:00:00,9.05,9.35,9.04,9.35,28527256
2009-08-05 04:00:00,9.365,9.49,9.185,9.25,34223970
2009-08-06 04:00:00,9.22,9.315,9.095,9.155,25186786
2009-08-07 04:00:00,9.29,9.575,9.215,9.515,27746834
2009-08-10 04:00:00,9.405,9.69,9.365,9.61,31999338
2009-08-11 04:00:00,9.58,9.58,9.3,9.43,26553154
2009-08-12 04:00:00,9.38,9.72,9.375,9.62,23701292
2009-08-13 04:00:00,9.65,9.845,9.505,9.82,28754572
2009-08-14 04:00:00,9.73,9.775,9.42,9.55,21430082
2009-08-17 04:00:00,9.36,9.384,9.195,9.3,21160616
2009-08-18 04:00:00,9.325,9.525,9.31,9.5,16510630
2009-08-19 04:00:00,9.385,9.59,9.37,9.56,17037730
2009-08-20 04:00:00,9.525,9.675,9.51,9.605,17451984
2009-08-21 04:00:00,9.685,9.895,9.62,9.855,17636234
2009-08-24 04:00:00,9.87,9.925,9.555,9.62,21438348
2009-08-25 04:00:00,9.62,9.87,9.6,9.75,18857980
2009-08-26 04:00:00,9.75,9.84,9.605,9.675,15661312
2009-08-27 04:00:00,9.665,9.78,9.455,9.715,15163118
2009-08-28 04:00:00,9.83,9.85,9.579,9.665,12351576
2009-08-31 04:00:00,9.615,9.64,9.425,9.5,19611016
2009-09-01 04:00:00,9.45,9.675,9.21,9.27,27921860
2009-09-02 04:00:00,9.24,9.375,9.19,9.27,15542276
2009-09-03 04:00:00,9.305,9.345,9.105,9.34,21782838
2009-09-04 04:00:00,9.355,9.575,9.23,9.51,15074368
2009-09-08 04:00:00,9.535,9.625,9.475,9.595,13833614
2009-09-09 04:00:00,9.61,10.105,9.565,10.05,39894640
2009-09-10 04:00:00,10.08,10.12,9.835,9.99,29881642
2009-09-11 04:00:00,9.995,10.01,9.83,9.945,18132758
2009-09-14 04:00:00,9.835,10.095,9.79,10.03,17274960
