Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,53.97,54.73,53.0,53.17,1189740
2009-05-15 04:00:00,54.1,54.76,53.16,53.69,1433113
2009-05-18 04:00:00,54.13,56.12,54.13,55.67,1562156
2009-05-19 04:00:00,56.45,58.19,56.2,57.12,2208270
2009-05-20 04:00:00,57.585,57.97,54.45,54.79,2005428
2009-05-21 04:00:00,54.39,54.91,53.01,53.67,1728641
2009-05-22 04:00:00,53.89,54.19,52.9,53.55,1081677
2009-05-26 04:00:00,53.33,55.5,53.225,55.21,1443704
2009-05-27 04:00:00,55.38,55.38,52.89,53.04,1983298
2009-05-28 04:00:00,53.36,53.4,52.19,53.07,1860563
2009-05-29 04:00:00,53.1,53.93,52.52,53.02,2041913
2009-06-01 04:00:00,53.84,54.44,53.23,53.84,1566141
2009-06-02 04:00:00,53.9,55.1,53.4,54.57,1970352
2009-06-03 04:00:00,54.4,54.4,53.52,54.17,1399095
2009-06-04 04:00:00,54.18,54.34,53.55,53.8,1122837
2009-06-05 04:00:00,54.54,54.7,53.3,54.19,1433341
2009-06-08 04:00:00,54.18,55.24,53.87,54.92,1593852
2009-06-09 04:00:00,54.93,56.34,54.93,55.91,1545410
2009-06-10 04:00:00,56.01,56.92,54.85,55.45,1987834
2009-06-11 04:00:00,54.86,55.96,54.86,55.24,1267271
2009-06-12 04:00:00,55.32,55.45,54.25,55.07,992690
2009-06-15 04:00:00,54.38,54.63,53.82,54.5,1225788
2009-06-16 04:00:00,54.73,54.77,52.87,52.95,1904052
2009-06-17 04:00:00,52.9,54.64,52.9,53.96,2252267
2009-06-18 04:00:00,53.78,54.24,53.26,53.34,1143119
2009-06-19 04:00:00,53.79,53.89,53.25,53.55,1612232
2009-06-22 04:00:00,53.39,53.39,52.42,52.47,2022552
2009-06-23 04:00:00,52.83,52.83,51.68,52.56,1840516
2009-06-24 04:00:00,52.86,53.66,52.21,52.58,2098089
2009-06-25 04:00:00,52.5,54.01,52.44,53.44,1334099
2009-06-26 04:00:00,53.43,54.25,53.26,54.11,1433215
2009-06-29 04:00:00,54.26,54.26,53.0,53.69,1614539
2009-06-30 04:00:00,53.85,53.96,53.26,53.75,1380595
2009-07-01 04:00:00,54.14,54.14,53.33,53.86,1177622
2009-07-02 04:00:00,53.55,53.74,52.61,53.12,1263957
2009-07-06 04:00:00,52.26,53.92,51.99,53.7,2075487
2009-07-07 04:00:00,53.51,53.51,51.99,52.12,1448579
2009-07-08 04:00:00,52.26,52.47,51.55,52.1,872003
2009-07-09 04:00:00,52.49,52.5,51.56,52.14,794127
2009-07-10 04:00:00,51.62,52.43,51.5,52.23,819979
2009-07-13 04:00:00,52.3,53.25,51.41,53.19,1110116
2009-07-14 04:00:00,53.11,54.01,52.82,53.77,1081782
2009-07-15 04:00:00,54.26,55.25,54.18,54.53,1852089
2009-07-16 04:00:00,54.67,56.69,54.67,56.35,1506369
2009-07-17 04:00:00,56.14,56.94,56.01,56.54,922903
2009-07-20 04:00:00,56.82,57.66,56.52,57.44,1756529
2009-07-21 04:00:00,56.27,56.75,52.0,55.13,5151554
2009-07-22 04:00:00,54.27,55.31,54.12,54.81,1731717
2009-07-23 04:00:00,54.76,56.2475,54.56,56.11,1491278
2009-07-24 04:00:00,55.855,56.88,55.2,56.8,1322356
2009-07-27 04:00:00,56.65,56.65,55.42,56.12,1093435
2009-07-28 04:00:00,55.94,56.48,55.67,56.21,899329
2009-07-29 04:00:00,56.0,56.509,55.77,56.2,1202129
2009-07-30 04:00:00,56.6,57.53,56.43,57.27,1444915
2009-07-31 04:00:00,56.69,58.14,56.69,57.66,1047712
2009-08-03 04:00:00,58.05,59.85,57.67,59.39,1602204
2009-08-04 04:00:00,59.14,61.0,58.91,60.69,1663913
2009-08-05 04:00:00,60.7,61.45,59.65,61.2,1594821
2009-08-06 04:00:00,61.59,61.71,60.51,60.94,965266
2009-08-07 04:00:00,61.67,62.7,60.79,61.95,1314011
2009-08-10 04:00:00,61.45,61.69,60.85,61.37,824847
2009-08-11 04:00:00,60.58,61.4,60.45,60.91,999236
2009-08-12 04:00:00,60.89,61.98,60.69,61.58,859299
2009-08-13 04:00:00,61.65,61.84,60.57,61.51,922909
2009-08-14 04:00:00,61.36,61.42,60.0,60.55,696171
2009-08-17 04:00:00,59.59,60.6582,58.97,60.02,1329347
2009-08-18 04:00:00,60.07,60.85,59.63,60.67,1046775
2009-08-19 04:00:00,60.15,60.66,59.75,60.39,863532
2009-08-20 04:00:00,60.44,60.95,60.11,60.83,865264
2009-08-21 04:00:00,61.38,62.73,61.28,62.05,970676
2009-08-24 04:00:00,62.19,62.55,60.92,61.1,999548
2009-08-25 04:00:00,59.67,61.34,59.67,60.69,2126447
2009-08-26 04:00:00,60.41,61.13,60.13,60.44,1703912
2009-08-27 04:00:00,60.55,60.9,59.53,60.69,1074588
2009-08-28 04:00:00,61.1,61.34,60.48,60.96,603767
2009-08-31 04:00:00,60.46,60.54,59.41,60.2,948901
2009-09-01 04:00:00,59.68,60.49,58.8,59.62,1094956
2009-09-02 04:00:00,59.08,59.62,58.62,59.37,978041
2009-09-03 04:00:00,59.46,60.4,58.41,60.23,1090783
2009-09-04 04:00:00,60.375,60.54,59.84,60.32,983185
2009-09-08 04:00:00,60.61,60.95,59.75,60.65,1373429
2009-09-09 04:00:00,60.51,60.69,58.675,59.19,2645158
2009-09-10 04:00:00,59.13,59.21,58.14,58.67,1823559
2009-09-11 04:00:00,58.92,59.69,58.42,59.34,1323174
2009-09-14 04:00:00,58.81,60.11,58.64,59.94,1066891
2009-09-15 04:00:00,59.85,60.26,59.36,59.97,1255934
2009-09-16 04:00:00,60.25,61.35,59.78,60.6,1237389
2009-09-17 04:00:00,60.61,62.44,60.52,62.15,2993622
2009-09-18 04:00:00,62.39,62.5,61.24,61.99,1213450
2009-09-21 04:00:00,61.72,62.25,61.33,61.59,1332302
2009-09-22 04:00:00,61.68,61.77,61.08,61.13,836532
2009-09-23 04:00:00,61.29,61.86,60.78,61.09,1691926
2009-09-24 04:00:00,61.12,61.57,60.77,61.06,1062328
2009-09-25 04:00:00,60.92,60.97,59.46,59.6,1505616
2009-09-28 04:00:00,60.17,60.81,59.66,60.62,733495
2009-09-29 04:00:00,60.71,61.62,60.12,60.29,852880
2009-09-30 04:00:00,60.32,60.7,59.63,60.11,998090
2009-10-01 04:00:00,60.0,60.53,59.55,59.55,1504702
2009-10-02 04:00:00,59.11,59.97,58.56,58.83,1240599
2009-10-05 04:00:00,58.79,59.77,58.77,59.53,743025
2009-10-06 04:00:00,59.74,60.65,59.63,59.89,896324
