Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,20.76,21.26,20.76,21.26,859716
2009-05-19 04:00:00,20.92,21.5,20.81,21.37,1094753
2009-05-20 04:00:00,21.44,21.96,21.38,21.61,1436571
2009-05-21 04:00:00,20.39,20.56,18.85,19.41,6247442
2009-05-22 04:00:00,19.41,19.58,19.05,19.28,1998304
2009-05-26 04:00:00,19.21,19.96,18.95,19.8,1417621
2009-05-27 04:00:00,19.8,19.88,19.38,19.4,1238503
2009-05-28 04:00:00,19.4,19.59,19.09,19.4,1663790
2009-05-29 04:00:00,19.33,19.52,19.1,19.47,1469033
2009-06-01 04:00:00,19.5,20.01,19.46,19.85,1327956
2009-06-02 04:00:00,19.51,19.97,19.51,19.85,833078
2009-06-03 04:00:00,19.47,19.67,19.3,19.33,1199182
2009-06-04 04:00:00,19.52,19.63,19.27,19.38,1085435
2009-06-05 04:00:00,19.67,19.69,19.28,19.43,892975
2009-06-08 04:00:00,19.0,19.5,18.94,19.4,1515278
2009-06-09 04:00:00,19.33,20.11,19.33,19.96,1480208
2009-06-10 04:00:00,19.96,20.07,19.62,19.83,1502886
2009-06-11 04:00:00,19.78,20.17,19.63,19.83,1451806
2009-06-12 04:00:00,19.82,19.97,19.365,19.72,858429
2009-06-15 04:00:00,19.57,19.66,19.0,19.37,1284027
2009-06-16 04:00:00,19.44,19.5,18.92,18.95,1079736
2009-06-17 04:00:00,19.04,19.36,19.03,19.21,871491
2009-06-18 04:00:00,19.25,19.45,19.14,19.35,921684
2009-06-19 04:00:00,19.49,19.59,19.115,19.14,887053
2009-06-22 04:00:00,18.95,19.105,18.72,18.75,1007399
2009-06-23 04:00:00,18.87,19.01,18.6701,18.88,952045
2009-06-24 04:00:00,18.97,19.13,18.83,18.93,650564
2009-06-25 04:00:00,18.96,18.97,18.68,18.88,1308941
2009-06-26 04:00:00,18.73,19.05,18.61,18.73,2144094
2009-06-29 04:00:00,18.97,19.45,18.74,19.4,1617326
2009-06-30 04:00:00,19.48,19.56,19.11,19.52,1683633
2009-07-01 04:00:00,19.43,19.69,19.29,19.65,1595199
2009-07-02 04:00:00,19.46,19.46,18.81,19.04,2209161
2009-07-06 04:00:00,18.88,18.995,18.62,18.77,1384866
2009-07-07 04:00:00,18.7,18.75,18.2,18.2,1689075
2009-07-08 04:00:00,18.21,18.31,17.83,18.25,2503439
2009-07-09 04:00:00,18.27,18.575,18.26,18.55,1178943
2009-07-10 04:00:00,18.47,18.695,18.34,18.53,769708
2009-07-13 04:00:00,18.51,18.7,18.21,18.66,1123610
2009-07-14 04:00:00,18.67,18.7801,18.49,18.75,1204456
2009-07-15 04:00:00,19.22,19.49,19.02,19.46,1354972
2009-07-16 04:00:00,19.38,19.64,19.33,19.61,720404
2009-07-17 04:00:00,19.65,19.65,19.32,19.53,888828
2009-07-20 04:00:00,19.61,19.68,19.37,19.44,795811
2009-07-21 04:00:00,19.5,19.75,19.3,19.59,780840
