Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,28.58,28.87,28.3,28.44,5106228
2009-05-15 04:00:00,28.38,28.52,28.0,28.15,3924799
2009-05-18 04:00:00,28.28,28.34,27.9,28.12,3842016
2009-05-19 04:00:00,28.15,28.175,27.92,27.98,5569332
2009-05-20 04:00:00,27.99,28.15,27.44,27.45,5260150
2009-05-21 04:00:00,27.39,27.54,27.19,27.32,4529683
2009-05-22 04:00:00,27.28,27.95,27.2,27.75,4841607
2009-05-26 04:00:00,27.71,28.33,27.58,28.32,5677224
2009-05-27 04:00:00,28.36,28.47,27.9,28.1,6722124
2009-05-28 04:00:00,28.15,28.49,28.05,28.3,4838473
2009-05-29 04:00:00,28.34,28.53,28.06,28.42,4760759
2009-06-01 04:00:00,28.52,29.04,28.43,28.93,5288151
2009-06-02 04:00:00,28.93,29.28,28.93,29.01,5054479
2009-06-03 04:00:00,29.06,29.24,28.41,28.74,3686086
2009-06-04 04:00:00,28.89,28.89,28.52,28.7,4103628
2009-06-05 04:00:00,28.83,29.14,28.72,28.91,6210659
2009-06-08 04:00:00,29.18,29.18,28.55,28.83,4167740
2009-06-09 04:00:00,28.85,29.14,28.6,28.64,3783088
2009-06-10 04:00:00,28.76,29.22,28.73,29.05,4919759
2009-06-11 04:00:00,29.14,30.4,29.1,29.88,6775740
2009-06-12 04:00:00,29.94,30.8,29.61,30.54,5215780
2009-06-15 04:00:00,30.31,30.53,29.94,30.16,4645460
2009-06-16 04:00:00,30.22,30.35,29.96,30.14,3568030
2009-06-17 04:00:00,30.13,30.69,30.13,30.35,4254684
2009-06-18 04:00:00,30.46,31.17,30.34,31.08,4174081
2009-06-19 04:00:00,31.29,31.4,30.55,30.64,4847334
2009-06-22 04:00:00,30.44,31.3,30.2,31.09,4261572
2009-06-23 04:00:00,31.05,31.21,30.72,31.08,5491867
2009-06-24 04:00:00,31.21,31.46,31.08,31.29,4067747
2009-06-25 04:00:00,31.25,31.82,30.91,31.75,4712851
2009-06-26 04:00:00,31.76,32.05,31.51,31.91,4374721
2009-06-29 04:00:00,31.94,31.94,31.47,31.84,3823494
2009-06-30 04:00:00,31.11,31.4,30.55,31.17,7345263
2009-07-01 04:00:00,31.19,31.55,31.13,31.51,3858004
2009-07-02 04:00:00,31.43,31.45,31.08,31.11,4477215
2009-07-06 04:00:00,31.18,31.94,31.03,31.67,5267913
2009-07-07 04:00:00,31.58,31.58,31.07,31.1,3090974
2009-07-08 04:00:00,31.14,31.41,30.65,30.94,4096594
2009-07-09 04:00:00,31.06,31.06,30.47,30.77,3702868
2009-07-10 04:00:00,30.68,30.87,30.268,30.68,2617408
2009-07-13 04:00:00,30.7,30.9,30.38,30.69,6044981
2009-07-14 04:00:00,30.7,30.84,30.42,30.84,4252966
2009-07-15 04:00:00,30.83,31.55,30.76,31.52,5175410
2009-07-16 04:00:00,31.42,31.9,31.23,31.79,2842865
2009-07-17 04:00:00,31.78,31.83,31.33,31.51,3337027
2009-07-20 04:00:00,31.69,31.79,31.29,31.77,3268437
2009-07-21 04:00:00,31.87,32.0,31.61,31.91,4389598
2009-07-22 04:00:00,31.8,32.085,31.71,31.8,3272553
