Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,30.36,31.24,29.98,30.18,1973137
2009-05-18 04:00:00,30.49,32.14,30.19,32.12,2487559
2009-05-19 04:00:00,32.29,32.78,31.53,32.45,2115650
2009-05-20 04:00:00,32.7,33.85,32.25,32.38,1935608
2009-05-21 04:00:00,31.69,31.95,30.095,30.71,1785717
2009-05-22 04:00:00,30.76,31.32,30.71,30.84,1730183
2009-05-26 04:00:00,30.7,32.48,30.7,32.1,2492174
2009-05-27 04:00:00,31.98,32.1,30.47,30.53,1982723
2009-05-28 04:00:00,30.43,30.73,29.35,30.14,3089252
2009-05-29 04:00:00,30.56,30.7,29.49,30.08,3124204
2009-06-01 04:00:00,30.5,32.43,30.3,32.1,2588959
2009-06-02 04:00:00,32.07,32.34,31.84,32.05,2814124
2009-06-03 04:00:00,31.86,31.86,30.5,31.0,3625324
2009-06-04 04:00:00,31.05,31.36,30.33,30.74,1835509
2009-06-05 04:00:00,31.18,31.76,30.61,30.84,2211174
2009-06-08 04:00:00,30.35,31.26,30.25,30.96,1576723
2009-06-09 04:00:00,31.06,31.83,30.82,31.69,1925751
2009-06-10 04:00:00,32.05,32.15,31.12,31.69,2161537
2009-06-11 04:00:00,31.82,32.27,31.47,31.85,1660670
2009-06-12 04:00:00,31.72,31.99,31.32,31.98,1255977
2009-06-15 04:00:00,31.44,31.44,30.255,30.52,2045140
2009-06-16 04:00:00,30.47,30.61,29.51,29.5775,1654261
2009-06-17 04:00:00,29.52,30.43,29.3601,30.15,1801322
2009-06-18 04:00:00,30.28,30.33,29.54,30.1,2178876
2009-06-19 04:00:00,30.65,30.65,29.4,29.68,2821034
2009-06-22 04:00:00,29.32,29.4,28.27,28.36,1533729
2009-06-23 04:00:00,28.37,29.35,28.35,29.19,1816742
2009-06-24 04:00:00,29.39,29.89,29.15,29.44,1651072
2009-06-25 04:00:00,29.19,30.0,29.01,29.73,1607934
2009-06-26 04:00:00,29.64,29.76,29.18,29.6,1132248
2009-06-29 04:00:00,29.69,30.29,29.41,30.07,971524
2009-06-30 04:00:00,30.15,30.4,29.75,30.12,1568867
2009-07-01 04:00:00,30.39,30.99,30.29,30.66,1776206
2009-07-02 04:00:00,29.31,30.07,29.31,29.54,1454787
2009-07-06 04:00:00,29.19,29.87,29.15,29.71,1544961
2009-07-07 04:00:00,29.35,29.8,28.77,28.86,2201127
2009-07-08 04:00:00,29.12,29.99,29.02,29.83,3489401
2009-07-09 04:00:00,30.04,30.25,29.5101,30.01,1711134
2009-07-10 04:00:00,29.6,30.28,29.56,30.05,1607461
2009-07-13 04:00:00,29.97,30.58,29.33,30.54,2208519
2009-07-14 04:00:00,30.32,30.94,30.27,30.86,1130129
2009-07-15 04:00:00,31.2,32.25,30.93,32.05,2003761
2009-07-16 04:00:00,32.04,32.48,31.15,32.37,2243033
2009-07-17 04:00:00,32.33,32.49,31.9,32.34,1303679
2009-07-20 04:00:00,32.73,33.22,32.42,33.02,1780631
2009-07-21 04:00:00,33.32,33.42,31.82,32.54,4165596
2009-07-22 04:00:00,32.41,33.58,32.4,33.25,3569875
2009-07-23 04:00:00,32.05,33.06,31.62,32.73,5136129
2009-07-24 04:00:00,32.51,32.96,32.13,32.55,2119994
2009-07-27 04:00:00,32.43,33.33,32.35,33.12,1710889
2009-07-28 04:00:00,32.89,33.5,32.44,33.12,2684638
2009-07-29 04:00:00,32.72,33.01,31.87,32.25,2640696
2009-07-30 04:00:00,33.52,33.52,31.42,31.47,2989536
2009-07-31 04:00:00,31.43,31.78,31.09,31.34,2866769
2009-08-03 04:00:00,31.69,31.92,31.34,31.5,3031184
2009-08-04 04:00:00,31.44,31.57,30.66,31.06,3524384
2009-08-05 04:00:00,31.22,31.4,30.31,30.38,2373503
2009-08-06 04:00:00,30.5,30.5,29.78,29.89,2116804
2009-08-07 04:00:00,30.33,30.54,29.85,30.04,3066755
2009-08-10 04:00:00,29.9,30.15,29.73,30.06,1659823
2009-08-11 04:00:00,29.93,29.95,29.14,29.29,2028110
2009-08-12 04:00:00,29.27,30.3,29.27,29.85,2031748
2009-08-13 04:00:00,29.85,30.15,28.65,28.98,3760469
2009-08-14 04:00:00,29.08,29.25,28.3,28.61,2799563
2009-08-17 04:00:00,28.14,28.42,27.57,27.88,2183321
2009-08-18 04:00:00,27.97,28.33,27.84,28.17,2297787
2009-08-19 04:00:00,27.71,28.97,27.38,28.85,2968318
2009-08-20 04:00:00,28.95,29.05,28.47,29.03,1984600
2009-08-21 04:00:00,29.45,29.8,29.11,29.66,2184189
2009-08-24 04:00:00,29.63,30.86,29.44,30.75,3558736
2009-08-25 04:00:00,30.9,31.64,30.51,31.05,3044579
2009-08-26 04:00:00,30.89,32.91,30.8,32.15,4623451
2009-08-27 04:00:00,31.99,33.01,31.46,32.97,3997837
2009-08-28 04:00:00,33.24,33.94,32.74,33.64,4162501
2009-08-31 04:00:00,33.21,33.65,32.75,33.63,2689094
2009-09-01 04:00:00,33.64,34.1,32.9,33.23,4302808
2009-09-02 04:00:00,33.1,33.22,32.17,32.28,3048884
2009-09-03 04:00:00,32.05,32.4,28.35,28.97,13940819
2009-09-04 04:00:00,29.14,29.74,28.76,29.1,6508568
2009-09-08 04:00:00,28.63,28.9,26.59,26.96,11545222
2009-09-09 04:00:00,26.55,27.65,26.19,27.06,7582781
2009-09-10 04:00:00,27.12,27.63,27.1,27.62,3848296
2009-09-11 04:00:00,27.84,27.84,27.38,27.68,2989949
2009-09-14 04:00:00,27.31,27.73,27.02,27.55,3013990
2009-09-15 04:00:00,27.63,27.63,27.03,27.2,4335859
2009-09-16 04:00:00,27.26,28.28,27.25,28.21,3968708
2009-09-17 04:00:00,28.0,28.4,26.87,27.05,4343589
2009-09-18 04:00:00,27.16,27.33,26.65,26.76,2949939
2009-09-21 04:00:00,26.83,26.83,25.89,26.01,3940836
2009-09-22 04:00:00,26.22,26.8911,26.22,26.31,2542761
2009-09-23 04:00:00,26.15,26.56,25.74,25.92,3587922
2009-09-24 04:00:00,25.95,26.25,24.12,24.14,7123390
2009-09-25 04:00:00,24.22,24.25,23.55,23.66,6755110
2009-09-28 04:00:00,23.84,24.68,23.6375,24.36,3443481
2009-09-29 04:00:00,24.32,26.39,24.08,26.11,8548417
2009-09-30 04:00:00,26.22,26.22,24.83,25.16,6710018
2009-10-01 04:00:00,25.06,25.41,24.79,25.35,4042453
2009-10-02 04:00:00,25.18,25.39,24.46,24.62,3419930
2009-10-05 04:00:00,24.57,25.45,24.48,25.27,3187856
2009-10-06 04:00:00,25.42,26.04,25.33,26.0,3914782
2009-10-07 04:00:00,25.99,26.16,25.71,26.13,3534624
2009-10-08 04:00:00,26.49,27.36,26.24,27.26,4850063
2009-10-09 04:00:00,27.25,27.65,27.06,27.28,3567352
2009-10-12 04:00:00,28.01,28.43,27.88,28.41,5005908
2009-10-13 04:00:00,28.43,28.45,27.86,28.35,5149619
2009-10-14 04:00:00,28.52,29.29,28.36,29.28,4714996
2009-10-15 04:00:00,29.25,29.61,29.01,29.57,3154451
2009-10-16 04:00:00,29.18,29.66,28.92,29.6,3381363
2009-10-19 04:00:00,29.69,30.57,29.4,30.53,3114116
2009-10-20 04:00:00,29.97,30.77,29.97,30.54,3315954
2009-10-21 04:00:00,30.53,30.75,29.76,29.8,2977224
2009-10-22 04:00:00,29.81,30.83,29.55,30.61,4496444
2009-10-23 04:00:00,30.86,30.89,29.91,30.5,3872243
2009-10-26 04:00:00,29.88,30.93,29.28,29.43,4096973
2009-10-27 04:00:00,29.46,29.95,28.59,29.07,4029141
2009-10-28 04:00:00,29.17,29.93,29.03,29.22,4609687
2009-10-29 04:00:00,29.51,30.42,29.0,30.09,3879216
2009-10-30 04:00:00,29.96,30.43,28.76,28.78,3157054
2009-11-02 05:00:00,28.86,29.07,28.01,28.49,4465911
2009-11-03 05:00:00,28.21,28.86,28.16,28.71,2366618
2009-11-04 05:00:00,28.9,29.28,28.59,28.64,1670256
2009-11-05 05:00:00,28.95,29.75,28.86,29.43,2597953
2009-11-06 05:00:00,29.4,29.5,28.9104,29.32,1578782
2009-11-09 05:00:00,29.51,30.41,29.44,30.39,1503019
2009-11-10 05:00:00,30.24,30.36,29.6301,29.77,1733030
2009-11-11 05:00:00,30.15,30.35,29.85,30.34,2241428
2009-11-12 05:00:00,30.3,30.99,30.19,30.74,3395669
2009-11-13 05:00:00,30.88,31.2,30.55,31.03,3096845
2009-11-16 05:00:00,31.21,31.9,31.21,31.83,2363819
2009-11-17 05:00:00,31.59,31.88,31.59,31.83,2507333
2009-11-18 05:00:00,31.75,31.92,31.37,31.9,1767736
2009-11-19 05:00:00,31.5,31.81,31.29,31.75,2881922
2009-11-20 05:00:00,31.59,31.83,30.76,30.96,3584169
2009-11-23 05:00:00,31.27,31.42,30.28,30.93,2085014
2009-11-24 05:00:00,30.97,31.004,30.58,30.84,1796793
