Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,45.61,45.77,44.68,44.9,1509919
2009-05-14 04:00:00,44.93,45.19,44.05,44.81,1536375
2009-05-15 04:00:00,44.59,44.8,43.94,44.25,1407367
2009-05-18 04:00:00,44.62,45.0,43.98,44.42,1675972
2009-05-19 04:00:00,44.52,45.73,44.42,45.52,1674322
2009-05-20 04:00:00,45.84,46.05,44.97,44.99,1136524
2009-05-21 04:00:00,44.51,44.85,44.28,44.52,1284338
2009-05-22 04:00:00,44.51,45.08,44.27,44.6,992428
2009-05-26 04:00:00,44.61,46.74,44.5,46.6,1845700
2009-05-27 04:00:00,46.48,46.57,45.17,45.25,1299993
2009-05-28 04:00:00,45.44,46.2,45.21,45.92,1053743
2009-05-29 04:00:00,46.07,46.1,45.02,45.71,1574098
2009-06-01 04:00:00,46.14,46.92,46.14,46.66,1518067
2009-06-02 04:00:00,46.59,46.89,46.24,46.72,1532983
2009-06-03 04:00:00,46.62,46.7,45.58,46.1,1183708
2009-06-04 04:00:00,46.44,46.54,46.13,46.48,871503
2009-06-05 04:00:00,46.65,47.0,45.9,46.64,846577
2009-06-08 04:00:00,46.64,47.66,46.23,47.32,1712298
2009-06-09 04:00:00,47.57,47.9,47.06,47.19,1411799
2009-06-10 04:00:00,47.58,48.25,47.16,47.63,2111833
2009-06-11 04:00:00,46.96,48.98,46.96,48.43,1400416
2009-06-12 04:00:00,48.11,49.15,47.66,49.01,1037063
2009-06-15 04:00:00,48.52,48.85,47.77,48.61,1450336
2009-06-16 04:00:00,48.64,49.09,48.5,48.71,1495710
2009-06-17 04:00:00,48.44,48.83,47.86,48.27,1538737
2009-06-18 04:00:00,48.24,49.45,48.0,49.27,1288473
2009-06-19 04:00:00,49.71,49.86,48.58,48.89,1828507
2009-06-22 04:00:00,48.83,49.94,48.65,49.63,1832157
2009-06-23 04:00:00,49.6,49.6,48.49,48.64,1380817
2009-06-24 04:00:00,48.8,49.16,48.56,48.73,1109877
2009-06-25 04:00:00,47.91,49.72,47.91,49.46,1291293
2009-06-26 04:00:00,49.43,49.94,49.16,49.71,1334815
2009-06-29 04:00:00,49.71,50.9,49.5,50.846,1501645
2009-06-30 04:00:00,50.33,50.54,49.05,49.7,1226131
2009-07-01 04:00:00,49.79,50.6,49.6,49.74,1610754
2009-07-02 04:00:00,48.89,48.91,48.15,48.67,2238174
2009-07-06 04:00:00,48.33,49.59,48.22,49.37,1234607
2009-07-07 04:00:00,49.42,49.42,47.96,47.99,1009614
2009-07-08 04:00:00,48.29,48.41,47.43,47.91,893815
2009-07-09 04:00:00,48.09,48.22,47.38,47.77,721211
2009-07-10 04:00:00,47.43,47.74,47.08,47.51,609607
2009-07-13 04:00:00,47.45,48.29,46.84,48.18,901814
2009-07-14 04:00:00,48.19,48.4,47.71,48.39,741790
2009-07-15 04:00:00,48.73,49.0,48.31,48.93,1113389
2009-07-16 04:00:00,48.92,49.1,48.43,48.95,709417
2009-07-17 04:00:00,49.1,49.1,48.31,48.92,1104937
2009-07-20 04:00:00,49.07,49.32,48.65,49.25,1002037
2009-07-21 04:00:00,49.66,49.94,49.13,49.86,1085119
2009-07-22 04:00:00,49.92,50.05,49.45,49.67,1063706
2009-07-23 04:00:00,49.68,51.71,49.68,51.31,1904601
2009-07-24 04:00:00,50.99,52.2797,50.98,51.99,1206508
2009-07-27 04:00:00,52.02,52.68,51.83,52.49,993913
2009-07-28 04:00:00,52.26,52.37,51.5805,51.87,966790
2009-07-29 04:00:00,51.69,52.08,50.92,51.9,750077
2009-07-30 04:00:00,52.35,52.97,52.185,52.45,1233789
2009-07-31 04:00:00,51.91,52.94,50.74,52.48,1175406
