Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,11.64,11.86,11.53,11.75,1435529
2009-05-15 04:00:00,11.75,12.02,11.72,11.91,1553574
2009-05-18 04:00:00,11.96,12.05,11.79,12.02,1302323
2009-05-19 04:00:00,12.04,12.48,12.0,12.33,1755667
2009-05-20 04:00:00,12.43,12.46,11.8,11.83,2910236
2009-05-21 04:00:00,11.8,11.8,11.245,11.33,3355746
2009-05-22 04:00:00,11.33,11.38,11.14,11.27,1626067
2009-05-26 04:00:00,11.15,11.58,11.15,11.53,2522508
2009-05-27 04:00:00,11.51,11.81,11.46,11.48,1760863
2009-05-28 04:00:00,11.55,11.58,11.15,11.42,2187886
2009-05-29 04:00:00,11.41,11.66,11.31,11.56,2340850
2009-06-01 04:00:00,11.73,12.16,11.62,12.05,3438788
2009-06-02 04:00:00,12.05,12.4,12.0,12.16,2971837
2009-06-03 04:00:00,12.14,12.14,11.92,11.98,1854436
2009-06-04 04:00:00,12.04,12.49,11.97,12.43,3226666
2009-06-05 04:00:00,12.53,12.72,12.19,12.23,3007303
2009-06-08 04:00:00,12.59,12.85,12.37,12.43,2986384
2009-06-09 04:00:00,12.4,12.57,12.39,12.48,2156296
2009-06-10 04:00:00,12.52,12.93,12.41,12.918,3834866
2009-06-11 04:00:00,12.98,13.69,12.96,13.35,5068925
2009-06-12 04:00:00,13.3,13.5,13.21,13.44,2242292
2009-06-15 04:00:00,13.36,13.38,12.84,13.01,2318469
2009-06-16 04:00:00,13.1,13.1,12.88,13.0,2234675
2009-06-17 04:00:00,13.0,13.04,12.77,12.84,2084207
2009-06-18 04:00:00,12.84,13.07,12.75,13.0,2038524
2009-06-19 04:00:00,13.12,13.12,12.95,12.99,2463859
2009-06-22 04:00:00,12.83,12.97,12.57,12.68,1935827
2009-06-23 04:00:00,12.7,12.78,12.46,12.56,2564241
2009-06-24 04:00:00,12.71,12.73,12.24,12.37,2450743
2009-06-25 04:00:00,12.32,12.52,12.12,12.49,2216996
2009-06-26 04:00:00,12.49,12.58,12.19,12.32,2871838
2009-06-29 04:00:00,12.33,12.52,12.2,12.52,1885446
2009-06-30 04:00:00,12.47,12.94,12.33,12.69,3861754
2009-07-01 04:00:00,13.15,14.19,13.02,13.61,5907744
2009-07-02 04:00:00,13.56,13.56,12.86,13.43,3864102
2009-07-06 04:00:00,13.24,13.82,13.11,13.71,3449152
2009-07-07 04:00:00,13.69,13.78,13.08,13.12,2813264
2009-07-08 04:00:00,13.11,13.2,12.7,12.85,2421455
2009-07-09 04:00:00,12.93,12.97,12.42,12.67,3052034
2009-07-10 04:00:00,12.58,12.71,12.35,12.44,2255912
2009-07-13 04:00:00,12.51,12.66,12.25,12.56,2152578
2009-07-14 04:00:00,12.61,12.69,12.5,12.65,2276171
2009-07-15 04:00:00,12.8,13.09,12.7,13.08,2865000
2009-07-16 04:00:00,13.04,13.1,12.71,12.95,1807478
2009-07-17 04:00:00,12.9,13.02,12.5,12.58,2670155
2009-07-20 04:00:00,12.62,12.86,12.585,12.82,2743230
2009-07-21 04:00:00,12.89,12.92,12.6,12.81,1833008
2009-07-22 04:00:00,12.77,13.02,12.68,12.94,2091648
2009-07-23 04:00:00,12.88,13.48,12.88,13.4,2237195
2009-07-24 04:00:00,13.35,13.56,13.22,13.37,1302381
2009-07-27 04:00:00,13.34,13.44,13.11,13.41,1208776
2009-07-28 04:00:00,13.34,13.51,13.22,13.38,1686857
2009-07-29 04:00:00,13.29,13.51,13.26,13.44,1742030
2009-07-30 04:00:00,13.51,13.84,13.46,13.7,1412009
2009-07-31 04:00:00,13.69,13.79,13.45,13.67,2255328
2009-08-03 04:00:00,13.74,13.85,13.52,13.81,1959939
