Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,38.86,39.5,38.78,39.23,1815166
2009-05-15 04:00:00,39.23,39.48,38.77,38.97,1968108
2009-05-18 04:00:00,39.06,39.48,38.54,39.44,1577789
2009-05-19 04:00:00,39.17,39.8,39.17,39.26,1743459
2009-05-20 04:00:00,39.59,40.23,39.2,39.71,1992966
2009-05-21 04:00:00,39.31,39.35,38.31,38.77,1932862
2009-05-22 04:00:00,38.75,38.98,38.22,38.239,3209483
2009-05-26 04:00:00,38.2,39.1,37.61,38.71,1780930
2009-05-27 04:00:00,38.97,38.97,37.895,37.96,2439675
2009-05-28 04:00:00,38.18,38.29,37.16,37.54,2318297
2009-05-29 04:00:00,37.64,38.45,37.33,38.45,1817379
2009-06-01 04:00:00,38.98,39.35,38.76,39.11,1777465
2009-06-02 04:00:00,39.34,40.93,39.03,40.69,2456892
2009-06-03 04:00:00,40.63,41.31,40.1,41.06,3145241
2009-06-04 04:00:00,41.19,41.19,39.89,40.42,2415544
2009-06-05 04:00:00,40.56,40.87,40.0,40.52,1562640
2009-06-08 04:00:00,40.25,40.49,39.38,40.04,1798496
2009-06-09 04:00:00,40.26,40.78,40.0,40.6,1849316
2009-06-10 04:00:00,40.81,40.81,40.22,40.49,1477129
2009-06-11 04:00:00,40.46,41.25,40.31,40.59,1842231
2009-06-12 04:00:00,40.33,41.1,40.25,40.76,1568303
2009-06-15 04:00:00,40.51,40.51,39.1099,39.37,1913691
2009-06-16 04:00:00,39.4,39.94,38.75,38.76,2540850
2009-06-17 04:00:00,38.75,39.46,38.75,38.97,2166083
2009-06-18 04:00:00,39.12,40.66,39.0,40.24,2756352
2009-06-19 04:00:00,40.64,40.72,40.23,40.36,2197610
2009-06-22 04:00:00,40.06,40.61,39.54,40.07,1939141
2009-06-23 04:00:00,40.26,40.7,39.88,40.34,1548985
2009-06-24 04:00:00,40.48,40.72,39.73,40.12,2326807
2009-06-25 04:00:00,39.96,41.73,39.78,41.12,2737119
2009-06-26 04:00:00,41.07,41.29,40.71,40.9,2738671
2009-06-29 04:00:00,41.0,41.15,39.94,40.08,4320115
2009-06-30 04:00:00,40.15,40.35,39.41,39.72,2219932
2009-07-01 04:00:00,40.0,40.02,39.37,39.76,2044389
2009-07-02 04:00:00,39.43,39.65,38.65,38.84,1784134
2009-07-06 04:00:00,38.35,39.2666,38.26,38.99,1299626
2009-07-07 04:00:00,38.99,38.99,38.1,38.14,1619541
2009-07-08 04:00:00,38.35,38.35,37.51,37.77,1558576
2009-07-09 04:00:00,38.77,38.99,37.14,37.35,2095124
2009-07-10 04:00:00,37.25,37.75,37.24,37.5,1864431
