Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,22.87,23.16,22.7,22.8,2714613
2009-05-18 04:00:00,23.02,23.28,22.65,23.28,3668325
2009-05-19 04:00:00,23.36,23.42,23.2,23.37,4299199
2009-05-20 04:00:00,23.44,23.86,23.44,23.57,3189445
2009-05-21 04:00:00,23.34,23.34,22.89,23.11,2860041
2009-05-22 04:00:00,23.2,23.49,23.0203,23.28,1835798
2009-05-26 04:00:00,23.26,23.83,22.95,23.62,3514468
2009-05-27 04:00:00,23.67,24.15,23.67,23.74,3454127
2009-05-28 04:00:00,23.95,24.04,23.39,23.75,3344052
2009-05-29 04:00:00,23.85,24.0,23.56,23.98,2681992
2009-06-01 04:00:00,24.21,24.63,23.97,24.53,3390100
2009-06-02 04:00:00,24.55,24.84,24.29,24.44,4773497
2009-06-03 04:00:00,24.3,24.5,24.2,24.35,2192010
2009-06-04 04:00:00,24.23,24.38,23.99,24.14,2489450
2009-06-05 04:00:00,24.36,24.49,23.86,23.95,3308249
2009-06-08 04:00:00,23.92,23.95,23.42,23.71,4398430
2009-06-09 04:00:00,23.73,23.92,23.57,23.82,2734518
2009-06-10 04:00:00,23.9,24.11,23.28,23.47,4151697
2009-06-11 04:00:00,23.44,23.97,23.44,23.72,4178549
2009-06-12 04:00:00,23.63,23.94,23.42,23.9,2519556
2009-06-15 04:00:00,23.74,23.74,22.77,22.82,4459293
2009-06-16 04:00:00,22.94,22.99,22.6,22.82,3897848
2009-06-17 04:00:00,22.84,23.45,22.8,23.28,3632081
2009-06-18 04:00:00,23.33,23.8,23.23,23.66,2619857
2009-06-19 04:00:00,23.84,23.9,23.59,23.67,3628384
2009-06-22 04:00:00,23.53,23.66,23.34,23.42,2515810
2009-06-23 04:00:00,23.44,23.62,22.69,22.77,4872149
2009-06-24 04:00:00,22.85,23.11,22.61,22.94,3616524
2009-06-25 04:00:00,22.82,23.185,22.67,23.16,3152647
2009-06-26 04:00:00,23.12,23.16,22.69,22.98,2433550
2009-06-29 04:00:00,23.06,23.06,22.58,22.7,3022733
2009-06-30 04:00:00,22.61,22.74,22.28,22.47,2863162
2009-07-01 04:00:00,22.54,22.75,22.3,22.59,3669218
2009-07-02 04:00:00,22.39,22.55,21.83,21.85,3166596
2009-07-06 04:00:00,21.87,22.26,21.85,22.2,3305807
2009-07-07 04:00:00,22.15,22.28,21.67,21.67,3854733
2009-07-08 04:00:00,21.79,21.87,21.54,21.7,5041587
2009-07-09 04:00:00,21.84,21.951,21.59,21.8,3556591
2009-07-10 04:00:00,21.75,21.88,21.4,21.5,3280729
2009-07-13 04:00:00,21.53,22.0,21.38,21.97,2911898
2009-07-14 04:00:00,21.99,21.99,21.62,21.95,3275558
2009-07-15 04:00:00,22.12,22.88,21.98,22.85,5340144
2009-07-16 04:00:00,22.74,22.95,22.67,22.89,3692568
2009-07-17 04:00:00,22.91,22.96,22.68,22.9,4804235
2009-07-20 04:00:00,23.05,23.05,22.7,23.03,3513141
2009-07-21 04:00:00,23.15,23.2,22.78,23.0,4201604
2009-07-22 04:00:00,22.99,23.35,22.9,23.12,2831271
2009-07-23 04:00:00,23.09,23.18,22.62,22.66,6808471
2009-07-24 04:00:00,22.59,23.16,22.59,23.05,4489568
2009-07-27 04:00:00,23.06,23.36,22.9,23.32,2825694
2009-07-28 04:00:00,23.23,23.4,23.1,23.22,2722722
2009-07-29 04:00:00,23.16,23.5,23.06,23.31,2937987
