Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,25.02,25.16,24.46,24.62,32988928
2009-05-19 04:00:00,24.68,24.84,24.63,24.67,22134067
2009-05-20 04:00:00,24.89,24.9,24.09,24.11,33494684
2009-05-21 04:00:00,23.98,24.25,23.45,23.68,28098413
2009-05-22 04:00:00,23.59,23.93,23.38,23.69,21982691
2009-05-26 04:00:00,23.8,24.57,23.61,24.53,31009122
2009-05-27 04:00:00,24.44,24.75,23.97,24.07,23421460
2009-05-28 04:00:00,24.22,24.83,24.01,24.65,24821952
2009-05-29 04:00:00,24.73,24.79,24.24,24.78,20119998
2009-06-01 04:00:00,24.97,25.11,24.56,24.64,26716964
2009-06-02 04:00:00,24.71,24.98,24.57,24.83,26006681
2009-06-03 04:00:00,24.67,24.94,24.28,24.49,24429015
2009-06-04 04:00:00,24.64,24.77,24.24,24.36,29265161
2009-06-05 04:00:00,24.6,24.75,24.44,24.56,24083146
2009-06-08 04:00:00,24.22,24.57,24.03,24.38,27022577
2009-06-09 04:00:00,24.39,24.6,24.12,24.2,28248126
2009-06-10 04:00:00,24.3,24.44,24.14,24.31,23550923
2009-06-11 04:00:00,24.37,25.0,24.3,24.75,33360796
2009-06-12 04:00:00,24.65,25.05,24.59,25.03,25205604
2009-06-15 04:00:00,24.78,24.92,24.35,24.62,24865134
2009-06-16 04:00:00,24.36,24.55,24.09,24.2,26927682
2009-06-17 04:00:00,24.26,24.435,24.1,24.15,26900988
2009-06-18 04:00:00,24.13,24.36,23.98,24.13,26827489
2009-06-19 04:00:00,24.3,24.37,23.81,23.98,39266733
2009-06-22 04:00:00,23.92,24.23,23.83,24.14,29776317
2009-06-23 04:00:00,24.15,24.78,24.1,24.64,34574382
2009-06-24 04:00:00,24.79,24.98,24.52,24.67,25516279
2009-06-25 04:00:00,24.5,25.01,24.48,24.87,29431436
2009-06-26 04:00:00,24.69,24.9,24.61,24.8,15274055
2009-06-29 04:00:00,24.89,25.27,24.84,25.26,21181240
2009-06-30 04:00:00,25.18,25.18,24.65,24.83,23725460
2009-07-01 04:00:00,24.94,25.2,24.85,25.05,20074942
2009-07-02 04:00:00,24.99,24.99,24.47,24.58,25122578
2009-07-06 04:00:00,24.43,24.89,24.43,24.8,22229139
2009-07-07 04:00:00,24.86,24.86,24.25,24.32,21856466
2009-07-08 04:00:00,24.15,24.16,23.33,23.55,31272769
2009-07-09 04:00:00,23.66,23.69,23.33,23.37,24503717
2009-07-10 04:00:00,23.33,23.5,23.19,23.418,20445908
2009-07-13 04:00:00,23.53,23.83,23.26,23.77,23173262
2009-07-14 04:00:00,23.7,23.8099,23.265,23.47,25631556
2009-07-15 04:00:00,23.6,24.0,23.56,23.98,22982435
2009-07-16 04:00:00,23.9,23.98,23.65,23.722,28513446
2009-07-17 04:00:00,23.82,23.99,23.62,23.98,24561510
2009-07-20 04:00:00,24.1,24.46,24.0,24.42,22432433
2009-07-21 04:00:00,24.58,24.77,24.385,24.6,22816079
2009-07-22 04:00:00,24.7,24.99,24.52,24.85,28577512
2009-07-23 04:00:00,25.03,25.95,25.01,25.48,50913450
2009-07-24 04:00:00,25.27,25.61,25.25,25.43,24524077
2009-07-27 04:00:00,25.65,25.76,25.36,25.746,24800137
2009-07-28 04:00:00,25.62,25.8,25.39,25.5,23092341
2009-07-29 04:00:00,25.56,25.97,25.4,25.94,25112804
2009-07-30 04:00:00,26.2,26.6,26.1,26.34,29320902
2009-07-31 04:00:00,26.34,26.4,25.87,26.22,23606635
2009-08-03 04:00:00,26.8,26.9,25.88,26.2,31853089
2009-08-04 04:00:00,26.39,26.46,26.02,26.25,18439284
2009-08-05 04:00:00,26.36,26.39,25.6,25.74,24681838
2009-08-06 04:00:00,25.75,25.86,25.42,25.54,24069883
2009-08-07 04:00:00,25.77,25.85,25.59,25.6,18253232
2009-08-10 04:00:00,25.72,25.72,25.43,25.61,14331627
