Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,16.4,17.41,16.28,17.07,3595383
2009-05-15 04:00:00,17.09,17.42,16.66,16.82,4492019
2009-05-18 04:00:00,16.91,17.5,16.76,17.48,2397001
2009-05-19 04:00:00,17.61,17.91,17.13,17.71,2710830
2009-05-20 04:00:00,17.92,18.31,17.45,17.52,3517006
2009-05-21 04:00:00,17.24,17.5,16.6,16.83,3046485
2009-05-22 04:00:00,16.85,17.19,16.6,16.89,2896193
2009-05-26 04:00:00,16.75,17.68,16.69,17.56,3382394
2009-05-27 04:00:00,17.32,18.14,17.28,17.41,3018725
2009-05-28 04:00:00,17.36,17.78,16.87,17.42,2822422
2009-05-29 04:00:00,17.5,17.55,16.92,17.36,3574501
2009-06-01 04:00:00,17.73,19.06,17.69,18.88,4600246
2009-06-02 04:00:00,18.81,18.9,18.1701,18.55,2956141
2009-06-03 04:00:00,18.88,19.05,18.31,18.8,5017187
2009-06-04 04:00:00,18.85,20.41,18.85,20.38,5626843
2009-06-05 04:00:00,20.45,20.85,19.71,19.87,4473784
2009-06-08 04:00:00,19.82,20.0,19.235,19.83,2366359
2009-06-09 04:00:00,19.95,20.03,19.645,19.98,2270788
2009-06-10 04:00:00,20.0,20.24,19.29,19.87,2722295
2009-06-11 04:00:00,19.87,20.41,19.87,20.02,3684194
2009-06-12 04:00:00,19.99,19.99,19.49,19.89,1552294
2009-06-15 04:00:00,19.24,19.46,19.08,19.27,2609273
2009-06-16 04:00:00,21.17,21.77,19.92,19.96,8234622
2009-06-17 04:00:00,19.84,20.21,19.58,19.68,3589528
2009-06-18 04:00:00,19.73,20.45,19.62,20.31,4850104
2009-06-19 04:00:00,20.5,20.55,19.995,20.16,5152005
2009-06-22 04:00:00,19.64,20.04,18.97,19.09,6379568
2009-06-23 04:00:00,18.74,19.1,18.305,18.59,17612950
2009-06-24 04:00:00,18.76,18.8,18.05,18.2,13412674
2009-06-25 04:00:00,17.92,18.6,17.83,18.23,42555806
2009-06-26 04:00:00,18.07,18.56,17.87,18.38,14470336
2009-06-29 04:00:00,18.4,18.75,18.25,18.5,7682609
2009-06-30 04:00:00,18.61,18.75,18.2,18.56,8123054
2009-07-01 04:00:00,18.6,18.95,18.44,18.47,8164681
2009-07-02 04:00:00,18.39,18.52,17.74,18.0,5558158
2009-07-06 04:00:00,17.67,17.82,16.61,16.99,8365416
2009-07-07 04:00:00,17.18,17.47,16.64,16.69,6792150
2009-07-08 04:00:00,16.76,17.4,16.12,16.7,6507868
2009-07-09 04:00:00,17.01,17.21,16.62,16.75,4350637
2009-07-10 04:00:00,16.63,16.87,16.41,16.69,3194753
2009-07-13 04:00:00,16.89,17.11,16.45,17.0,3948008
2009-07-14 04:00:00,17.0,17.39,16.77,17.3,4246469
2009-07-15 04:00:00,17.44,18.8,17.4,18.75,8722781
2009-07-16 04:00:00,18.65,19.01,18.46,18.85,3728477
2009-07-17 04:00:00,18.8,18.94,18.62,18.74,2502507
2009-07-20 04:00:00,18.86,19.5,18.83,19.35,5179447
2009-07-21 04:00:00,19.55,19.82,19.11,19.34,4821224
2009-07-22 04:00:00,19.33,19.72,19.15,19.43,2890840
2009-07-23 04:00:00,19.5,20.315,19.42,20.27,3554359
2009-07-24 04:00:00,20.04,20.5,19.87,20.5,4667764
2009-07-27 04:00:00,20.5,20.71,20.0,20.68,4210212
2009-07-28 04:00:00,20.32,20.74,19.77,20.7,4112968
2009-07-29 04:00:00,21.46,21.53,20.78,21.14,5343369
2009-07-30 04:00:00,21.86,21.96,21.48,21.62,4393076
2009-07-31 04:00:00,21.66,22.0,21.27,21.44,2943630
2009-08-03 04:00:00,21.59,22.59,21.4103,22.12,4679912
2009-08-04 04:00:00,21.95,22.37,21.82,22.26,2846389
2009-08-05 04:00:00,22.13,22.59,21.89,21.97,2240477
2009-08-06 04:00:00,22.06,22.07,21.5,21.65,1790129
2009-08-07 04:00:00,22.06,22.32,21.92,22.26,2943622
2009-08-10 04:00:00,22.32,22.55,22.09,22.28,2449910
2009-08-11 04:00:00,22.02,22.43,21.95,22.28,3153547
2009-08-12 04:00:00,22.1,23.08,22.1,22.78,2116861
2009-08-13 04:00:00,22.84,23.35,22.69,23.27,3416713
2009-08-14 04:00:00,23.15,23.44,22.535,22.73,3020260
2009-08-17 04:00:00,22.3,22.33,22.02,22.29,1488799
2009-08-18 04:00:00,22.26,22.71,22.18,22.7,1345594
2009-08-19 04:00:00,22.23,23.21,22.23,23.19,2709263
2009-08-20 04:00:00,23.04,23.49,23.04,23.38,2158688
2009-08-21 04:00:00,23.46,23.74,23.33,23.55,2989910
2009-08-24 04:00:00,23.57,23.95,23.39,23.45,3270787
2009-08-25 04:00:00,23.67,23.67,23.24,23.44,1906137
2009-08-26 04:00:00,23.5,23.63,23.26,23.27,2334397
2009-08-27 04:00:00,23.37,23.39,22.665,23.28,2062606
2009-08-28 04:00:00,23.36,24.24,23.22,23.41,3072520
2009-08-31 04:00:00,23.14,23.3,22.6,22.79,1547119
2009-09-01 04:00:00,22.59,23.05,21.88,21.92,2063251
2009-09-02 04:00:00,21.84,22.2,21.54,21.58,2003652
2009-09-03 04:00:00,21.66,22.47,21.66,22.47,1687660
2009-09-04 04:00:00,22.51,23.01,22.32,22.92,2006651
2009-09-08 04:00:00,23.13,23.46,23.04,23.22,1794794
2009-09-09 04:00:00,23.16,24.0297,23.01,23.79,2699772
2009-09-10 04:00:00,23.77,24.2,23.49,23.93,2214708
2009-09-11 04:00:00,23.83,24.14,23.59,23.8,2057854
2009-09-14 04:00:00,23.63,23.66,23.18,23.58,1496940
2009-09-15 04:00:00,23.7,24.01,23.5,23.86,1710307
2009-09-16 04:00:00,24.07,24.12,23.35,23.65,4040361
2009-09-17 04:00:00,23.71,23.76,23.36,23.53,3002820
2009-09-18 04:00:00,23.54,23.88,23.37,23.76,2712113
2009-09-21 04:00:00,23.73,23.73,23.13,23.34,2375211
2009-09-22 04:00:00,23.56,24.04,23.56,23.63,1391291
2009-09-23 04:00:00,23.71,23.83,23.24,23.24,1465599
2009-09-24 04:00:00,23.31,23.44,22.389,22.55,2865352
2009-09-25 04:00:00,22.58,22.86,22.43,22.56,1883389
2009-09-28 04:00:00,22.63,23.26,22.63,23.05,1721671
2009-09-29 04:00:00,22.99,23.08,21.93,22.07,2493442
2009-09-30 04:00:00,22.34,22.39,21.5,22.26,2121418
2009-10-01 04:00:00,21.99,22.21,21.56,21.67,3732156
2009-10-02 04:00:00,21.4,21.53,20.9,21.12,3665312
2009-10-05 04:00:00,21.09,21.57,21.09,21.34,2176365
2009-10-06 04:00:00,21.58,21.85,21.52,21.64,1760453
2009-10-07 04:00:00,21.59,21.81,21.41,21.6,3467907
2009-10-08 04:00:00,21.68,21.99,21.52,21.87,2394956
2009-10-09 04:00:00,21.83,22.61,21.8,22.6,2326374
2009-10-12 04:00:00,22.63,23.08,22.45,22.59,2011375
2009-10-13 04:00:00,22.54,22.83,22.44,22.5,2751965
2009-10-14 04:00:00,23.74,24.01,23.1,23.9,3333029
2009-10-15 04:00:00,23.62,24.03,23.37,23.89,1732507
2009-10-16 04:00:00,23.71,23.91,23.45,23.65,1845863
2009-10-19 04:00:00,23.56,24.34,23.56,24.05,2734730
2009-10-20 04:00:00,24.0,24.28,23.66,23.94,2650925
2009-10-21 04:00:00,23.86,24.39,23.76,23.89,2125680
2009-10-22 04:00:00,23.67,24.04,23.13,23.87,2385950
2009-10-23 04:00:00,23.99,23.99,23.05,23.26,1613977
2009-10-26 04:00:00,22.92,23.43,22.43,22.6,2215182
2009-10-27 04:00:00,22.75,22.75,22.08,22.17,1945156
2009-10-28 04:00:00,21.98,21.98,21.28,21.41,2716798
2009-10-29 04:00:00,21.52,22.19,21.46,22.04,1916213
2009-10-30 04:00:00,22.07,22.25,21.04,21.25,3159134
2009-11-02 05:00:00,21.33,21.6,21.01,21.41,2276862
2009-11-03 05:00:00,21.36,21.82,21.03,21.66,1938006
2009-11-04 05:00:00,23.8,23.95,22.445,22.49,3660865
2009-11-05 05:00:00,22.78,23.47,22.58,23.0,2973495
2009-11-06 05:00:00,22.82,23.32,22.71,22.76,2250147
2009-11-09 05:00:00,23.05,23.26,22.73,22.94,2611578
2009-11-10 05:00:00,22.68,23.45,22.68,22.95,3734569
2009-11-11 05:00:00,23.07,23.86,23.07,23.59,2789355
2009-11-12 05:00:00,23.71,23.98,23.58,23.67,2147869
2009-11-13 05:00:00,23.63,24.13,23.63,24.09,2541515
2009-11-16 05:00:00,24.34,24.96,24.13,24.35,2677208
2009-11-17 05:00:00,24.26,24.65,23.78,24.6,2875207
2009-11-18 05:00:00,24.5,24.64,24.02,24.36,2196660
2009-11-19 05:00:00,24.1,24.23,23.69,24.0,1538239
2009-11-20 05:00:00,23.73,24.0975,23.69,23.85,1590603
2009-11-23 05:00:00,24.0,24.55,23.9,24.01,1998977
2009-11-24 05:00:00,24.0,24.16,23.48,23.65,1695416
2009-11-25 05:00:00,23.66,23.79,23.51,23.76,1660361
2009-11-27 05:00:00,23.24,23.59,23.0,23.46,483339
2009-11-30 05:00:00,23.45,23.455,22.85,23.24,2054538
2009-12-01 05:00:00,23.48,23.82,23.35,23.72,3907168
2009-12-02 05:00:00,23.74,23.93,23.62,23.76,2310936
2009-12-03 05:00:00,23.77,23.99,23.62,23.65,1706853
2009-12-04 05:00:00,23.99,24.09,23.35,23.8,2980710
2009-12-07 05:00:00,23.64,24.06,23.62,23.84,1949215
2009-12-08 05:00:00,23.48,23.675,22.51,23.05,2454706
2009-12-09 05:00:00,23.06,23.74,22.99,23.7,3101510
2009-12-10 05:00:00,23.75,23.95,23.49,23.5,2005787
2009-12-11 05:00:00,23.51,24.09,23.51,23.92,3159413
2009-12-14 05:00:00,24.01,24.19,23.77,23.85,2099329
2009-12-15 05:00:00,23.82,23.95,23.64,23.7,1780960
2009-12-16 05:00:00,23.85,23.93,23.5,23.51,2140201
2009-12-17 05:00:00,23.5,23.56,23.02,23.08,1964060
2009-12-18 05:00:00,23.28,23.63,23.19,23.26,2739404
2009-12-21 05:00:00,23.45,23.83,23.45,23.72,1467786
2009-12-22 05:00:00,23.69,23.87,23.57,23.77,1805550
2009-12-23 05:00:00,23.8,23.98,23.7,23.95,1674229
2009-12-24 05:00:00,23.94,24.2,23.85,24.13,576356
2009-12-28 05:00:00,24.15,24.37,23.99,24.08,1198095
2009-12-29 05:00:00,24.1,24.1,23.96,24.0,1574526
2009-12-30 05:00:00,23.96,24.67,23.82,24.54,1151373
2009-12-31 05:00:00,24.62,24.96,24.43,24.5,1509340
2010-01-04 05:00:00,24.82,25.03,24.58,25.01,1747622
2010-01-05 05:00:00,24.96,25.01,24.5,24.63,1702546
2010-01-06 05:00:00,24.66,25.36,24.51,25.13,2160386
2010-01-07 05:00:00,25.06,25.16,24.625,24.66,1698359
2010-01-08 05:00:00,24.66,25.05,24.64,25.02,1073998
2010-01-11 05:00:00,25.03,25.03,24.52,24.79,1121771
2010-01-12 05:00:00,24.54,24.91,24.4,24.78,1459743
2010-01-13 05:00:00,24.77,25.76,24.545,25.52,2516362
2010-01-14 05:00:00,25.51,25.72,25.38,25.64,1994218
2010-01-15 05:00:00,25.65,25.65,25.02,25.22,1579778
2010-01-19 05:00:00,25.13,25.46,25.07,25.46,1143650
2010-01-20 05:00:00,25.25,25.62,25.08,25.54,1778186
2010-01-21 05:00:00,25.61,26.2375,25.48,25.78,2364012
2010-01-22 05:00:00,25.61,25.72,24.96,24.99,2603275
2010-01-25 05:00:00,25.31,25.49,25.05,25.11,2029774
2010-01-26 05:00:00,25.1,25.48,24.51,25.36,3323455
2010-01-27 05:00:00,26.1,26.35,24.89,25.74,5235342
2010-01-28 05:00:00,26.08,26.36,24.97,25.28,2280471
2010-01-29 05:00:00,25.36,25.38,24.76,24.87,4070378
2010-02-01 05:00:00,25.11,25.61,24.99,25.55,2276870
2010-02-02 05:00:00,25.66,26.14,25.58,25.68,3769478
2010-02-03 05:00:00,25.61,25.765,25.29,25.45,2706789
2010-02-04 05:00:00,25.2,25.29,24.73,24.76,3962590
2010-02-05 05:00:00,24.88,24.95,24.18,24.56,3468388
2010-02-08 05:00:00,24.66,24.98,24.13,24.67,3093383
2010-02-09 05:00:00,24.94,25.13,24.86,24.9,4397440
2010-02-10 05:00:00,24.98,25.1,24.59,24.71,3129929
2010-02-11 05:00:00,24.53,25.19,24.29,25.15,3414373
2010-02-12 05:00:00,24.84,25.3,24.52,25.3,2087923
2010-02-16 05:00:00,25.36,25.89,25.36,25.82,1876088
2010-02-17 05:00:00,25.92,26.29,25.7,26.23,1591173
2010-02-18 05:00:00,26.12,26.36,25.96,26.18,2489885
2010-02-19 05:00:00,26.02,26.73,26.01,26.4,2038100
2010-02-22 05:00:00,26.4,26.52,26.15,26.17,1554021
2010-02-23 05:00:00,26.15,26.2,25.54,25.66,1544618
2010-02-24 05:00:00,25.74,26.38,25.62,26.34,1932000
2010-02-25 05:00:00,25.94,25.987,25.56,25.75,2196258
2010-02-26 05:00:00,25.65,25.81,25.16,25.64,1724389
2010-03-01 05:00:00,25.69,26.54,25.59,26.41,2179758
2010-03-02 05:00:00,26.49,26.6,25.8,25.83,2643541
2010-03-03 05:00:00,25.8,26.23,25.71,25.87,2637811
2010-03-04 05:00:00,25.86,26.29,25.6,25.84,2212269
2010-03-05 05:00:00,25.77,25.93,25.67,25.8,2559267
2010-03-08 05:00:00,25.8,26.06,25.8,25.89,2557704
2010-03-09 05:00:00,25.65,26.05,25.64,25.78,2001681
2010-03-10 05:00:00,25.88,27.37,25.74,26.77,3354510
2010-03-11 05:00:00,26.82,26.83,26.3,26.57,1825189
2010-03-12 05:00:00,26.52,26.71,26.26,26.63,1812211
2010-03-15 04:00:00,26.57,26.86,26.25,26.51,1243852
2010-03-16 04:00:00,26.75,26.82,26.34,26.72,1680120
2010-03-17 04:00:00,26.82,27.51,26.82,27.38,2036459
2010-03-18 04:00:00,27.38,27.45,26.94,27.25,2110695
2010-03-19 04:00:00,27.19,27.56,27.16,27.48,3393406
2010-03-22 04:00:00,27.25,27.67,26.94,27.65,2963175
2010-03-23 04:00:00,27.69,28.275,27.62,28.24,1789843
2010-03-24 04:00:00,28.1,28.27,27.94,28.2,2442689
2010-03-25 04:00:00,28.35,28.44,27.88,27.89,3009026
2010-03-26 04:00:00,27.99,28.17,27.435,27.67,1445589
2010-03-29 04:00:00,27.71,28.23,27.61,27.73,1555805
2010-03-30 04:00:00,27.92,28.09,27.58,27.8625,1455425
2010-03-31 04:00:00,27.88,28.03,27.38,27.48,1825576
2010-04-01 04:00:00,27.55,28.14,27.31,27.59,1128491
2010-04-05 04:00:00,27.62,28.1,27.55,28.07,1439821
2010-04-06 04:00:00,27.79,28.28,27.73,28.27,1065068
2010-04-07 04:00:00,28.22,28.72,28.13,28.5,1992270
2010-04-08 04:00:00,28.36,28.66,28.03,28.6325,1880376
2010-04-09 04:00:00,28.78,29.14,28.73,29.04,2272025
2010-04-12 04:00:00,29.13,29.19,28.77,28.81,1266826
2010-04-13 04:00:00,28.75,28.75,28.11,28.43,2182631
2010-04-14 04:00:00,28.57,29.19,28.51,29.17,1698848
2010-04-15 04:00:00,29.04,29.16,28.89,29.05,1380328
2010-04-16 04:00:00,28.85,28.92,28.39,28.5,1525683
2010-04-19 04:00:00,28.41,28.41,27.825,28.32,2165900
2010-04-20 04:00:00,28.5,29.8,28.5,29.36,2882042
2010-04-21 04:00:00,29.36,29.51,28.78,28.9,1522304
2010-04-22 04:00:00,28.89,29.09,28.29,28.98,2007937
2010-04-23 04:00:00,29.13,29.56,29.07,29.56,1866217
2010-04-26 04:00:00,29.69,30.26,29.45,30.1,2867896
2010-04-27 04:00:00,29.88,30.15,29.06,29.19,3082196
2010-04-28 04:00:00,29.98,31.88,29.73,30.71,8555910
2010-04-29 04:00:00,31.31,32.31,31.14,32.3025,5937923
2010-04-30 04:00:00,32.41,32.59,31.745,32.11,3434747
2010-05-03 04:00:00,32.21,32.98,32.21,32.87,3789655
2010-05-04 04:00:00,32.31,32.31,31.31,31.59,4098425
2010-05-05 04:00:00,31.21,31.22,30.49,30.56,4354347
2010-05-06 04:00:00,30.39,30.66,26.95,29.005,4562162
2010-05-07 04:00:00,29.1,29.37,27.7,27.99,5252138
2010-05-10 04:00:00,29.31,30.21,29.31,29.56,3358742
2010-05-11 04:00:00,29.16,30.78,29.16,30.35,2898758
2010-05-12 04:00:00,30.69,31.8,30.57,31.8,3142795
2010-05-13 04:00:00,31.69,31.7,30.25,30.45,3860087
2010-05-14 04:00:00,30.04,30.27,28.47,29.0,3816814
2010-05-17 04:00:00,28.93,29.46,28.36,29.28,3390404
2010-05-18 04:00:00,29.3,29.53,27.79,28.0,3840089
2010-05-19 04:00:00,27.78,28.44,27.47,28.25,5900685
2010-05-20 04:00:00,27.54,27.86,26.91,27.4,5534647
2010-05-21 04:00:00,26.78,28.0,26.7,27.89,3234912
2010-05-24 04:00:00,27.75,28.53,27.54,28.16,3420797
2010-05-25 04:00:00,27.05,28.05,26.87,28.03,4050709
