Date,Open,High,Low,Close,Volume
2019-12-09 05:00:00,54.96,54.96,54.26,54.71,2709647
2019-12-10 05:00:00,54.38,55.26,54.27,55.13,4461946
2019-12-11 05:00:00,55.12,55.26,53.67,53.67,5469362
2019-12-12 05:00:00,53.97,56.19,53.84,56.08,6442834
2019-12-13 05:00:00,56.11,56.66,55.64,56.01,5919066
2019-12-16 05:00:00,56.53,56.75,56.11,56.23,4479827
2019-12-17 05:00:00,56.28,56.77,56.03,56.65,4363701
2019-12-18 05:00:00,56.8,56.92,56.24,56.32,4527520
2019-12-19 05:00:00,56.38,56.52,55.85,56.1,3267487
2019-12-20 05:00:00,54.29,56.6,54.29,56.28,7747299
2019-12-23 05:00:00,56.56,56.575,56.1,56.2,2825612
2019-12-24 05:00:00,56.3,56.35,56.04,56.22,1130299
2019-12-26 05:00:00,56.28,56.74,56.19,56.72,1601545
2019-12-27 05:00:00,56.77,56.81,56.34,56.48,2282219
2019-12-30 05:00:00,56.7,56.84,56.32,56.43,2433718
2019-12-31 05:00:00,56.44,56.585,56.07,56.3,2598960
2020-01-02 05:00:00,56.41,56.68,55.88,56.68,2885742
2020-01-03 05:00:00,56.15,56.2954,55.66,56.16,3121355
2020-01-06 05:00:00,55.49,55.8,55.15,55.72,3563552
2020-01-07 05:00:00,55.67,55.67,55.085,55.49,3391920
2020-01-08 05:00:00,55.42,55.82,55.31,55.62,4550148
2020-01-09 05:00:00,55.91,56.22,55.71,56.17,3762168
2020-01-10 05:00:00,56.38,56.5,55.73,56.01,4284766
2020-01-13 05:00:00,55.8,56.23,55.6875,56.21,4989547
2020-01-14 05:00:00,56.18,56.485,55.91,56.35,3716216
2020-01-15 05:00:00,55.91,56.12,54.9,55.13,4752137
2020-01-16 05:00:00,55.19,55.87,55.19,55.87,3686247
2020-01-17 05:00:00,56.3,56.38,55.85,56.27,4350561
2020-01-21 05:00:00,56.05,56.53,55.84,56.29,8894972
2020-01-22 05:00:00,56.5,56.5,56.125,56.35,5840903
2020-01-23 05:00:00,55.99,56.39,55.235,56.35,6872179
2020-01-24 05:00:00,56.3,56.35,55.015,55.5,9177833
