Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,16.85,17.6,16.49,17.57,2086332
2009-05-19 04:00:00,17.6,17.86,17.22,17.65,3132155
2009-05-20 04:00:00,17.89,18.0,17.18,17.22,2212510
2009-05-21 04:00:00,17.19,17.19,16.57,16.69,2709760
2009-05-22 04:00:00,16.85,16.98,16.6,16.74,2239723
2009-05-26 04:00:00,16.67,17.2,16.6,16.95,2234873
2009-05-27 04:00:00,17.07,17.19,16.6,16.99,2815426
2009-05-28 04:00:00,17.09,17.27,16.75,17.1,3292427
2009-05-29 04:00:00,17.4,17.4,16.88,17.13,1769064
2009-06-01 04:00:00,17.24,17.56,17.07,17.24,2021971
2009-06-02 04:00:00,17.02,17.08,16.2,16.43,4635356
2009-06-03 04:00:00,16.26,16.39,15.2,15.34,3953236
2009-06-04 04:00:00,15.51,15.67,14.7675,15.02,4303238
2009-06-05 04:00:00,15.12,15.31,13.99,14.16,6741851
2009-06-08 04:00:00,14.16,14.5,13.29,14.33,5538048
2009-06-09 04:00:00,14.4,15.22,14.27,15.02,5600477
2009-06-10 04:00:00,15.24,15.24,14.22,14.69,4797116
2009-06-11 04:00:00,14.62,14.95,14.3475,14.37,2578231
2009-06-12 04:00:00,14.3,14.86,14.3,14.81,2121612
2009-06-15 04:00:00,14.75,14.75,14.33,14.55,1948895
2009-06-16 04:00:00,14.45,14.62,13.88,13.98,3382319
2009-06-17 04:00:00,13.92,14.2,13.73,13.94,2180883
2009-06-18 04:00:00,13.91,14.16,13.75,13.83,2613618
2009-06-19 04:00:00,14.07,14.07,13.74,13.82,2413044
2009-06-22 04:00:00,13.64,13.84,13.35,13.62,2441718
2009-06-23 04:00:00,14.85,15.25,14.0,14.37,14803845
2009-06-24 04:00:00,14.42,14.74,14.22,14.61,5326590
2009-06-25 04:00:00,14.38,14.75,14.38,14.67,4749796
2009-06-26 04:00:00,14.64,14.79,14.51,14.65,4210904
2009-06-29 04:00:00,14.84,15.08,14.35,14.43,26757702
2009-06-30 04:00:00,14.17,14.25,13.22,13.32,17994018
2009-07-01 04:00:00,13.36,13.49,12.35,12.63,20266628
2009-07-02 04:00:00,12.52,12.64,12.0,12.04,7675975
2009-07-06 04:00:00,12.16,12.16,11.59,11.79,7435971
2009-07-07 04:00:00,11.73,12.61,11.73,12.18,9334553
2009-07-08 04:00:00,12.21,12.72,12.09,12.6,12444897
2009-07-09 04:00:00,12.55,12.9,12.16,12.73,9268538
2009-07-10 04:00:00,12.59,12.68,12.3,12.57,5240582
2009-07-13 04:00:00,12.82,12.88,12.21,12.57,5454473
2009-07-14 04:00:00,12.54,13.08,12.42,13.0,6426697
2009-07-15 04:00:00,13.21,13.31,12.96,13.08,6567960
2009-07-16 04:00:00,13.07,13.07,12.61,12.88,5021410
2009-07-17 04:00:00,12.87,13.0,12.56,12.7,3160646
