Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,37.78,40.12,37.69,40.12,2903180
2009-05-19 04:00:00,39.43,40.07,38.77,38.91,2581048
2009-05-20 04:00:00,39.53,40.13,37.9,38.14,3070995
2009-05-21 04:00:00,37.37,38.08,36.97,37.69,3963454
2009-05-22 04:00:00,37.77,38.94,37.27,38.15,2231158
2009-05-26 04:00:00,37.9,40.0,37.69,39.91,3216950
2009-05-27 04:00:00,39.82,39.91,37.51,37.68,2784351
2009-05-28 04:00:00,37.7,39.74,37.7,39.53,3033265
2009-05-29 04:00:00,39.48,40.69,38.96,40.56,2274382
2009-06-01 04:00:00,41.4,42.75,41.0,41.37,3388030
2009-06-02 04:00:00,41.99,42.53,41.02,41.94,4037807
2009-06-03 04:00:00,42.25,43.12,41.54,42.59,4314160
2009-06-04 04:00:00,42.06,42.86,41.83,42.73,3254348
2009-06-05 04:00:00,43.24,43.29,41.64,42.07,3098131
2009-06-08 04:00:00,42.55,42.91,41.25,42.54,2343819
2009-06-09 04:00:00,43.15,44.77,42.8,44.68,3706459
2009-06-10 04:00:00,44.68,44.9,42.69,43.97,2863747
2009-06-11 04:00:00,43.72,44.35,43.31,43.38,2212464
2009-06-12 04:00:00,43.02,43.25,42.37,43.16,1831282
2009-06-15 04:00:00,42.4,42.67,41.81,41.96,2869052
2009-06-16 04:00:00,40.95,42.15,40.77,41.2,2245618
2009-06-17 04:00:00,41.02,41.75,40.5,40.83,2774523
2009-06-18 04:00:00,41.35,41.73,40.6,41.32,1851104
2009-06-19 04:00:00,41.66,42.32,41.33,42.27,2639448
2009-06-22 04:00:00,42.17,42.27,39.0,39.13,3131682
2009-06-23 04:00:00,39.1201,41.4,39.12,40.53,4965089
2009-06-24 04:00:00,40.94,41.77,40.41,40.94,3208688
2009-06-25 04:00:00,40.82,41.89,40.29,41.68,2862732
2009-06-26 04:00:00,41.4,42.16,41.055,41.84,1770618
2009-06-29 04:00:00,41.87,42.08,41.38,41.86,1683585
2009-06-30 04:00:00,41.51,41.99,41.17,41.68,2333587
2009-07-01 04:00:00,41.97,42.35,41.13,41.3,2201740
2009-07-02 04:00:00,40.81,40.83,39.4,39.5,2497647
2009-07-06 04:00:00,40.37,40.5,38.9,39.91,2807102
2009-07-07 04:00:00,39.89,39.99,38.0,38.15,2674070
2009-07-08 04:00:00,38.34,38.82,36.67,37.31,4695571
2009-07-09 04:00:00,37.88,38.34,37.42,37.58,2641838
2009-07-10 04:00:00,37.46,38.16,37.0,37.52,2778274
2009-07-13 04:00:00,37.78,39.82,37.48,39.6,2948972
2009-07-14 04:00:00,39.81,40.65,39.18,40.51,2740163
2009-07-15 04:00:00,40.96,42.17,40.75,41.85,3492205
2009-07-16 04:00:00,42.03,42.03,40.63,41.58,2158608
2009-07-17 04:00:00,41.88,42.09,40.89,41.61,2205316
2009-07-20 04:00:00,41.98,43.3,41.93,43.14,2254495
2009-07-21 04:00:00,43.59,43.8,42.735,43.27,1985983
2009-07-22 04:00:00,43.18,44.07,42.36,43.69,2145249
2009-07-23 04:00:00,43.53,46.5,43.05,46.28,3474020
2009-07-24 04:00:00,46.25,46.75,44.2,45.45,2881185
2009-07-27 04:00:00,45.97,46.5,45.23,46.42,1894004
2009-07-28 04:00:00,46.38,46.65,45.45,45.99,2090361
2009-07-29 04:00:00,45.17,46.48,45.17,46.24,1722196
2009-07-30 04:00:00,46.75,48.47,45.97,46.84,3089304
2009-07-31 04:00:00,46.81,47.07,46.37,46.72,2184195
2009-08-03 04:00:00,47.47,48.1,46.67,47.14,1806501
2009-08-04 04:00:00,47.19,48.0099,46.49,47.48,1982632
