Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,38.1,39.72,37.96,38.92,7482419
2009-05-14 04:00:00,38.81,40.0,38.25,39.91,5820084
2009-05-15 04:00:00,39.94,40.04,38.89,39.81,6355891
2009-05-18 04:00:00,40.12,40.78,39.03,40.6,6377969
2009-05-19 04:00:00,40.25,40.35,39.21,39.4,5912439
2009-05-20 04:00:00,39.85,40.03,38.83,39.02,5752010
2009-05-21 04:00:00,38.39,39.72,38.26,39.71,4851730
2009-05-22 04:00:00,39.93,40.76,39.38,40.24,4148738
2009-05-26 04:00:00,39.98,41.41,39.63,41.36,5470037
2009-05-27 04:00:00,41.36,41.36,38.95,39.0,6938723
2009-05-28 04:00:00,39.33,39.71,38.54,39.35,4289941
2009-05-29 04:00:00,39.3,40.68,38.86,40.67,5149523
2009-06-01 04:00:00,41.84,42.6,41.31,41.95,8214797
2009-06-02 04:00:00,42.28,43.65,42.11,43.06,6863694
2009-06-03 04:00:00,43.0,43.43,42.25,42.72,5774278
2009-06-04 04:00:00,42.87,43.71,42.23,43.45,6162989
2009-06-05 04:00:00,44.13,45.11,42.47,44.44,16451147
2009-06-08 04:00:00,42.69,44.05,42.5,43.82,7109145
2009-06-09 04:00:00,43.92,44.23,43.46,43.95,4187403
2009-06-10 04:00:00,44.18,44.25,43.06,43.75,4441556
2009-06-11 04:00:00,43.82,44.34,43.48,43.55,4333461
2009-06-12 04:00:00,43.39,43.61,42.85,43.2,3463765
2009-06-15 04:00:00,43.0,43.18,42.18,42.61,3823382
2009-06-16 04:00:00,42.48,42.97,42.12,42.35,3933420
2009-06-17 04:00:00,42.24,43.35,42.23,42.53,4316510
2009-06-18 04:00:00,42.37,42.88,42.07,42.45,3710654
2009-06-19 04:00:00,42.96,43.05,41.89,42.01,5926781
2009-06-22 04:00:00,41.75,42.4,41.01,41.09,4679107
2009-06-23 04:00:00,41.06,41.65,40.51,41.0,3790738
2009-06-24 04:00:00,41.28,41.34,40.46,40.72,4239284
2009-06-25 04:00:00,40.61,41.24,40.06,40.98,4334751
2009-06-26 04:00:00,40.75,41.02,40.31,40.78,3676231
2009-06-29 04:00:00,41.05,41.34,40.73,41.03,5161127
2009-06-30 04:00:00,40.93,41.27,40.32,41.11,4651151
2009-07-01 04:00:00,41.19,41.49,40.83,41.13,4290756
2009-07-02 04:00:00,40.4,40.66,39.25,39.33,5688531
2009-07-06 04:00:00,39.19,39.93,39.01,39.91,4647513
2009-07-07 04:00:00,39.95,39.99,38.86,38.97,4619029
2009-07-08 04:00:00,39.13,39.44,38.25,39.05,5564020
