Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,17.78,17.93,17.52,17.89,11256740
2009-05-19 04:00:00,17.79,18.31,17.615,18.06,14409523
2009-05-20 04:00:00,18.54,18.9,18.32,18.4,19846695
2009-05-21 04:00:00,18.2,18.34,17.53,17.97,14245444
2009-05-22 04:00:00,18.0,18.76,17.96,18.51,17429490
2009-05-26 04:00:00,18.35,19.0,18.22,19.0,19151155
2009-05-27 04:00:00,18.3,19.5,18.3,18.98,16571907
2009-05-28 04:00:00,19.04,19.3,18.59,19.26,13193866
2009-05-29 04:00:00,19.33,19.5,18.87,19.41,16071215
2009-06-01 04:00:00,19.52,20.55,19.5,20.38,21042789
2009-06-02 04:00:00,20.16,20.51,19.87,20.1,15638608
2009-06-03 04:00:00,19.65,20.07,19.57,20.07,14766366
2009-06-04 04:00:00,20.11,20.4,19.75,20.06,15473641
2009-06-05 04:00:00,20.21,20.43,19.55,19.69,20237191
2009-06-08 04:00:00,19.72,19.99,19.43,19.78,12810188
2009-06-09 04:00:00,21.16,21.27,20.58,21.02,43179045
2009-06-10 04:00:00,21.13,21.2,20.5,20.96,20647708
2009-06-11 04:00:00,20.91,21.3,20.7,20.82,17310740
2009-06-12 04:00:00,20.74,20.8105,20.2,20.77,15379782
2009-06-15 04:00:00,20.69,21.23,20.55,21.13,21676991
2009-06-16 04:00:00,21.27,21.27,20.67,20.72,16321303
2009-06-17 04:00:00,21.1,21.72,20.83,21.42,30793790
2009-06-18 04:00:00,21.4,21.52,21.075,21.32,19973455
2009-06-19 04:00:00,21.55,21.74,21.15,21.63,18638048
2009-06-22 04:00:00,21.43,21.85,20.85,20.96,16348823
2009-06-23 04:00:00,20.8,21.05,20.51,20.57,30242117
2009-06-24 04:00:00,20.78,21.29,20.7,21.01,18194938
2009-06-25 04:00:00,20.96,21.44,20.89,21.32,15139649
2009-06-26 04:00:00,21.15,21.7583,21.14,21.41,12587147
2009-06-29 04:00:00,21.38,21.65,21.21,21.31,17134919
2009-06-30 04:00:00,21.33,21.73,20.2,21.3,14559448
2009-07-01 04:00:00,21.37,21.9,21.37,21.61,12554619
2009-07-02 04:00:00,21.33,21.52,21.22,21.38,10770622
2009-07-06 04:00:00,21.24,21.56,20.99,21.41,11860466
2009-07-07 04:00:00,21.29,21.73,20.66,20.75,14000816
2009-07-08 04:00:00,20.76,20.83,20.11,20.38,20198887
2009-07-09 04:00:00,20.49,20.86,20.39,20.42,17286170
2009-07-10 04:00:00,20.34,20.8,20.34,20.45,12092879
2009-07-13 04:00:00,20.57,20.9,20.18,20.86,14488449
2009-07-14 04:00:00,20.93,21.17,20.77,21.1,12032862
2009-07-15 04:00:00,21.62,21.94,21.51,21.89,14297065
2009-07-16 04:00:00,21.65,22.45,21.65,22.34,19688937
2009-07-17 04:00:00,22.43,23.06,22.1,23.04,22171734
2009-07-20 04:00:00,23.18,23.63,22.97,23.6,31993740
2009-07-21 04:00:00,23.16,23.28,22.51,23.06,31066063
2009-07-22 04:00:00,23.09,23.5,22.88,23.3,13934904
2009-07-23 04:00:00,23.27,23.93,22.99,23.83,17397460
