Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,27.69,27.83,26.6,27.81,10345107
2009-05-19 04:00:00,27.71,28.205,27.25,27.43,6615010
2009-05-20 04:00:00,27.68,28.38,27.13,27.78,9159031
2009-05-21 04:00:00,27.36,28.47,26.64,26.93,8529673
2009-05-22 04:00:00,26.95,27.34,26.13,26.3,6346360
2009-05-26 04:00:00,26.21,27.41,25.86,27.2,9887444
2009-05-27 04:00:00,26.95,27.85,26.91,27.47,7234479
2009-05-28 04:00:00,27.37,28.37,27.07,27.22,8864841
2009-05-29 04:00:00,27.27,27.38,26.0,26.63,10301603
2009-06-01 04:00:00,26.9,27.66,26.66,27.51,7853786
2009-06-02 04:00:00,27.72,28.43,27.12,28.06,8673510
2009-06-03 04:00:00,27.29,27.84,26.6,27.52,11368524
2009-06-04 04:00:00,27.73,27.93,27.02,27.28,6108672
2009-06-05 04:00:00,27.63,27.75,26.31,27.12,8252105
2009-06-08 04:00:00,26.99,27.0,25.655,26.06,10135861
2009-06-09 04:00:00,26.38,26.47,25.36,25.96,11631164
2009-06-10 04:00:00,26.02,26.28,25.42,25.73,9019307
2009-06-11 04:00:00,23.75,24.33,23.23,24.02,29122475
2009-06-12 04:00:00,23.8,24.43,23.48,24.21,14372273
2009-06-15 04:00:00,23.97,24.16,23.43,23.55,12479722
2009-06-16 04:00:00,23.65,24.89,23.27,24.0,13382733
2009-06-17 04:00:00,24.03,24.65,23.83,23.99,11652365
2009-06-18 04:00:00,24.08,25.68,23.97,25.43,15816138
2009-06-19 04:00:00,25.93,26.48,25.02,25.4,18884853
2009-06-22 04:00:00,25.09,25.18,24.47,24.53,8716823
2009-06-23 04:00:00,24.49,25.37,24.19,24.51,8317410
2009-06-24 04:00:00,24.6,25.34,24.36,24.8,8497560
2009-06-25 04:00:00,24.64,25.91,24.55,24.99,13926193
2009-06-26 04:00:00,24.93,25.24,24.55,24.77,8799604
2009-06-29 04:00:00,24.8,25.24,24.49,25.15,7420975
2009-06-30 04:00:00,25.01,25.45,24.63,24.99,8564325
2009-07-01 04:00:00,25.09,25.48,24.65,25.15,6543251
2009-07-02 04:00:00,24.93,25.11,23.9,23.92,9971450
2009-07-06 04:00:00,23.91,24.28,23.69,24.06,7014210
2009-07-07 04:00:00,24.05,26.31,24.0,25.17,18682064
2009-07-08 04:00:00,25.27,25.36,23.91,24.64,11296893
2009-07-09 04:00:00,24.88,25.6,24.22,24.88,8689519
2009-07-10 04:00:00,24.9,25.4,24.394,24.65,5306769
2009-07-13 04:00:00,24.72,25.12,24.27,25.03,5232423
2009-07-14 04:00:00,25.33,25.73,24.61,24.77,9014308
2009-07-15 04:00:00,25.02,25.09,24.15,24.91,11404866
2009-07-16 04:00:00,24.8,25.55,24.32,25.25,11216361
2009-07-17 04:00:00,25.35,25.5,24.79,25.07,8728427
2009-07-20 04:00:00,25.25,25.25,24.36,24.8,7503105
2009-07-21 04:00:00,25.48,25.87,24.95,25.59,12018945
2009-07-22 04:00:00,25.61,26.6,25.37,26.0,10966157
2009-07-23 04:00:00,26.25,27.34,26.04,27.04,9277394
2009-07-24 04:00:00,27.23,27.53,26.0,27.33,7529306
2009-07-27 04:00:00,27.09,28.2,27.04,27.59,6559732
2009-07-28 04:00:00,27.78,29.71,27.46,29.08,16225098
2009-07-29 04:00:00,28.53,29.6,28.2,28.44,15759088
2009-07-30 04:00:00,28.84,29.01,27.75,28.08,13068851
2009-07-31 04:00:00,28.08,28.36,27.74,28.02,7477877
2009-08-03 04:00:00,28.34,28.4,27.07,27.33,11673873
2009-08-04 04:00:00,27.19,27.48,26.5,26.93,8116115
2009-08-05 04:00:00,26.88,26.89,26.041,26.16,7263347
2009-08-06 04:00:00,26.27,26.45,25.42,25.96,10135134
2009-08-07 04:00:00,26.08,26.65,25.99,26.48,8185772
2009-08-10 04:00:00,26.47,27.14,26.18,27.08,7292247
2009-08-11 04:00:00,27.06,27.96,26.8,27.81,11002197
2009-08-12 04:00:00,27.76,28.12,27.5,27.79,6464722
2009-08-13 04:00:00,27.64,28.42,27.19,28.35,7470109
2009-08-14 04:00:00,28.08,28.49,27.61,28.04,6070751
2009-08-17 04:00:00,27.72,29.67,27.72,28.48,13927409
2009-08-18 04:00:00,28.41,28.48,27.8,28.16,7529675
2009-08-19 04:00:00,27.75,28.29,27.61,28.17,6936954
2009-08-20 04:00:00,28.06,28.94,28.02,28.36,8055385
2009-08-21 04:00:00,28.71,29.05,28.27,28.93,7645921
2009-08-24 04:00:00,29.09,29.72,28.55,29.72,10197861
2009-08-25 04:00:00,29.77,30.0,29.18,29.92,9670851
2009-08-26 04:00:00,29.83,29.84,28.81,28.93,9344554
2009-08-27 04:00:00,28.82,29.21,28.52,28.92,7048741
2009-08-28 04:00:00,29.1,29.13,27.98,28.19,8368818
2009-08-31 04:00:00,27.97,28.79,27.7,28.0,6171494
2009-09-01 04:00:00,27.94,28.47,27.27,27.35,9592350
2009-09-02 04:00:00,27.37,29.13,27.36,28.64,12929376
2009-09-03 04:00:00,28.94,29.1,28.03,28.87,9714416
2009-09-04 04:00:00,28.8,29.25,28.55,28.85,5377799
2009-09-08 04:00:00,28.99,29.0,27.59,27.81,12801162
2009-09-09 04:00:00,28.02,28.44,27.7,28.392,10656927
2009-09-10 04:00:00,28.15,29.18,28.05,29.11,8598962
2009-09-11 04:00:00,29.12,29.41,28.77,29.06,4975636
2009-09-14 04:00:00,28.85,29.17,28.43,28.73,6705870
2009-09-15 04:00:00,28.82,28.83,27.66,27.71,12699986
2009-09-16 04:00:00,27.95,29.34,27.81,29.34,12304199
2009-09-17 04:00:00,29.45,29.88,29.13,29.36,10684243
2009-09-18 04:00:00,28.89,29.26,28.41,28.52,11537005
2009-09-21 04:00:00,28.45,28.94,28.22,28.62,7683412
2009-09-22 04:00:00,28.72,28.78,27.51,27.6,12203903
2009-09-23 04:00:00,27.85,27.85,26.63,26.67,14545279
2009-09-24 04:00:00,26.73,27.04,25.98,26.02,12489991
2009-09-25 04:00:00,26.01,26.18,25.13,25.37,15640808
2009-09-28 04:00:00,25.44,26.09,25.36,25.81,7976483
2009-09-29 04:00:00,25.92,26.44,24.94,25.68,22366868
2009-09-30 04:00:00,25.15,25.6,24.52,25.03,20564196
2009-10-01 04:00:00,24.89,25.64,24.7,24.76,15914783
2009-10-02 04:00:00,24.68,24.91,23.95,24.27,10714880
2009-10-05 04:00:00,24.38,24.5,23.95,24.04,11939723
2009-10-06 04:00:00,24.46,24.59,23.82,24.37,10408577
2009-10-07 04:00:00,24.42,25.34,24.4,25.02,11403583
2009-10-08 04:00:00,24.29,24.43,23.5,24.13,23008875
2009-10-09 04:00:00,24.45,25.05,24.41,24.65,15715257
2009-10-12 04:00:00,24.81,25.52,24.81,25.23,13494411
2009-10-13 04:00:00,25.17,25.17,23.96,24.29,18241269
2009-10-14 04:00:00,24.62,24.93,24.35,24.84,9316598
2009-10-15 04:00:00,24.77,24.91,24.38,24.55,9717898
2009-10-16 04:00:00,24.71,24.95,24.33,24.46,11759559
2009-10-19 04:00:00,24.57,24.99,24.41,24.89,9940359
2009-10-20 04:00:00,25.68,26.52,25.5,25.95,19757461
2009-10-21 04:00:00,25.97,26.07,25.03,25.12,11550180
2009-10-22 04:00:00,25.05,26.0,25.02,25.72,12687158
2009-10-23 04:00:00,26.1,26.22,25.6,25.85,7945896
2009-10-26 04:00:00,25.93,26.19,25.29,25.3,13539378
2009-10-27 04:00:00,25.3,26.8,25.19,26.5,19726714
2009-10-28 04:00:00,26.29,26.51,25.81,25.89,11184501
2009-10-29 04:00:00,26.06,26.59,26.0,26.44,11429068
2009-10-30 04:00:00,26.32,26.79,25.9,25.93,10567234
2009-11-02 05:00:00,26.02,26.61,25.64,26.4,7860986
2009-11-03 05:00:00,26.62,27.0,26.26,26.91,10899411
2009-11-04 05:00:00,27.62,28.96,27.62,27.85,20946616
2009-11-05 05:00:00,27.95,28.38,27.67,28.19,11101378
2009-11-06 05:00:00,28.1,28.74,27.8,28.65,11017702
2009-11-09 05:00:00,28.31,29.24,28.2,29.12,11214745
2009-11-10 05:00:00,29.0,29.18,28.62,28.99,7766171
