Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,18.2,19.44,18.11,19.29,43749210
2009-05-19 04:00:00,19.57,19.8,18.85,18.89,28745082
2009-05-20 04:00:00,19.19,19.53,18.25,18.48,35085788
2009-05-21 04:00:00,18.22,18.42,17.76,18.11,24012574
2009-05-22 04:00:00,18.21,18.38,17.81,17.85,19234904
2009-05-26 04:00:00,17.65,19.09,17.62,19.01,27502471
2009-05-27 04:00:00,19.07,19.07,17.9,17.98,28477992
2009-05-28 04:00:00,18.1,18.92,17.72,18.89,25278158
2009-05-29 04:00:00,18.96,19.2,18.46,19.19,21921709
2009-06-01 04:00:00,19.52,19.52,18.64,19.08,32454703
2009-06-02 04:00:00,18.93,19.1,17.72,18.15,32208793
2009-06-03 04:00:00,18.0,18.5,17.8,18.09,19113257
2009-06-04 04:00:00,18.22,18.72,17.83,18.64,21760375
2009-06-05 04:00:00,18.88,19.05,17.96,18.04,25603769
2009-06-08 04:00:00,17.96,18.47,17.9,18.32,17685087
2009-06-09 04:00:00,18.45,18.54,18.02,18.16,20349094
2009-06-10 04:00:00,18.35,18.35,17.84,18.08,23236194
2009-06-11 04:00:00,18.1,18.58,18.02,18.34,21367346
2009-06-12 04:00:00,18.26,18.63,18.26,18.59,16573956
2009-06-15 04:00:00,18.33,18.5605,17.75,17.83,19948857
2009-06-16 04:00:00,17.95,18.25,17.41,17.85,19192211
2009-06-17 04:00:00,18.01,18.21,17.362,17.75,27125418
2009-06-18 04:00:00,17.8,18.21,17.48,18.02,19346637
2009-06-19 04:00:00,18.2,18.2,17.65,17.97,23628900
2009-06-22 04:00:00,17.76,18.01,17.01,17.06,23443569
2009-06-23 04:00:00,17.13,17.73,16.67,17.43,18769195
2009-06-24 04:00:00,17.67,17.88,17.37,17.75,18975603
2009-06-25 04:00:00,17.73,17.99,17.12,17.79,18270891
2009-06-26 04:00:00,17.65,18.11,17.18,18.03,13630723
2009-06-29 04:00:00,18.09,18.3,17.83,18.16,18472803
2009-06-30 04:00:00,18.16,18.23,17.66,17.93,15134528
2009-07-01 04:00:00,17.93,18.03,17.56,17.59,12670308
2009-07-02 04:00:00,17.47,17.52,17.06,17.19,12943435
2009-07-06 04:00:00,17.0,17.46,16.74,17.05,20848341
2009-07-07 04:00:00,17.09,17.36,16.87,16.92,14198943
2009-07-08 04:00:00,16.9,17.05,16.11,16.56,23895095
2009-07-09 04:00:00,16.77,16.89,16.45,16.61,15687746
2009-07-10 04:00:00,16.51,16.79,16.34,16.59,12830987
2009-07-13 04:00:00,17.06,17.73,16.81,17.67,18614765
2009-07-14 04:00:00,17.68,17.75,17.17,17.4,14377036
2009-07-15 04:00:00,17.6,18.29,17.53,17.95,28288156
2009-07-16 04:00:00,17.83,18.09,17.64,17.92,13401261
2009-07-17 04:00:00,17.82,18.38,17.74,17.94,16245840
2009-07-20 04:00:00,18.0,18.34,17.94,18.29,13037785
2009-07-21 04:00:00,18.47,18.49,17.85,18.26,15795916
2009-07-22 04:00:00,17.99,19.35,17.99,18.96,30094741
2009-07-23 04:00:00,18.99,19.51,18.9,19.45,20219120
2009-07-24 04:00:00,19.32,19.9304,19.2,19.78,15781772
2009-07-27 04:00:00,19.86,20.14,19.53,20.1,15469440
2009-07-28 04:00:00,19.79,20.25,19.51,19.98,14814392
2009-07-29 04:00:00,19.71,19.95,19.46,19.7018,13690709
2009-07-30 04:00:00,19.95,20.52,19.82,20.46,18877513
2009-07-31 04:00:00,20.44,20.59,20.2,20.41,11455297
2009-08-03 04:00:00,20.75,20.93,20.54,20.87,14415124
2009-08-04 04:00:00,20.72,21.89,20.56,21.69,19226336
2009-08-05 04:00:00,21.93,22.89,21.59,22.79,27574297
2009-08-06 04:00:00,23.24,23.25,22.14,22.41,22995849
2009-08-07 04:00:00,22.79,23.49,22.33,23.21,21100810
2009-08-10 04:00:00,23.03,23.42,22.72,23.01,13434123
2009-08-11 04:00:00,22.62,22.95,21.865,22.07,16061091
2009-08-12 04:00:00,21.85,22.48,21.79,22.04,17782742
2009-08-13 04:00:00,22.27,22.59,21.72,22.55,14358968
2009-08-14 04:00:00,22.49,22.58,22.04,22.5,12548369
2009-08-17 04:00:00,21.76,22.02,21.35,21.39,11683296
2009-08-18 04:00:00,21.57,21.75,21.37,21.51,12243328
2009-08-19 04:00:00,21.2,21.81,21.13,21.61,10037455
2009-08-20 04:00:00,21.58,22.3,21.52,22.06,10852376
2009-08-21 04:00:00,22.42,22.59,22.21,22.26,13989465
