Date,Open,High,Low,Close,Volume
2009-10-07 04:00:00,27.0,28.97,26.41,27.25,62963693
2009-10-08 04:00:00,27.35,27.44,26.5,26.61,6775339
2009-10-09 04:00:00,26.83,27.49,26.38,26.42,3339397
2009-10-12 04:00:00,27.29,27.9,26.1,26.48,6113202
2009-10-13 04:00:00,26.67,27.26,26.54,27.16,3081375
2009-10-14 04:00:00,27.25,28.2385,27.0,28.05,3065321
2009-10-15 04:00:00,28.23,28.8,27.75,28.295,3147260
2009-10-16 04:00:00,28.45,28.6,27.55,28.58,2746983
2009-10-19 04:00:00,28.52,28.89,27.5,27.5,1858539
2009-10-20 04:00:00,27.5,28.1,27.35,28.09,2620703
2009-10-21 04:00:00,28.0,28.35,27.86,28.03,1067008
2009-10-22 04:00:00,27.76,28.48,27.32,27.83,1171156
2009-10-23 04:00:00,28.0,28.39,27.5101,28.37,2093494
2009-10-26 04:00:00,27.83,28.6,27.76,28.49,737260
2009-10-27 04:00:00,28.54,29.25,27.93,28.55,1536968
2009-10-28 04:00:00,28.21,28.55,27.56,27.69,1134448
2009-10-29 04:00:00,27.88,28.0,27.75,27.89,559517
2009-10-30 04:00:00,28.0,28.07,27.3,27.42,810631
2009-11-02 05:00:00,27.38,27.65,26.6,27.31,934654
2009-11-03 05:00:00,27.43,27.49,26.85,27.31,687174
2009-11-04 05:00:00,27.33,27.48,26.95,26.95,458915
2009-11-05 05:00:00,27.02,27.6,26.97,27.3,464572
2009-11-06 05:00:00,27.2,27.34,26.95,27.13,307719
2009-11-09 05:00:00,27.25,27.69,27.05,27.55,602589
2009-11-10 05:00:00,27.25,28.26,27.25,27.67,281928
2009-11-11 05:00:00,27.93,29.12,27.63,28.96,1146007
2009-11-12 05:00:00,28.78,30.0,28.43,28.9,1182626
2009-11-13 05:00:00,28.78,29.08,28.51,28.89,409857
2009-11-16 05:00:00,28.75,29.01,28.25,28.85,1416682
2009-11-17 05:00:00,28.55,28.96,27.4,27.84,2489449
2009-11-18 05:00:00,28.39,29.0,28.16,28.5,704946
2009-11-19 05:00:00,28.81,28.89,27.94,28.51,1187777
2009-11-20 05:00:00,28.5,28.6399,28.42,28.54,860971
2009-11-23 05:00:00,28.68,28.68,27.67,28.37,446478
2009-11-24 05:00:00,28.18,28.18,27.65,27.78,674920
2009-11-25 05:00:00,27.72,27.811,27.17,27.2999,816781
2009-11-27 05:00:00,26.96,27.18,26.66,26.99,227523
2009-11-30 05:00:00,27.34,27.4,26.73,26.99,855187
2009-12-01 05:00:00,26.95,28.05,26.91,27.77,604721
2009-12-02 05:00:00,27.76,27.81,27.35,27.5,818036
2009-12-03 05:00:00,27.81,27.94,27.5,27.75,485440
2009-12-04 05:00:00,27.79,28.44,27.79,28.39,532219
2009-12-07 05:00:00,28.2,28.98,27.94,28.73,360879
2009-12-08 05:00:00,28.41,28.92,27.9,28.58,393670
2009-12-09 05:00:00,28.33,28.7,28.18,28.65,390545
2009-12-10 05:00:00,28.57,28.7,28.13,28.39,406874
2009-12-11 05:00:00,28.02,28.81,28.0,28.67,588282
2009-12-14 05:00:00,28.56,29.04,28.56,28.97,489959
2009-12-15 05:00:00,28.93,29.47,28.77,29.3,876494
2009-12-16 05:00:00,29.27,30.97,29.15,30.48,1539032
2009-12-17 05:00:00,30.25,30.64,30.0,30.4,897569
2009-12-18 05:00:00,30.39,31.0,29.73,30.56,2202622
2009-12-21 05:00:00,30.78,30.78,29.8901,30.5,849156
2009-12-22 05:00:00,30.34,30.85,30.1,30.56,359581
2009-12-23 05:00:00,30.68,30.94,30.21,30.74,667222
2009-12-24 05:00:00,30.79,31.18,30.68,30.79,165481
2009-12-28 05:00:00,30.89,31.12,30.62,30.98,246548
2009-12-29 05:00:00,30.92,31.14,30.7014,31.0,275394
2009-12-30 05:00:00,30.91,31.0,30.45,31.0,174398
2009-12-31 05:00:00,30.86,31.0,30.21,30.26,103767
2010-01-04 05:00:00,30.41,30.5,29.67,29.83,351579
2010-01-05 05:00:00,29.85,30.07,29.49,30.0,414722
2010-01-06 05:00:00,30.0,30.87,30.0,30.44,832994
2010-01-07 05:00:00,30.36,30.68,29.8,30.4,283955
2010-01-08 05:00:00,30.21,30.27,29.98,30.0,245724
2010-01-11 05:00:00,30.03,30.105,29.75,29.93,643593
2010-01-12 05:00:00,29.99,30.38,29.84,30.16,720852
2010-01-13 05:00:00,30.1,30.29,30.1,30.16,367364
2010-01-14 05:00:00,30.09,30.1,29.89,29.93,291004
2010-01-15 05:00:00,29.77,29.92,28.66,28.94,687889
2010-01-19 05:00:00,28.84,28.84,27.81,27.96,1462272
2010-01-20 05:00:00,27.81,28.1,27.685,28.0,940600
2010-01-21 05:00:00,27.99,28.4,27.91,28.1,649201
2010-01-22 05:00:00,28.2,28.37,27.93,28.07,535342
2010-01-25 05:00:00,27.98,28.24,27.91,27.95,235361
2010-01-26 05:00:00,27.83,28.75,27.83,28.3,282503
2010-01-27 05:00:00,28.23,29.24,28.01,28.87,442702
2010-01-28 05:00:00,28.75,29.025,28.57,28.75,382345
2010-01-29 05:00:00,28.83,28.9,28.0,28.14,316857
2010-02-01 05:00:00,28.21,28.46,28.2,28.42,395068
2010-02-02 05:00:00,28.39,28.59,27.9,27.96,501354
