Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,29.76,30.07,29.58,29.74,12450428
2009-05-19 04:00:00,29.79,29.87,29.53,29.63,10216481
2009-05-20 04:00:00,29.83,30.17,29.76,29.84,13373531
2009-05-21 04:00:00,29.57,29.64,28.8,29.14,15819282
2009-05-22 04:00:00,29.19,29.2,28.75,28.8,9251338
2009-05-26 04:00:00,28.68,29.73,28.64,29.64,11166669
2009-05-27 04:00:00,29.65,29.69,28.87,28.94,11818478
2009-05-28 04:00:00,29.12,29.46,28.9,29.2799,13862019
2009-05-29 04:00:00,29.38,29.4,28.74,29.3,14937771
2009-06-01 04:00:00,29.52,29.68,29.1,29.26,18027463
2009-06-02 04:00:00,29.34,29.68,29.12,29.56,15823486
2009-06-03 04:00:00,29.52,29.85,29.1,29.61,15471126
2009-06-04 04:00:00,29.68,29.82,29.445,29.57,12794901
2009-06-05 04:00:00,29.81,29.81,29.14,29.23,11643576
2009-06-08 04:00:00,29.15,29.53,28.98,29.28,11478351
2009-06-09 04:00:00,29.4,29.57,29.0,29.43,11733986
2009-06-10 04:00:00,29.51,29.76,29.17,29.53,10663885
2009-06-11 04:00:00,29.49,30.08,29.45,29.75,11821526
2009-06-12 04:00:00,29.69,30.06,29.61,29.92,16468924
2009-06-15 04:00:00,29.84,29.96,29.51,29.73,11835788
2009-06-16 04:00:00,29.86,29.86,29.5,29.55,12474134
2009-06-17 04:00:00,29.58,30.04,29.58,29.78,11693183
2009-06-18 04:00:00,30.01,30.4,29.8,30.09,12833587
2009-06-19 04:00:00,30.42,30.43,29.58,29.63,19009724
2009-06-22 04:00:00,29.53,31.37,29.48,29.98,16864576
2009-06-23 04:00:00,30.1,30.66,30.01,30.53,14965481
2009-06-24 04:00:00,30.81,31.03,30.65,30.78,13459314
2009-06-25 04:00:00,30.72,31.22,30.52,31.09,11904187
2009-06-26 04:00:00,31.0,31.12,30.75,30.96,8742255
2009-06-29 04:00:00,31.0,31.38,30.83,31.37,9537192
2009-06-30 04:00:00,31.44,31.44,30.55,30.7,13004583
2009-07-01 04:00:00,30.83,31.0,30.62,30.82,10400881
2009-07-02 04:00:00,30.47,30.53,30.16,30.22,11704362
2009-07-06 04:00:00,30.03,30.55,30.02,30.38,11765783
2009-07-07 04:00:00,30.39,30.4,29.55,29.62,14794965
2009-07-08 04:00:00,29.4,29.4,28.41,28.68,17656396
