Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,30.07,30.72,29.8,30.71,6007533
2009-05-19 04:00:00,30.69,30.85,30.49,30.57,4441676
2009-05-20 04:00:00,30.67,31.29,30.04,30.19,6238585
2009-05-21 04:00:00,29.87,30.32,29.39,29.74,5129803
2009-05-22 04:00:00,29.77,30.0,29.39,29.57,2890252
2009-05-26 04:00:00,29.39,30.93,29.26,30.76,7117519
2009-05-27 04:00:00,30.71,30.9,30.03,30.1,5872490
2009-05-28 04:00:00,30.13,30.4,29.35,30.21,8224751
2009-05-29 04:00:00,30.26,30.29,29.48,29.8,7195272
2009-06-01 04:00:00,30.19,31.53,30.15,31.15,8569429
2009-06-02 04:00:00,30.98,31.76,30.9,31.6,6244191
2009-06-03 04:00:00,31.45,31.6,30.99,31.3,4957817
2009-06-04 04:00:00,31.37,31.44,30.65,30.94,6083555
2009-06-05 04:00:00,31.15,31.23,30.5,30.87,6532666
2009-06-08 04:00:00,30.74,31.58,30.63,31.34,5235363
2009-06-09 04:00:00,31.33,31.385,30.84,31.09,4844707
2009-06-10 04:00:00,31.21,31.46,30.78,31.0,5625003
2009-06-11 04:00:00,30.92,31.31,30.84,30.91,5217946
2009-06-12 04:00:00,30.84,31.18,30.58,31.18,4309203
2009-06-15 04:00:00,31.02,31.02,30.17,30.47,5187637
2009-06-16 04:00:00,30.61,30.71,30.2,30.39,7061873
2009-06-17 04:00:00,30.53,31.26,30.47,30.68,9483107
2009-06-18 04:00:00,30.8,31.8,30.8,31.72,7900842
2009-06-19 04:00:00,31.88,32.0,31.31,31.46,9962807
2009-06-22 04:00:00,30.05,30.45,29.42,29.63,18968533
2009-06-23 04:00:00,29.73,30.08,29.12,29.63,7302588
2009-06-24 04:00:00,29.88,30.15,29.64,29.9775,6211545
2009-06-25 04:00:00,29.82,30.29,29.75,29.99,8038231
2009-06-26 04:00:00,29.86,29.88,29.51,29.78,6095513
2009-06-29 04:00:00,29.81,30.06,29.45,29.86,6535472
2009-06-30 04:00:00,29.84,30.0,29.35,29.4,7200692
2009-07-01 04:00:00,29.48,29.66,28.88,29.33,8996473
2009-07-02 04:00:00,29.18,29.4,28.74,28.75,6731235
2009-07-06 04:00:00,28.5,29.53,27.89,29.53,8060033
2009-07-07 04:00:00,29.55,29.59,28.84,28.86,6427374
2009-07-08 04:00:00,29.03,29.84,28.78,29.76,8097365
2009-07-09 04:00:00,29.86,29.92,29.0,29.34,5580573
2009-07-10 04:00:00,29.19,29.48,28.7,28.81,5164513
2009-07-13 04:00:00,28.99,29.41,28.62,29.34,6346535
2009-07-14 04:00:00,29.4,29.6,28.95,29.38,5679122
2009-07-15 04:00:00,29.69,30.15,29.48,30.03,5134125
2009-07-16 04:00:00,29.85,29.91,29.115,29.42,9396088
2009-07-17 04:00:00,29.36,29.85,29.34,29.8,6731554
2009-07-20 04:00:00,29.9,30.25,29.72,30.08,7258607
2009-07-21 04:00:00,30.36,30.41,29.64,29.95,6914311
2009-07-22 04:00:00,30.0,30.18,29.68,29.78,6413082
2009-07-23 04:00:00,29.79,30.04,29.35,29.73,8593738
2009-07-24 04:00:00,29.77,30.44,29.56,30.42,7613788
2009-07-27 04:00:00,30.2,30.4,29.73,30.36,4329017
2009-07-28 04:00:00,30.06,30.59,30.03,30.23,4530054
2009-07-29 04:00:00,30.14,30.82,30.02,30.77,5619664
2009-07-30 04:00:00,30.99,31.42,30.82,30.98,5014387
2009-07-31 04:00:00,31.04,31.22,30.91,31.0,5017435
2009-08-03 04:00:00,31.34,31.41,30.78,31.07,5714055
2009-08-04 04:00:00,30.96,30.99,30.15,30.4,7683951
2009-08-05 04:00:00,30.34,30.6,29.95,30.27,5725581
2009-08-06 04:00:00,30.21,30.6,30.12,30.54,4605508
2009-08-07 04:00:00,30.72,30.98,30.41,30.72,6429362
2009-08-10 04:00:00,30.6,30.79,30.29,30.74,5064064
2009-08-11 04:00:00,30.7,30.87,30.45,30.7,3931458
2009-08-12 04:00:00,30.59,31.58,30.49,31.32,5109284
2009-08-13 04:00:00,31.32,31.83,30.84,31.83,7477565
2009-08-14 04:00:00,31.65,31.85,31.185,31.62,4767803
2009-08-17 04:00:00,31.15,31.29,30.44,30.57,6077204
2009-08-18 04:00:00,30.78,30.91,30.4,30.81,4253529
2009-08-19 04:00:00,30.53,31.2,30.49,30.95,4736166
2009-08-20 04:00:00,31.01,31.01,30.72,30.9,4853211
2009-08-21 04:00:00,31.08,31.64,30.82,31.63,7266397
2009-08-24 04:00:00,31.63,31.63,31.26,31.42,4065754
2009-08-25 04:00:00,31.35,32.7,31.33,32.56,8907971
2009-08-26 04:00:00,32.5,33.44,31.9633,33.44,7976762
2009-08-27 04:00:00,33.81,33.97,33.42,33.65,7902102
2009-08-28 04:00:00,33.77,33.9395,33.46,33.69,5720174
2009-08-31 04:00:00,33.5,34.3,33.46,33.89,7410134
2009-09-01 04:00:00,33.71,34.63,33.62,34.01,9624458
2009-09-02 04:00:00,33.27,33.94,33.1,33.85,10304208
2009-09-03 04:00:00,33.94,34.01,33.18,33.53,6338895
2009-09-04 04:00:00,33.53,33.88,33.33,33.86,2814982
2009-09-08 04:00:00,34.02,34.02,33.59,33.96,4591426
2009-09-09 04:00:00,33.98,34.15,33.72,33.9,4035912
2009-09-10 04:00:00,34.06,34.25,33.76,34.2,7577523
2009-09-11 04:00:00,34.18,34.37,34.01,34.09,3781357
2009-09-14 04:00:00,34.03,34.34,33.96,34.22,3257312
2009-09-15 04:00:00,34.19,34.23,33.78,34.04,5378101
2009-09-16 04:00:00,34.18,34.64,33.73,34.6,5931114
2009-09-17 04:00:00,34.37,34.74,34.16,34.35,5568375
2009-09-18 04:00:00,34.41,34.64,34.34,34.52,4463857
2009-09-21 04:00:00,34.4,34.69,34.14,34.54,3424772
2009-09-22 04:00:00,34.65,34.74,34.38,34.61,4175572
2009-09-23 04:00:00,34.62,34.81,34.23,34.25,5892897
2009-09-24 04:00:00,34.15,34.26,33.39,33.63,6344463
2009-09-25 04:00:00,33.53,34.08,33.53,33.7,3850685
2009-09-28 04:00:00,33.73,34.33,33.64,34.16,5671304
2009-09-29 04:00:00,37.9,38.44,37.035,37.37,23100619
2009-09-30 04:00:00,37.1,37.69,36.76,37.43,10073913
2009-10-01 04:00:00,37.5,38.62,37.31,38.18,15269821
2009-10-02 04:00:00,38.35,38.75,37.92,38.01,8610295
2009-10-05 04:00:00,37.64,38.335,37.52,38.23,8463993
2009-10-06 04:00:00,38.34,38.5,38.11,38.3,6960142
2009-10-07 04:00:00,38.23,39.3,38.18,39.12,7887198
2009-10-08 04:00:00,38.93,39.67,38.705,39.63,8953808
2009-10-09 04:00:00,39.54,39.6,39.1338,39.44,4738662
2009-10-12 04:00:00,39.2,39.375,38.68,38.97,6338576
2009-10-13 04:00:00,38.83,39.09,38.23,38.3,9612678
2009-10-14 04:00:00,38.38,38.785,38.38,38.75,6656705
2009-10-15 04:00:00,38.69,39.83,38.58,39.82,8808966
2009-10-16 04:00:00,39.84,40.56,39.48,40.42,10107296
2009-10-19 04:00:00,40.36,40.69,40.09,40.32,4719822
2009-10-20 04:00:00,40.33,40.55,39.83,40.08,3880003
2009-10-21 04:00:00,40.02,40.57,39.42,39.44,7508273
2009-10-22 04:00:00,39.47,39.56,39.01,39.47,5665659
2009-10-23 04:00:00,39.52,39.59,38.94,39.02,4508744
2009-10-26 04:00:00,38.97,39.6,38.79,38.89,4594601
2009-10-27 04:00:00,38.87,38.95,37.54,37.69,10213282
2009-10-28 04:00:00,37.54,37.91,36.98,37.1,8993556
2009-10-29 04:00:00,37.39,38.45,37.22,38.36,9439753
2009-10-30 04:00:00,38.27,38.76,37.75,37.84,7685136
2009-11-02 05:00:00,38.12,38.82,37.85,38.69,7664565
2009-11-03 05:00:00,38.89,39.1,38.06,38.44,6709746
2009-11-04 05:00:00,38.53,39.82,38.52,39.47,8923467
2009-11-05 05:00:00,38.17,40.25,38.17,40.09,13700678
2009-11-06 05:00:00,39.94,40.26,39.43,39.59,7576901
