Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,26.53,27.25,26.53,27.05,3596890
2009-05-15 04:00:00,26.98,27.21,26.62,26.83,3699490
2009-05-18 04:00:00,27.01,27.87,26.85,27.86,3572600
2009-05-19 04:00:00,28.68,28.88,28.03,28.56,4858990
2009-05-20 04:00:00,28.79,28.87,28.27,28.31,4102900
2009-05-21 04:00:00,28.2,28.29,27.87,28.16,2787810
2009-05-22 04:00:00,28.24,28.53,28.05,28.23,2399970
2009-05-26 04:00:00,28.27,28.8,27.77,28.45,3558150
2009-05-27 04:00:00,28.51,28.71,28.0,28.04,3683120
2009-05-28 04:00:00,27.99,28.11,27.27,27.65,4289220
2009-05-29 04:00:00,27.83,27.97,27.23,27.59,3087310
2009-06-01 04:00:00,27.93,28.91,27.9,28.88,4268420
2009-06-02 04:00:00,28.62,29.0,28.56,28.73,3138340
2009-06-03 04:00:00,28.5,28.75,28.31,28.69,2833450
2009-06-04 04:00:00,28.73,28.89,28.37,28.49,2977860
2009-06-05 04:00:00,28.65,28.83,28.2,28.28,3264890
2009-06-08 04:00:00,28.24,28.27,27.59,27.96,3406800
2009-06-09 04:00:00,28.02,28.06,27.63,27.83,2175790
2009-06-10 04:00:00,28.0,28.2,27.8,28.11,2858880
2009-06-11 04:00:00,28.19,28.88,28.16,28.56,2314570
2009-06-12 04:00:00,28.48,28.67,28.19,28.6,1987700
2009-06-15 04:00:00,28.37,28.58,27.91,28.13,2529120
2009-06-16 04:00:00,28.19,28.19,27.54,27.73,2763980
2009-06-17 04:00:00,27.87,28.35,27.73,28.02,3469090
2009-06-18 04:00:00,28.16,28.58,27.9,28.29,2866250
2009-06-19 04:00:00,28.54,28.71,28.09,28.22,3806610
2009-06-22 04:00:00,28.1,28.5,27.51,27.62,2715360
2009-06-23 04:00:00,27.66,27.81,27.14,27.15,2984520
2009-06-24 04:00:00,27.31,27.88,27.17,27.63,3282750
2009-06-25 04:00:00,27.5,28.45,27.33,28.32,3226570
2009-06-26 04:00:00,28.23,28.45,27.92,28.22,2726410
2009-06-29 04:00:00,28.3,28.59,28.19,28.52,3204550
2009-06-30 04:00:00,28.6,28.6,27.98,28.16,2375750
2009-07-01 04:00:00,28.26,28.53,27.97,28.03,3101730
2009-07-02 04:00:00,27.8,27.98,27.37,27.4,2254030
2009-07-06 04:00:00,27.3,27.74,27.1,27.33,3098220
2009-07-07 04:00:00,27.29,27.37,26.87,26.92,2320850
2009-07-08 04:00:00,26.94,27.0,26.31,26.58,4141320
2009-07-09 04:00:00,26.69,26.9,26.47,26.78,2950290
2009-07-10 04:00:00,26.68,26.96,26.55,26.86,2046060
2009-07-13 04:00:00,27.0,27.21,26.84,27.16,2694460
2009-07-14 04:00:00,27.29,27.34,27.04,27.31,2774180
2009-07-15 04:00:00,27.59,27.77,27.33,27.71,2149990
2009-07-16 04:00:00,27.68,28.3,27.57,28.23,2138090
2009-07-17 04:00:00,28.17,28.2,27.81,28.09,2335850
2009-07-20 04:00:00,28.27,28.34,28.04,28.23,2137070
2009-07-21 04:00:00,28.47,28.66,27.9,28.09,2359710
2009-07-22 04:00:00,27.91,29.13,27.91,28.84,4509320
2009-07-23 04:00:00,28.91,29.65,28.65,29.52,4362010
2009-07-24 04:00:00,29.31,29.59,28.97,29.39,2086370
2009-07-27 04:00:00,29.41,29.69,29.27,29.69,2034850
2009-07-28 04:00:00,29.52,29.92,29.36,29.42,3451820
2009-07-29 04:00:00,29.25,29.68,29.1,29.48,3159120
2009-07-30 04:00:00,28.75,29.41,27.85,28.05,7349360
2009-07-31 04:00:00,28.09,28.54,27.98,28.11,3649970
2009-08-03 04:00:00,28.28,28.41,27.66,28.39,3807240
2009-08-04 04:00:00,28.34,28.57,28.17,28.49,2723660
2009-08-05 04:00:00,28.94,29.25,28.42,28.58,1480900
2009-08-06 04:00:00,28.74,28.74,27.52,28.01,3751930
2009-08-07 04:00:00,28.25,28.66,28.13,28.57,2809260
2009-08-10 04:00:00,28.4,28.73,28.04,28.73,1959570
2009-08-11 04:00:00,28.76,28.98,28.4,28.85,2726270
2009-08-12 04:00:00,28.85,30.3,28.66,30.02,3895580
2009-08-13 04:00:00,30.24,31.66,30.05,30.65,3800650
2009-08-14 04:00:00,30.6,30.65,30.04,30.23,1895600
2009-08-17 04:00:00,29.86,30.94,29.64,29.74,1574180
2009-08-18 04:00:00,29.26,29.58,28.87,29.0,2544780
2009-08-19 04:00:00,28.74,29.4,28.69,29.4,1827620
2009-08-20 04:00:00,29.47,29.94,29.22,29.85,1295930
2009-08-21 04:00:00,30.08,30.37,29.91,30.04,2228510
2009-08-24 04:00:00,30.08,30.38,30.0,30.24,1492280
2009-08-25 04:00:00,30.37,30.58,30.02,30.04,1457250
2009-08-26 04:00:00,29.99,30.3,29.83,30.2,1215840
2009-08-27 04:00:00,30.28,30.35,29.73,30.05,1289760
2009-08-28 04:00:00,30.16,30.3,29.42,29.64,1849220
2009-08-31 04:00:00,29.51,29.94,29.43,29.93,1363890
2009-09-01 04:00:00,29.94,30.2,29.6,29.86,2507510
2009-09-02 04:00:00,29.87,29.87,29.2,29.49,2421310
2009-09-03 04:00:00,29.55,29.8,28.98,29.75,1908360
2009-09-04 04:00:00,29.67,30.12,29.51,30.08,1902360
2009-09-08 04:00:00,29.39,30.49,29.33,30.31,2365210
2009-09-09 04:00:00,29.26,30.1,29.26,29.88,3401890
2009-09-10 04:00:00,29.94,30.1,29.63,30.08,2415640
2009-09-11 04:00:00,30.08,30.59,30.08,30.4,2130350
2009-09-14 04:00:00,29.59,30.69,29.59,30.65,3288680
2009-09-15 04:00:00,30.67,30.81,30.08,30.09,2938820
2009-09-16 04:00:00,30.23,30.27,29.9,30.14,2294400
2009-09-17 04:00:00,30.02,30.52,29.78,30.03,2799920
2009-09-18 04:00:00,30.09,30.8,29.85,30.75,3339590
2009-09-21 04:00:00,30.62,30.62,29.85,29.96,2377680
2009-09-22 04:00:00,30.05,30.18,29.73,29.88,2420240
2009-09-23 04:00:00,29.99,30.02,29.38,29.84,2718650
2009-09-24 04:00:00,29.83,29.93,29.45,29.55,2057730
2009-09-25 04:00:00,29.57,29.57,28.85,28.93,1954370
2009-09-28 04:00:00,29.43,29.95,29.22,29.93,1577180
2009-09-29 04:00:00,29.93,30.13,29.71,30.0,1869360
2009-09-30 04:00:00,30.05,30.08,29.62,29.82,2658720
2009-10-01 04:00:00,29.56,29.66,28.98,28.98,2158870
2009-10-02 04:00:00,28.85,29.25,28.85,29.15,2242370
2009-10-05 04:00:00,29.28,29.28,28.64,28.92,1787520
2009-10-06 04:00:00,29.11,29.17,28.76,28.79,2505230
2009-10-07 04:00:00,28.63,28.89,28.28,28.39,2783260
2009-10-08 04:00:00,28.62,28.81,28.51,28.68,2006990
2009-10-09 04:00:00,28.64,28.81,28.6,28.64,1904440
2009-10-12 04:00:00,28.74,28.96,28.65,28.73,1759360
2009-10-13 04:00:00,28.75,29.05,28.7,28.97,2164950
2009-10-14 04:00:00,29.2,30.0,29.05,29.94,3309760
2009-10-15 04:00:00,29.78,31.7,29.78,31.63,6289970
2009-10-16 04:00:00,31.09,31.38,30.8,31.22,2324970
2009-10-19 04:00:00,31.28,31.3,30.91,31.24,2029470
2009-10-20 04:00:00,31.22,31.26,30.75,30.96,1677570
2009-10-21 04:00:00,30.86,31.57,30.78,31.09,2043540
2009-10-22 04:00:00,31.12,31.55,30.8,31.48,1739070
2009-10-23 04:00:00,31.47,31.74,30.89,30.93,1710860
2009-10-26 04:00:00,30.96,31.41,30.33,30.63,2137280
2009-10-27 04:00:00,30.6,31.24,30.52,31.07,1372100
2009-10-28 04:00:00,31.05,31.19,30.55,30.62,2125010
2009-10-29 04:00:00,30.76,30.99,30.22,30.75,1862630
2009-10-30 04:00:00,30.72,31.16,29.77,29.88,2556460
2009-11-02 05:00:00,29.88,30.77,29.75,30.69,2314900
2009-11-03 05:00:00,30.68,30.85,30.17,30.48,1730130
2009-11-04 05:00:00,30.6,31.08,30.37,30.66,1928030
2009-11-05 05:00:00,30.66,31.61,30.65,31.57,2016820
2009-11-06 05:00:00,31.5,31.65,31.16,31.65,1353390
2009-11-09 05:00:00,31.77,32.5,31.69,32.5,1718160
2009-11-10 05:00:00,32.4,32.71,32.23,32.62,1589350
2009-11-11 05:00:00,32.78,33.07,32.22,32.43,2367170
2009-11-12 05:00:00,32.36,32.53,31.94,32.01,1893960
2009-11-13 05:00:00,31.92,32.58,31.9,32.18,2212630
2009-11-16 05:00:00,32.14,32.93,32.14,32.84,1779330
2009-11-17 05:00:00,32.81,33.15,32.7,33.12,1681040
2009-11-18 05:00:00,33.12,33.12,32.63,32.79,1266530
2009-11-19 05:00:00,32.45,32.64,32.0,32.17,1588740
2009-11-20 05:00:00,32.13,32.42,32.02,32.3,1424070
2009-11-23 05:00:00,32.91,33.6,32.83,33.28,2310040
2009-11-24 05:00:00,33.21,33.58,32.92,33.53,1754380
2009-11-25 05:00:00,33.64,33.66,33.27,33.46,1344750
2009-11-27 05:00:00,32.88,33.34,32.8,33.06,733760
2009-11-30 05:00:00,32.89,32.97,32.52,32.86,1345790
2009-12-01 05:00:00,32.89,33.4,32.89,33.2,1332960
2009-12-02 05:00:00,33.23,33.51,32.85,33.19,1767500
2009-12-03 05:00:00,33.19,33.71,33.02,33.05,1522580
2009-12-04 05:00:00,33.5,33.85,33.13,33.56,1679820
2009-12-07 05:00:00,33.49,33.94,33.39,33.79,1260820
2009-12-08 05:00:00,33.57,33.64,32.85,33.17,1494980
2009-12-09 05:00:00,33.22,33.53,33.0,33.18,1481960
2009-12-10 05:00:00,33.39,33.39,32.93,33.23,1891740
2009-12-11 05:00:00,33.32,33.58,32.95,33.21,1642760
2009-12-14 05:00:00,33.55,33.74,33.23,33.48,1367310
2009-12-15 05:00:00,33.37,33.37,32.86,32.99,1921170
2009-12-16 05:00:00,33.14,33.27,32.76,32.95,2252690
2009-12-17 05:00:00,32.74,33.06,32.48,32.71,2575940
2009-12-18 05:00:00,32.97,33.19,32.75,32.99,3328550
2009-12-21 05:00:00,33.17,33.76,32.81,32.99,2117440
2009-12-22 05:00:00,33.02,33.2,32.8,33.0,994220
2009-12-23 05:00:00,33.17,33.71,33.0,33.66,2011180
2009-12-24 05:00:00,33.77,33.95,33.75,33.76,518650
2009-12-28 05:00:00,33.81,33.96,33.65,33.94,1353640
2009-12-29 05:00:00,33.93,34.15,33.8,34.1,1516020
2009-12-30 05:00:00,33.99,34.15,33.81,34.0,1072380
2009-12-31 05:00:00,34.03,34.04,33.8,33.82,1060070
2010-01-04 05:00:00,34.01,34.26,33.87,34.16,1949030
2010-01-05 05:00:00,34.22,34.22,33.78,34.01,2800760
2010-01-06 05:00:00,33.87,34.15,33.78,34.0,1475050
2010-01-07 05:00:00,33.94,34.12,33.82,34.08,1329960
2010-01-08 05:00:00,33.92,34.33,33.67,34.24,1385160
2010-01-11 05:00:00,34.36,34.72,34.28,34.67,1669920
2010-01-12 05:00:00,34.59,34.89,34.3,34.88,2095190
2010-01-13 05:00:00,34.89,35.02,34.68,34.78,1791250
2010-01-14 05:00:00,34.71,34.75,34.32,34.44,2336340
2010-01-15 05:00:00,34.36,34.39,33.15,33.25,3958970
2010-01-19 05:00:00,33.27,33.94,33.19,33.91,2881240
2010-01-20 05:00:00,33.66,33.76,33.03,33.71,3147190
2010-01-21 05:00:00,33.72,34.02,33.06,33.08,3108710
2010-01-22 05:00:00,33.13,33.58,32.83,32.86,2596800
2010-01-25 05:00:00,33.11,33.11,32.6,32.64,1579400
2010-01-26 05:00:00,32.55,32.93,32.28,32.54,1576300
2010-01-27 05:00:00,32.51,32.74,32.14,32.58,1780940
