Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,50.03,50.37,48.75,49.1,24620239
2009-05-15 04:00:00,48.96,49.34,48.14,48.14,18770171
2009-05-18 04:00:00,48.71,49.98,48.69,49.94,17660578
2009-05-19 04:00:00,49.92,50.0,49.35,49.38,13869331
2009-05-20 04:00:00,49.8,50.3,48.85,48.91,19513025
2009-05-21 04:00:00,48.81,49.53,48.67,49.09,14597645
2009-05-22 04:00:00,49.37,49.77,49.11,49.23,10706891
2009-05-26 04:00:00,49.18,50.66,49.16,49.99,16496511
2009-05-27 04:00:00,50.24,50.82,49.25,49.33,16323316
2009-05-28 04:00:00,49.51,49.79,48.92,49.55,14951781
2009-05-29 04:00:00,49.9,49.97,49.07,49.74,10755325
2009-06-01 04:00:00,50.18,50.7,49.58,50.62,19394009
2009-06-02 04:00:00,50.38,50.85,49.87,49.93,16549303
2009-06-03 04:00:00,49.76,50.9825,49.7,50.94,16786821
2009-06-04 04:00:00,50.83,51.0,50.25,50.85,14165604
2009-06-05 04:00:00,51.12,51.75,50.21,51.08,24388335
2009-06-08 04:00:00,50.99,51.06,50.4,50.82,16972517
2009-06-09 04:00:00,51.0,51.16,50.5,50.6,13765985
2009-06-10 04:00:00,50.81,50.85,49.73,50.06,17782027
2009-06-11 04:00:00,50.05,50.25,49.29,49.31,20288481
2009-06-12 04:00:00,49.35,49.86,49.21,49.86,14826569
2009-06-15 04:00:00,49.1,49.1999,48.22,48.47,21939337
2009-06-16 04:00:00,48.51,48.62,48.05,48.28,19453215
2009-06-17 04:00:00,48.3,48.89,48.1,48.55,18525905
2009-06-18 04:00:00,48.65,48.89,48.4,48.68,12927166
2009-06-19 04:00:00,49.05,49.05,48.1,48.17,20934915
2009-06-22 04:00:00,48.1,48.9,48.02,48.5915,18067817
2009-06-23 04:00:00,48.72,48.83,48.25,48.35,15575727
2009-06-24 04:00:00,48.5,48.77,48.11,48.49,15195442
2009-06-25 04:00:00,48.44,49.45,48.32,49.17,18370373
2009-06-26 04:00:00,49.04,49.06,48.43,48.57,13272516
2009-06-29 04:00:00,48.71,48.9,48.4,48.7499,15050720
