Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,17.35,17.37,17.1,17.22,2302685
2009-05-19 04:00:00,17.21,17.57,17.17,17.34,2434096
2009-05-20 04:00:00,17.44,17.5,17.02,17.02,3102830
2009-05-21 04:00:00,16.99,17.09,16.83,16.89,2449424
2009-05-22 04:00:00,16.93,17.16,16.88,16.95,1981895
2009-05-26 04:00:00,17.0,17.56,16.84,17.54,3190156
2009-05-27 04:00:00,17.54,17.6,17.11,17.14,2751624
2009-05-28 04:00:00,17.25,17.48,17.15,17.39,2907361
2009-05-29 04:00:00,17.49,17.49,17.04,17.25,5558008
2009-06-01 04:00:00,17.25,17.85,17.25,17.76,5021314
2009-06-02 04:00:00,17.77,17.95,17.66,17.68,3281390
2009-06-03 04:00:00,17.6,17.75,17.44,17.62,2681180
2009-06-04 04:00:00,17.68,17.68,17.45,17.47,3064026
2009-06-05 04:00:00,17.64,17.72,17.25,17.48,2602180
2009-06-08 04:00:00,17.48,17.68,17.35,17.56,2542722
2009-06-09 04:00:00,17.56,17.66,17.36,17.46,3124479
2009-06-10 04:00:00,17.58,17.7,17.5,17.68,2477994
2009-06-11 04:00:00,17.76,18.28,17.69,17.99,3415435
2009-06-12 04:00:00,17.96,18.34,17.79,18.24,1996522
2009-06-15 04:00:00,18.1,18.16,17.74,17.86,2399566
2009-06-16 04:00:00,17.94,18.05,17.8,17.88,2384816
2009-06-17 04:00:00,17.93,18.18,17.83,17.94,3530662
2009-06-18 04:00:00,17.94,18.34,17.93,18.31,2338111
2009-06-19 04:00:00,18.38,18.44,18.07,18.13,3006744
2009-06-22 04:00:00,18.13,18.42,17.99,18.23,2444284
2009-06-23 04:00:00,17.95,18.12,17.64,17.67,3145297
2009-06-24 04:00:00,17.79,18.16,17.7,17.86,3492145
2009-06-25 04:00:00,17.84,18.35,17.71,18.22,2479299
2009-06-26 04:00:00,18.28,18.29,18.045,18.18,1394561
2009-06-29 04:00:00,18.23,18.43,18.1,18.42,1231699
2009-06-30 04:00:00,18.72,18.77,18.19,18.43,2978000
2009-07-01 04:00:00,18.47,18.8,18.44,18.76,1650196
2009-07-02 04:00:00,18.62,18.62,18.25,18.26,2198843
2009-07-06 04:00:00,18.2,18.61,18.14,18.54,2100925
2009-07-07 04:00:00,18.56,18.56,18.14,18.17,1723620
2009-07-08 04:00:00,18.26,18.41,17.96,18.1,2095063
2009-07-09 04:00:00,18.13,18.27,17.93,18.08,1894877
2009-07-10 04:00:00,18.04,18.16,17.9,18.11,1986412
2009-07-13 04:00:00,18.17,18.46,18.04,18.43,1995516
2009-07-14 04:00:00,18.44,18.66,18.33,18.65,2462633
2009-07-15 04:00:00,18.77,18.97,18.66,18.96,3533173
