Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,32.5,32.55,31.54,31.57,4187728
2009-05-14 04:00:00,31.72,32.75,31.72,32.14,4542167
2009-05-15 04:00:00,32.16,33.68,32.16,33.1,7173626
2009-05-18 04:00:00,33.54,34.51,33.07,34.49,4851630
2009-05-19 04:00:00,34.5,34.71,33.92,34.34,5483203
2009-05-20 04:00:00,34.57,35.0,33.75,33.86,4412807
2009-05-21 04:00:00,33.46,33.72,32.935,33.23,4283499
2009-05-22 04:00:00,33.54,34.385,33.09,33.9,5496826
2009-05-26 04:00:00,33.9,35.32,33.86,34.94,6637347
2009-05-27 04:00:00,35.0,35.22,34.12,34.19,4468617
2009-05-28 04:00:00,34.21,34.75,33.39,34.01,3208368
2009-05-29 04:00:00,34.31,34.63,33.72,34.62,2540193
2009-06-01 04:00:00,34.99,35.96,34.86,35.89,5074498
2009-06-02 04:00:00,36.04,36.75,35.78,36.44,4215810
2009-06-03 04:00:00,36.09,36.67,35.83,36.67,3428148
2009-06-04 04:00:00,36.56,36.64,35.58,35.79,4536422
2009-06-05 04:00:00,36.22,36.22,35.42,35.79,3508433
2009-06-08 04:00:00,35.46,36.0,34.84,35.73,3161758
2009-06-09 04:00:00,35.79,36.17,35.37,35.58,2218008
2009-06-10 04:00:00,35.79,36.11,34.39,34.8,4066121
2009-06-11 04:00:00,34.76,35.12,34.17,34.17,3389398
2009-06-12 04:00:00,34.08,35.05,33.98,35.03,3671173
2009-06-15 04:00:00,34.72,34.72,34.07,34.56,3280532
2009-06-16 04:00:00,34.73,34.73,33.63,33.85,2725807
2009-06-17 04:00:00,33.86,34.42,33.6,33.99,3531714
2009-06-18 04:00:00,34.12,34.66,33.8,34.06,2405412
2009-06-19 04:00:00,34.38,34.85,34.19,34.48,4495408
2009-06-22 04:00:00,34.17,34.32,33.05,33.33,3779398
2009-06-23 04:00:00,33.47,33.5,32.59,32.66,3549913
2009-06-24 04:00:00,33.43,33.43,32.24,32.53,6090107
2009-06-25 04:00:00,32.46,33.9,32.46,33.63,4571197
2009-06-26 04:00:00,33.47,33.56,32.95,33.17,4088727
2009-06-29 04:00:00,33.37,33.57,32.82,33.32,3346477
2009-06-30 04:00:00,33.39,33.72,33.05,33.34,4430056
2009-07-01 04:00:00,34.74,35.43,34.32,35.05,5954499
2009-07-02 04:00:00,34.86,34.9,34.44,34.5,4508549
2009-07-06 04:00:00,34.09,35.13,34.05,34.87,4301675
2009-07-07 04:00:00,35.13,35.13,34.4,34.51,3610205
2009-07-08 04:00:00,34.62,35.32,34.61,35.21,6015320
2009-07-09 04:00:00,35.32,35.36,34.62,34.94,3371535
2009-07-10 04:00:00,34.85,35.4794,34.59,34.93,3190767
2009-07-13 04:00:00,35.28,35.75,34.62,35.64,4320464
2009-07-14 04:00:00,35.96,36.65,35.46,36.24,6989308
2009-07-15 04:00:00,34.4,34.79,33.62,34.05,22178207
2009-07-16 04:00:00,34.04,34.27,33.34,33.61,9432652
2009-07-17 04:00:00,33.64,33.99,33.36,33.62,4989868
2009-07-20 04:00:00,33.71,33.9,33.52,33.67,3868572
2009-07-21 04:00:00,33.73,34.0,33.25,33.4,4523863
2009-07-22 04:00:00,33.28,34.19,33.28,33.67,3644749
2009-07-23 04:00:00,33.42,34.09,33.19,33.7,5084168
2009-07-24 04:00:00,33.53,34.03,33.28,33.9,5554130
2009-07-27 04:00:00,33.94,34.06,33.44,34.0,4813776
2009-07-28 04:00:00,33.82,34.26,33.66,34.0,4557671
2009-07-29 04:00:00,33.86,34.39,33.7,33.96,5376810
2009-07-30 04:00:00,34.8,35.46,34.44,35.3,6994387
2009-07-31 04:00:00,35.35,35.82,35.35,35.5,4313655
2009-08-03 04:00:00,35.82,35.95,35.48,35.76,4444224
2009-08-04 04:00:00,35.61,36.4,35.53,36.24,4085287
2009-08-05 04:00:00,36.37,36.96,36.15,36.53,4263594
2009-08-06 04:00:00,36.43,36.49,35.795,36.04,4809304
2009-08-07 04:00:00,36.39,36.67,36.09,36.54,2921187
2009-08-10 04:00:00,36.37,36.56,36.2,36.5,2052020
2009-08-11 04:00:00,35.66,35.88,34.56,35.13,7666150
2009-08-12 04:00:00,35.04,35.75,35.03,35.16,2807589
2009-08-13 04:00:00,35.35,35.35,34.65,35.08,2587737
2009-08-14 04:00:00,35.1,35.31,34.44,34.93,2757767
2009-08-17 04:00:00,34.39,34.62,34.07,34.5,3347918
2009-08-18 04:00:00,34.68,34.9,34.46,34.87,3327695
2009-08-19 04:00:00,34.52,35.08,34.41,34.98,2233704
2009-08-20 04:00:00,34.94,35.31,34.89,35.25,2354213
2009-08-21 04:00:00,35.57,36.06,35.28,36.0,2803583
2009-08-24 04:00:00,36.02,36.16,35.1,35.16,2799994
2009-08-25 04:00:00,35.47,35.95,34.99,35.17,3524262
2009-08-26 04:00:00,35.21,35.36,34.76,35.03,2443337
2009-08-27 04:00:00,35.0,35.0,34.44,34.92,2502338
2009-08-28 04:00:00,34.99,35.19,34.77,34.91,4152188
2009-08-31 04:00:00,34.63,34.77,33.96,34.28,3393965
2009-09-01 04:00:00,34.24,34.39,33.65,33.71,4297669
2009-09-02 04:00:00,33.61,33.72,33.29,33.34,3762298
2009-09-03 04:00:00,33.54,33.84,33.06,33.53,3958095
2009-09-04 04:00:00,33.66,34.08,33.39,34.03,1863603
2009-09-08 04:00:00,34.32,34.45,33.97,34.19,1674165
2009-09-09 04:00:00,33.87,33.89,33.0,33.59,8148189
2009-09-10 04:00:00,33.6,33.71,33.17,33.53,5512429
2009-09-11 04:00:00,33.53,33.56,32.85,33.42,6974813
2009-09-14 04:00:00,33.12,33.6,33.12,33.45,4828580
2009-09-15 04:00:00,33.39,33.96,33.39,33.64,5966342
2009-09-16 04:00:00,33.7,34.12,33.59,34.01,4728316
2009-09-17 04:00:00,33.95,34.42,33.95,34.21,5542361
2009-09-18 04:00:00,34.44,34.93,34.25,34.74,4199467
2009-09-21 04:00:00,34.04,34.35,33.73,33.8,5491800
2009-09-22 04:00:00,33.89,33.98,33.49,33.52,2928624
2009-09-23 04:00:00,33.53,33.59,32.93,32.94,3976198
2009-09-24 04:00:00,33.08,33.27,32.66,33.1,4715598
2009-09-25 04:00:00,33.06,33.06,32.5,32.51,4627955
2009-09-28 04:00:00,32.58,33.0,32.53,32.7999,3786160
2009-09-29 04:00:00,32.81,33.15,32.68,32.78,3966052
2009-09-30 04:00:00,32.63,34.21,32.52,33.76,11281572
2009-10-01 04:00:00,33.71,33.85,33.11,33.14,7463666
2009-10-02 04:00:00,32.8,33.38,32.69,33.19,5555797
