Date,Open,High,Low,Close,Volume
2013-02-01 05:00:00,31.5,31.74,30.47,31.04,66022572
2013-02-04 05:00:00,31.09,31.99,30.76,31.1,7467298
2013-02-05 05:00:00,31.25,31.98,30.85,31.0401,4828579
2013-02-06 05:00:00,30.98,31.43,30.75,31.035,2106775
2013-02-07 05:00:00,31.0,32.73,31.0,32.11,3785749
2013-02-08 05:00:00,32.31,33.48,32.3,33.06,2568865
2013-02-11 05:00:00,33.06,33.5,32.88,33.29,1464768
2013-02-12 05:00:00,33.4,34.0,33.15,33.74,1576318
2013-02-13 05:00:00,33.8,33.8,33.0,33.56,1244460
2013-02-14 05:00:00,33.39,33.45,32.77,33.28,2935917
2013-02-15 05:00:00,33.31,34.09,33.0,33.8101,2393493
2013-02-19 05:00:00,34.02,34.07,33.57,33.8382,1031844
2013-02-20 05:00:00,33.84,33.88,32.6,32.72,1837370
2013-02-21 05:00:00,32.5,32.8,31.86,32.56,3214863
2013-02-22 05:00:00,32.78,32.93,32.5,32.59,901627
2013-02-25 05:00:00,32.68,32.69,32.0,32.06,813558
2013-02-26 05:00:00,32.05,32.4,31.99,32.045,1043506
2013-02-27 05:00:00,32.0,33.05,32.0,32.32,1335835
2013-02-28 05:00:00,32.56,33.55,32.55,33.33,2176947
2013-03-01 05:00:00,33.36,34.7,33.15,34.44,2191351
2013-03-04 05:00:00,34.8,34.89,34.235,34.3538,804119
2013-03-05 05:00:00,34.41,34.48,33.75,34.29,1355986
2013-03-06 05:00:00,34.34,34.38,33.86,33.86,747512
2013-03-07 05:00:00,33.95,34.68,33.56,34.56,1050466
2013-03-08 05:00:00,34.08,34.69,33.8,34.08,1527182
2013-03-11 04:00:00,34.02,34.26,33.25,34.15,1712036
2013-03-12 04:00:00,34.12,34.245,33.6,33.79,1546837
2013-03-13 04:00:00,33.9,34.06,33.08,33.98,1997099
2013-03-14 04:00:00,34.33,35.42,34.2978,34.7,1798133
2013-03-15 04:00:00,34.67,34.84,33.31,33.41,1826167
2013-03-18 04:00:00,32.75,32.94,32.64,32.83,2320924
2013-03-19 04:00:00,32.8,33.42,32.3276,32.82,1227825
2013-03-20 04:00:00,32.96,33.54,32.5,33.52,1833355
2013-03-21 04:00:00,33.9,34.0,33.29,33.46,499531
2013-03-22 04:00:00,33.55,33.75,32.735,33.13,736061
2013-03-25 04:00:00,33.48,33.48,32.25,32.461,1254111
2013-03-26 04:00:00,32.73,32.79,32.0,32.52,1327325
2013-03-27 04:00:00,32.38,32.89,32.0601,32.77,1463277
2013-03-28 04:00:00,32.85,33.5,32.63,33.38,3343456
2013-04-01 04:00:00,33.42,33.59,32.43,32.59,1391057
2013-04-02 04:00:00,32.66,33.13,32.46,32.55,700999
2013-04-03 04:00:00,32.67,32.98,32.36,32.52,1031834
2013-04-04 04:00:00,32.41,32.5,31.71,31.84,1649078
2013-04-05 04:00:00,31.73,32.07,30.57,31.98,3946394
2013-04-08 04:00:00,31.95,32.98,31.77,32.94,1938682
2013-04-09 04:00:00,33.05,33.5899,32.56,33.44,1986173
2013-04-10 04:00:00,33.76,33.76,32.98,33.18,957938
2013-04-11 04:00:00,33.22,33.24,32.87,33.15,1821222
2013-04-12 04:00:00,32.97,33.35,32.6,33.19,689329
2013-04-15 04:00:00,33.07,33.23,32.17,32.21,794025
2013-04-16 04:00:00,32.36,33.37,32.29,33.2,2223020
2013-04-17 04:00:00,32.98,33.23,32.17,32.871,3061579
2013-04-18 04:00:00,33.1,33.1,32.38,32.43,618682
2013-04-19 04:00:00,32.71,32.79,31.81,32.71,2147937
2013-04-22 04:00:00,32.9,32.9,32.22,32.64,886106
2013-04-23 04:00:00,32.78,32.96,31.5,31.72,2606532
2013-04-24 04:00:00,31.63,31.69,30.42,30.63,3679230
2013-04-25 04:00:00,31.09,31.99,30.75,31.53,1440320
2013-04-26 04:00:00,31.61,32.68,31.61,32.659,1277271
2013-04-29 04:00:00,32.95,32.95,32.17,32.7,1578244
2013-04-30 04:00:00,33.64,34.74,32.93,33.03,3260800
2013-05-01 04:00:00,32.97,33.51,32.66,33.36,1379273
2013-05-02 04:00:00,33.38,33.87,33.11,33.295,689089
2013-05-03 04:00:00,33.62,33.64,33.0,33.23,980866
2013-05-06 04:00:00,33.35,33.49,32.75,32.93,494025
2013-05-07 04:00:00,33.08,33.08,32.295,32.89,635422
2013-05-08 04:00:00,33.0,33.44,32.72,33.27,991236
2013-05-09 04:00:00,33.31,33.67,33.28,33.54,919677
2013-05-10 04:00:00,33.54,33.61,32.97,33.17,500528
2013-05-13 04:00:00,33.06,33.49,32.75,33.03,408841
2013-05-14 04:00:00,33.13,33.75,32.85,33.05,862196
2013-05-15 04:00:00,32.94,33.06,32.56,32.78,511370
2013-05-16 04:00:00,33.48,33.8,33.16,33.39,1180354
